protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,85.117.56.43,8080,Georgia,GE,Tbilisi,transparent,false,13.41,AS20771,Caucasus Online Ltd.,5957.95,1784947717.3572292
http,80.241.251.54,8080,Georgia,GE,Tbilisi,transparent,false,16.88,AS16010,Corporate,263.92,1784947703.608097
http,85.117.61.112,8080,Georgia,GE,Tbilisi,transparent,false,12.33,AS20771,Caucasus Online Ltd.,4889.5,1784947703.0791478
http,85.117.61.108,8080,Georgia,GE,Tbilisi,transparent,false,12.64,AS20771,Caucasus Online Ltd.,1320.65,1784947701.5271676
http,85.117.62.78,8080,Georgia,GE,Tbilisi,transparent,false,14.01,AS20771,Caucasus Online Ltd.,1669.0,1784947698.8078425
http,85.117.56.104,8080,Georgia,GE,Tbilisi,transparent,false,20.98,AS20771,Caucasus Online Ltd.,9807.22,1784947693.7145753
http,85.117.56.115,8080,Georgia,GE,Tbilisi,transparent,false,10.18,AS20771,Caucasus Online Ltd.,986.42,1784947670.743834
http,85.117.62.70,8080,Georgia,GE,Tbilisi,transparent,true,9.43,AS20771,Caucasus Online Ltd.,8876.94,1784947653.9185991
http,85.117.63.207,8080,Georgia,GE,Tbilisi,transparent,false,8.51,AS20771,Caucasus Online Ltd.,8053.35,1784947581.995899
http,85.117.61.111,8080,Georgia,GE,Tbilisi,transparent,false,12.51,AS20771,Caucasus Online Ltd.,4392.94,1784947569.2543557
