protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,38.190.1.70,1085,Guatemala,GT,Guatemala City,elite,true,23.4,AS273152,Cogent Communications,729.11,1784331593.5172417
http,201.216.147.244,999,Guatemala,GT,Guatemala City,transparent,true,32.52,AS14754,Telgua,4396.37,1784331587.5235143
http,45.5.118.217,999,Guatemala,GT,Guatemala City,transparent,false,23.44,AS52468,Ufinet Panama S.A.,1004.71,1784331521.6158915
http,186.33.3.209,999,Guatemala,GT,Guatemala City,transparent,true,32.45,AS52468,Ufinet Panama S.A.,1129.4,1784331490.9878495
http,186.151.75.150,999,Guatemala,GT,Guatemala City,transparent,true,55.78,AS14754,Telgua,3566.8,1784331490.642953
http,186.33.7.203,999,Guatemala,GT,Morazán,transparent,true,32.8,AS52468,IFX Networks Argentina S.R.L,427.68,1784331455.5856764
http,181.174.115.9,1994,Guatemala,GT,Guatemala City,transparent,false,8.41,AS23243,Comcel Guatemala S.A.,3206.32,1784331362.5519145
http,181.78.1.226,999,Guatemala,GT,Guatemala City,transparent,false,38.38,AS52468,Ufinet Panama S.A.,1201.27,1784331319.547955
socks4,38.41.225.174,8888,Guatemala,GT,Antigua Guatemala,elite,true,49.1,AS264764,Innova Outsourcing S.A,705.72,1784331597.4052303
http,201.216.147.253,999,Guatemala,GT,Guatemala City,transparent,false,32.42,AS14754,Telgua,3627.45,1784331547.6737404
