protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,186.33.7.117,999,Guatemala,GT,San Rafael Petzal,transparent,true,29.56,AS52468,IFX Networks Argentina S.R.L,4641.07,1784149751.4753861
http,186.33.3.209,999,Guatemala,GT,Guatemala City,transparent,false,32.42,AS52468,Ufinet Panama S.A.,1458.53,1784149737.7038467
http,138.117.231.133,999,Guatemala,GT,Huehuetenango,transparent,false,11.24,AS269989,Fibernet S.A,2556.43,1784149737.355843
http,181.119.105.155,999,Guatemala,GT,Guatemala City,transparent,false,19.1,AS52468,Ufinet Panama S.A.,10382.58,1784149727.3158293
http,186.33.7.203,999,Guatemala,GT,Morazán,transparent,false,31.75,AS52468,IFX Networks Argentina S.R.L,3932.76,1784149723.4370182
http,190.61.101.72,8080,Guatemala,GT,Guatemala City,transparent,true,19.97,AS52468,UFINET Guatemala S. A,1430.89,1784149711.8320704
http,186.33.3.37,999,Guatemala,GT,Guatemala City,transparent,false,29.46,AS52468,Ufinet Panama S.A.,4732.19,1784149707.7523646
http,181.78.51.157,999,Guatemala,GT,Santa Cruz Balanyá,transparent,false,11.02,AS52468,Ufinet Panama S.A.,7623.56,1784149687.8640351
http,181.119.103.237,999,Guatemala,GT,San José Acatempa,transparent,false,10.14,AS52468,Ufinet Panama S.A.,3454.27,1784149681.6238773
http,138.118.106.237,999,Guatemala,GT,Santa Catarina Pinula,transparent,false,5.37,AS263781,"ONNO NETWORKS, SOCIEDAD ANÓNIMA",530.36,1784149667.2464552
http,200.12.48.242,999,Guatemala,GT,San José del Golfo,transparent,true,28.37,AS26617,Navega.com S.A.,4862.85,1784149771.355474
http,148.230.17.253,999,Guatemala,GT,Guatemala City,transparent,false,7.66,AS26617,Navega.com S.A.,9022.37,1784149766.4371796
http,201.216.147.249,999,Guatemala,GT,Guatemala City,transparent,true,34.1,AS14754,Telgua,988.58,1784149747.677609
http,148.230.17.252,999,Guatemala,GT,Guatemala City,transparent,false,7.47,AS26617,Navega.com S.A.,10744.86,1784149674.7734656
