protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,181.119.105.157,999,Guatemala,GT,Guatemala City,transparent,true,24.68,AS52468,Ufinet Panama S.A.,5242.93,1784338785.3782976
http,186.33.3.209,999,Guatemala,GT,Guatemala City,transparent,true,32.46,AS52468,Ufinet Panama S.A.,1823.45,1784338767.986762
http,181.119.111.239,999,Guatemala,GT,Guatemala City,transparent,true,10.39,AS52468,Ufinet Panama S.A.,4297.37,1784338753.1435697
http,190.61.101.72,8080,Guatemala,GT,Guatemala City,transparent,true,20.45,AS52468,UFINET Guatemala S. A,6872.19,1784338750.4038541
http,181.119.103.237,999,Guatemala,GT,San José Acatempa,transparent,true,10.23,AS52468,Ufinet Panama S.A.,11057.0,1784338739.4411843
http,186.33.7.227,999,Guatemala,GT,Morazán,transparent,true,17.27,AS52468,IFX Networks Argentina S.R.L,9292.72,1784338737.0318398
http,186.33.7.203,999,Guatemala,GT,Morazán,transparent,true,32.82,AS52468,IFX Networks Argentina S.R.L,7721.15,1784338735.047778
http,181.119.111.59,999,Guatemala,GT,Guatemala City,transparent,true,18.42,AS52468,Ufinet Panama S.A.,2102.02,1784338718.4490259
http,186.151.75.150,999,Guatemala,GT,Guatemala City,transparent,true,55.92,AS14754,Telgua,2926.85,1784338687.3987386
http,138.118.104.122,999,Guatemala,GT,Salamá,transparent,true,22.52,AS263781,"ONNO NETWORKS, SOCIEDAD ANÓNIMA",4798.48,1784338675.3986356
http,201.216.147.244,999,Guatemala,GT,Guatemala City,transparent,true,32.66,AS14754,Telgua,1025.87,1784338759.550337
