protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,124.156.185.140,1080,Hong Kong,HK,Hong Kong,elite,true,99.58,AS132203,Tencent Cloud Computing (Beijing) Co,1134.46,1784929498.2426453
socks5,47.82.70.164,1011,Hong Kong,HK,Hong Kong,elite,true,67.45,AS45102,"Alibaba (US) Technology Co., Ltd.",5335.16,1784929498.072454
socks5,122.10.49.214,1080,Hong Kong,HK,Hong Kong,elite,true,65.28,AS134548,HongKong Service,1080.99,1784929497.6055646
socks5,47.82.108.195,1011,Hong Kong,HK,Hong Kong,elite,true,76.49,AS45102,"Alibaba (US) Technology Co., Ltd.",3081.34,1784929497.3512905
socks5,47.82.101.234,1011,Hong Kong,HK,Hong Kong,elite,true,80.16,AS45102,"Alibaba (US) Technology Co., Ltd.",2892.53,1784929496.3693671
socks5,119.28.64.217,50161,Hong Kong,HK,Hong Kong,elite,true,56.33,AS132203,ComsenzNet,1145.72,1784929495.263362
http,193.239.86.180,80,Hong Kong,HK,Hong Kong,elite,false,92.68,AS9009,M247 Europe SRL,861.76,1784929495.2003243
socks5,141.98.234.112,1080,Hong Kong,HK,Hong Kong,elite,true,55.6,AS215540,Global Connectivity Solutions LLP,8475.65,1784929493.020969
socks4,47.57.242.244,5080,Hong Kong,HK,Hong Kong,elite,true,58.68,AS45102,"Alibaba (US) Technology Co., Ltd.",10086.3,1784929491.7988493
socks5,47.238.203.170,50000,Hong Kong,HK,Hong Kong,elite,true,51.89,AS45102,Alibaba Cloud LLC,1535.64,1784929491.391292
socks5,47.82.123.15,1011,Hong Kong,HK,Hong Kong,elite,true,98.42,AS45102,"Alibaba (US) Technology Co., Ltd.",953.32,1784929490.9880867
socks5,47.76.149.237,1011,Hong Kong,HK,Hong Kong,elite,true,36.93,AS45102,Alibaba Cloud LLC,7508.89,1784929489.1228642
socks5,124.156.166.29,1080,Hong Kong,HK,Hong Kong,elite,true,100.0,AS132203,Tencent Cloud Computing (Beijing) Co,1142.99,1784929488.8325245
socks5,47.238.210.231,1011,Hong Kong,HK,Hong Kong,elite,true,70.06,AS45102,Alibaba Cloud LLC,4130.33,1784929486.3762126
socks5,119.28.13.138,1080,Hong Kong,HK,Hong Kong,elite,true,99.86,AS132203,ComsenzNet,1292.55,1784929483.319994
socks5,47.238.173.39,1011,Hong Kong,HK,Hong Kong,elite,true,61.17,AS45102,Alibaba Cloud LLC,8140.34,1784929482.4316182
socks5,123.58.219.171,10808,Hong Kong,HK,Hong Kong,elite,true,71.91,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1141.56,1784929475.7640328
http,101.36.109.77,8118,Hong Kong,HK,Hong Kong,elite,true,94.89,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,525.46,1784929475.752974
socks5,47.239.131.9,1011,Hong Kong,HK,Hong Kong,elite,true,23.86,AS45102,Alibaba Cloud LLC,13980.86,1784929474.3624246
socks5,8.218.31.231,1080,Hong Kong,HK,Hong Kong,elite,true,70.08,AS45102,"Alibaba (US) Technology Co., Ltd.",17495.1,1784929470.2184255
socks5,47.243.197.73,9050,Hong Kong,HK,Hong Kong,elite,true,31.4,AS45102,Alibaba Cloud LLC,19963.45,1784929470.1450276
socks5,47.243.59.250,1011,Hong Kong,HK,Hong Kong,elite,true,57.46,AS45102,Alibaba Cloud LLC,5845.37,1784929468.2379618
socks5,47.82.119.233,1011,Hong Kong,HK,Hong Kong,elite,true,69.0,AS45102,"Alibaba (US) Technology Co., Ltd.",3254.81,1784929465.250836
socks5,47.83.134.196,1011,Hong Kong,HK,Hong Kong,elite,true,25.88,AS45102,Alibaba.com LLC,14702.49,1784929464.270735
http,47.242.243.198,2233,Hong Kong,HK,Hong Kong,elite,true,95.51,AS45102,Alibaba.com LLC,849.84,1784929463.8338044
socks5,47.82.65.128,1011,Hong Kong,HK,Hong Kong,elite,true,78.73,AS45102,"Alibaba (US) Technology Co., Ltd.",4660.14,1784929463.522939
socks5,45.95.226.101,7777,Hong Kong,HK,Hong Kong,elite,true,50.6,AS139293,UFO Network Limited,10800.43,1784929461.3013859
socks5,47.238.106.120,666,Hong Kong,HK,Hong Kong,elite,true,57.98,AS45102,Alibaba Cloud LLC,2513.72,1784929450.3885179
http,47.238.106.120,666,Hong Kong,HK,Hong Kong,elite,false,66.38,AS45102,Alibaba Cloud LLC,5068.84,1784929444.5161297
http,8.210.93.183,8213,Hong Kong,HK,Hong Kong,transparent,true,60.48,AS45102,Alibaba.com LLC,597.6,1784929442.3175104
http,14.199.167.175,3128,Hong Kong,HK,Wong Tai Sin,transparent,false,31.98,AS9269,Hong Kong Broadband Network Limited,14710.82,1784929441.9999325
socks5,47.57.242.244,5080,Hong Kong,HK,Hong Kong,elite,true,56.21,AS45102,"Alibaba (US) Technology Co., Ltd.",11117.01,1784929437.7845669
http,220.241.20.97,3129,Hong Kong,HK,Central,anonymous,false,23.72,AS4515,PCCW IMS Ltd (PCCW Business Internet Access),16765.46,1784929421.6620076
socks5,47.239.140.6,80,Hong Kong,HK,Hong Kong,elite,true,46.53,AS45102,Alibaba Cloud LLC,4138.05,1784929417.979473
http,47.243.92.199,3128,Hong Kong,HK,Hong Kong,elite,true,84.89,AS45102,Alibaba Cloud LLC,633.63,1784929408.4262476
http,183.178.50.58,8080,Hong Kong,HK,Kwai Chung,transparent,false,7.35,AS9269,Hong Kong Broadband Network Limited,4260.89,1784929400.2675967
http,47.238.134.126,9080,Hong Kong,HK,Hong Kong,elite,false,0.88,AS45102,Alibaba Cloud LLC,2361.91,1784929386.9945838
http,47.238.134.126,8058,Hong Kong,HK,Hong Kong,elite,true,0.83,AS45102,Alibaba Cloud LLC,2361.24,1784929374.5359185
http,47.238.130.212,28,Hong Kong,HK,Hong Kong,elite,false,0.84,AS45102,Alibaba Cloud LLC,2361.49,1784929304.9175258
socks5,43.161.253.113,1080,Hong Kong,HK,Hong Kong,elite,true,100.0,AS132203,Aceville Pte.ltd,1126.22,1784929500.779583
socks5,45.125.32.64,5555,Hong Kong,HK,Mong Kok,elite,true,88.05,AS55933,Cloudie Limited,2750.46,1784929497.8709795
http,45.155.226.177,3128,Hong Kong,HK,Kwun Tong,transparent,true,100.0,AS141718,haoxiangyun,122.39,1784929494.949217
http,103.43.191.71,8888,Hong Kong,HK,Kwai Chung,elite,true,96.08,AS139021,West263 International Limited,688.4,1784929494.846441
socks5,45.194.33.12,30001,Hong Kong,HK,Hong Kong,elite,true,99.43,AS138995,Antbox Network Limited,1079.69,1784929493.5218701
socks5,156.225.20.83,1080,Hong Kong,HK,Hong Kong,elite,true,99.0,AS401696,Vapeline Technology,1319.85,1784929490.7249901
socks5,103.81.171.112,1080,Hong Kong,HK,Hong Kong,elite,true,98.31,AS206888,HanMing HK Limited,10811.48,1784929487.6409829
socks5,156.247.40.95,8888,Hong Kong,HK,Hong Kong,elite,true,88.66,AS401739,Yancy Limited,11686.47,1784929487.2198627
socks4,156.247.40.95,8888,Hong Kong,HK,Hong Kong,elite,true,85.15,AS401739,Yancy Limited,10018.59,1784929486.604613
socks5,154.201.94.252,5555,Hong Kong,HK,Hong Kong,elite,true,100.0,AS401701,cognetcloud INC,1085.42,1784929486.1457736
socks5,154.223.77.54,10002,Hong Kong,HK,Hong Kong,elite,true,45.28,AS138915,Kaopu Cloud HK Limited,15903.47,1784929483.8580575
socks4,154.223.77.54,10002,Hong Kong,HK,Hong Kong,elite,true,48.62,AS138915,Kaopu Cloud HK Limited,8403.26,1784929483.2425065
socks4,198.20.133.69,9050,Hong Kong,HK,Hong Kong,elite,true,46.17,AS149440,Ace Data Centers II,17055.53,1784929475.3935852
socks4,43.129.80.138,18999,Hong Kong,HK,Hong Kong,elite,true,75.79,AS132203,Shenzhen Tencent Computer Systems Company Limited,4132.59,1784929473.2679641
http,154.223.77.54,10002,Hong Kong,HK,Hong Kong,elite,true,20.77,AS138915,Kaopu Cloud HK Limited,1716.26,1784929467.8474932
socks5,16.162.27.125,1080,Hong Kong,HK,Hong Kong,elite,true,36.76,AS16509,"Amazon.com, Inc.",1095.92,1784929463.29514
socks5,43.128.63.68,7890,Hong Kong,HK,Hong Kong,elite,true,58.05,AS132203,Shenzhen Tencent Computer Systems Company Limited,1483.52,1784929461.7168984
http,156.247.40.95,8888,Hong Kong,HK,Hong Kong,elite,true,65.07,AS401739,Yancy Limited,12486.45,1784929458.3746285
socks5,107.150.123.97,443,Hong Kong,HK,Hong Kong,elite,true,88.75,AS135377,Zenlayer Inc,9229.82,1784929451.6175208
