protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,8.210.93.183,8213,Hong Kong,HK,Hong Kong,transparent,true,58.71,AS45102,Alibaba.com LLC,585.34,1789950265.0892894
http,203.19.38.114,1080,Hong Kong,HK,Hong Kong,elite,false,77.41,AS23764,China Telecom Global networks,502.37,1789950258.4260318
http,101.36.112.205,1081,Hong Kong,HK,Hong Kong,elite,true,91.95,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1255.84,1789950251.3182878
http,43.161.240.20,8080,Hong Kong,HK,Hong Kong,elite,false,17.88,AS132203,Aceville Pte.ltd,1536.15,1789950249.4736667
http,118.193.37.78,3128,Hong Kong,HK,Hong Kong,transparent,true,27.56,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,8123.71,1789950243.6178017
http,52.184.96.136,3128,Hong Kong,HK,Hong Kong,anonymous,true,85.47,AS8075,Microsoft Corporation,2225.16,1789950239.8419662
http,43.128.63.68,7890,Hong Kong,HK,Hong Kong,elite,true,51.96,AS132203,Shenzhen Tencent Computer Systems Company Limited,524.02,1789950235.8488727
http,103.43.191.71,8888,Hong Kong,HK,Kwai Chung,elite,true,94.12,AS139021,West263 International Limited,1387.99,1789950230.3136384
http,101.32.65.42,8888,Hong Kong,HK,Hong Kong,elite,false,71.97,AS132203,Aceville Pte.ltd,527.8,1789950229.2831738
http,103.1.50.101,3125,Hong Kong,HK,Kwun Tong,transparent,false,10.85,AS142352,CPCNet Hong Kong Ltd. - IP Administrator,16959.81,1789950219.627635
http,47.243.92.199,3128,Hong Kong,HK,Hong Kong,elite,true,86.76,AS45102,Alibaba Cloud LLC,593.33,1789950218.5816307
http,210.177.178.148,80,Hong Kong,HK,Yuen Long,elite,false,63.6,AS4760,Hong Kong Telecommunications (HKT) Limited Business Internet,13722.69,1789950215.256547
http,165.154.20.187,10808,Hong Kong,HK,Hong Kong,elite,true,61.83,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,2605.44,1789950209.0862272
http,139.198.113.42,10023,Hong Kong,HK,Hong Kong,anonymous,false,43.05,AS134366,Yunify Technologies Inc,4425.97,1789950201.3003004
http,8.218.104.116,3128,Hong Kong,HK,Hong Kong,transparent,false,30.7,AS45102,Alibaba Cloud (Singapore) Private Limited,15631.53,1789950198.037442
http,154.223.77.54,10001,Hong Kong,HK,Hong Kong,elite,true,40.27,AS138915,Kaopu Cloud HK Limited,10649.47,1789950180.8967843
http,47.238.128.246,8004,Hong Kong,HK,Hong Kong,elite,false,0.65,AS45102,Alibaba Cloud LLC,9430.61,1789950117.3641357
