protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,47.242.243.198,2233,Hong Kong,HK,Hong Kong,elite,true,95.73,AS45102,Alibaba.com LLC,830.02,1785523149.3407733
http,103.43.191.71,8888,Hong Kong,HK,Kwai Chung,elite,true,96.29,AS139021,West263 International Limited,1734.44,1785523137.6352913
http,45.155.226.177,3128,Hong Kong,HK,Kwun Tong,transparent,true,99.37,AS141718,haoxiangyun,239.14,1785523131.5767298
http,103.69.129.89,24444,Hong Kong,HK,Hong Kong,transparent,true,88.53,AS63473,"HostHatch, LLC",6046.52,1785523107.949997
http,129.226.72.101,18080,Hong Kong,HK,Hong Kong,elite,true,68.85,AS132203,Tencent Cloud Computing (Beijing) Co,526.4,1785523097.2585607
http,47.76.144.139,443,Hong Kong,HK,Hong Kong,elite,true,1.62,AS45102,Alibaba Cloud LLC,2364.33,1785523097.1944873
http,154.203.132.81,1080,Hong Kong,HK,Hong Kong,elite,true,94.21,AS138915,Kaopu Cloud HK Limited,837.91,1785523093.4709659
http,154.223.77.54,10001,Hong Kong,HK,Hong Kong,elite,true,44.49,AS138915,Kaopu Cloud HK Limited,10375.75,1785523092.7399876
http,129.226.127.245,18080,Hong Kong,HK,Hong Kong,elite,true,67.95,AS132203,Tencent Cloud Computing (Beijing) Co,529.79,1785523092.393169
http,165.154.7.156,8888,Hong Kong,HK,Hong Kong,elite,true,53.38,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,2245.79,1785523084.577011
http,47.243.92.199,3128,Hong Kong,HK,Hong Kong,elite,true,85.07,AS45102,Alibaba Cloud LLC,611.79,1785523065.8604846
http,43.128.63.68,7890,Hong Kong,HK,Hong Kong,elite,true,67.27,AS132203,Shenzhen Tencent Computer Systems Company Limited,9933.89,1785522918.3431573
