protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,124.156.185.140,1080,Hong Kong,HK,Hong Kong,elite,true,99.26,AS132203,Tencent Cloud Computing (Beijing) Co,1430.96,1784494778.452364
socks5,8.218.31.231,1080,Hong Kong,HK,Hong Kong,elite,true,71.75,AS45102,"Alibaba (US) Technology Co., Ltd.",1083.32,1784494777.1839032
socks5,123.58.219.171,10808,Hong Kong,HK,Hong Kong,elite,true,60.58,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1347.48,1784494765.0606449
socks5,45.194.33.12,30001,Hong Kong,HK,Hong Kong,elite,true,99.4,AS138995,Antbox Network Limited,1082.73,1784494761.7125094
socks5,103.193.172.63,5555,Hong Kong,HK,Tseung Kwan O,elite,true,77.83,AS206300,Hong Kong Reayi Network Co,900.48,1784494731.7188737
socks5,45.125.32.64,5555,Hong Kong,HK,Mong Kok,elite,true,90.49,AS55933,Cloudie Limited,2501.93,1784494663.9648564
socks5,156.247.40.95,8888,Hong Kong,HK,Hong Kong,elite,true,84.68,AS401739,Yancy Limited,17964.27,1784494656.1519098
socks5,43.128.63.68,7890,Hong Kong,HK,Hong Kong,elite,true,59.33,AS132203,Shenzhen Tencent Computer Systems Company Limited,4296.69,1784494646.9405096
socks5,68.64.179.186,1080,Hong Kong,HK,Tai Kok Tsui,elite,true,34.94,AS139659,LucidaCloud Limited,9841.59,1784494627.29983
socks5,47.82.66.101,1011,Hong Kong,HK,Hong Kong,elite,true,62.24,AS45102,"Alibaba (US) Technology Co., Ltd.",3792.06,1784494608.6315794
socks5,119.28.13.138,1080,Hong Kong,HK,Hong Kong,elite,true,99.87,AS132203,ComsenzNet,1560.48,1784494543.0940607
socks5,154.223.77.54,10002,Hong Kong,HK,Hong Kong,elite,true,43.37,AS138915,Kaopu Cloud HK Limited,8091.17,1784494766.4441915
