protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,181.78.44.63,999,Honduras,HN,La Unión,transparent,true,53.81,AS52468,Ufinet Panama S.A.,8713.74,1784507896.5278296
http,179.49.113.225,999,Honduras,HN,San Pedro Sula,transparent,false,19.11,AS262234,Asociacion De Servicio De Internet S. De RL,3869.73,1784507890.7573574
http,45.182.22.250,999,Honduras,HN,San Pedro Sula,transparent,false,9.25,AS263725,Multicable De Honduras,8548.44,1784507888.9879158
http,38.7.24.17,8080,Honduras,HN,San Pedro Sula,transparent,false,4.42,AS263725,Multicable De Honduras,9128.83,1784507856.3213868
http,190.185.112.58,999,Honduras,HN,Tegucigalpa,transparent,true,9.58,AS27932,Redes y Telecomunicaciones,1428.06,1784507848.0452704
http,80.80.91.132,999,Honduras,HN,Tegucigalpa,transparent,false,33.94,AS273189,CA NETWORKS S.A. DE C.V.,7172.74,1784507840.0280752
http,179.49.113.230,999,Honduras,HN,Comayagua,transparent,false,23.79,AS262234,Asociacion De Servicio De Internet S. De RL,5846.79,1784507828.2820444
http,190.130.6.11,8080,Honduras,HN,Tegucigalpa,elite,true,15.53,AS7727,Hondutel,1473.66,1784507813.8327765
http,186.33.20.48,999,Honduras,HN,San Pedro Sula,transparent,false,27.0,AS52468,Ufinet Panama S.A.,3754.12,1784507796.3932545
http,168.232.169.65,999,Honduras,HN,Florida,transparent,true,25.36,AS264696,CABLEMAR,3825.24,1784507947.423251
