protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,200.107.239.218,999,Honduras,HN,San Pedro Sula,transparent,false,30.57,AS27932,Redes y Telecomunicaciones,10257.91,1786425569.8730345
http,80.80.91.132,999,Honduras,HN,Tegucigalpa,transparent,true,29.78,AS273189,CA NETWORKS S.A. DE C.V.,5890.93,1786425563.5247765
http,168.232.169.65,999,Honduras,HN,Florida,transparent,false,21.44,AS264696,CABLEMAR,6818.39,1786425557.3040848
http,200.115.96.50,999,Honduras,HN,Tegucigalpa,transparent,false,23.15,AS269919,Honduvision SRL,8309.67,1786425528.765853
http,179.49.113.225,999,Honduras,HN,San Pedro Sula,transparent,false,19.36,AS262234,Asociacion De Servicio De Internet S. De RL,1468.61,1786425522.3596861
http,181.78.44.63,999,Honduras,HN,La Unión,transparent,false,53.47,AS52468,Ufinet Panama S.A.,1232.99,1786425521.6007655
http,181.119.190.196,999,Honduras,HN,Azacualpa,transparent,false,27.55,AS52468,Ufinet Panama S.A.,11041.0,1786425517.9461527
http,164.163.73.5,999,Honduras,HN,Santa Rosa de Copán,transparent,false,16.72,AS265767,Grupo Inma S.A,4570.74,1786425577.8411403
http,164.163.73.153,999,Honduras,HN,Santa Rosa de Copán,transparent,false,27.0,AS265767,Grupo Inma S.A,6417.8,1786425574.7591472
http,45.182.21.150,999,Honduras,HN,Azacualpa,transparent,false,16.6,AS263725,Multicable De Honduras,3446.83,1786425530.7487314
