protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,8.215.25.3,2080,Indonesia,ID,Jakarta,elite,true,55.5,AS45102,"Alibaba (US) Technology Co., Ltd.",714.6,1784544602.142087
http,103.156.17.161,8818,Indonesia,ID,Jatibarang,transparent,true,25.91,AS141077,RSTNET,501.57,1784544600.6705382
http,103.179.252.153,8181,Indonesia,ID,Sawangan,transparent,true,33.93,AS149350,PT Pusaka Kreasi Mandiri,508.61,1784544596.6065784
http,8.215.25.3,2080,Indonesia,ID,Jakarta,elite,true,52.85,AS45102,"Alibaba (US) Technology Co., Ltd.",451.1,1784544595.3693902
socks4,8.215.12.103,8010,Indonesia,ID,Jakarta,elite,true,0.86,AS45102,Alibaba Cloud (Singapore) Private Limited,5085.43,1784544592.9842913
socks4,8.215.12.103,8083,Indonesia,ID,Jakarta,elite,true,0.82,AS45102,Alibaba Cloud (Singapore) Private Limited,5108.58,1784544592.963924
http,36.93.34.210,8083,Indonesia,ID,Central Jakarta,transparent,true,18.29,AS7713,Telekomunikasi Indonesia,4549.2,1784544592.5771914
http,103.135.226.66,8080,Indonesia,ID,Jakarta,transparent,true,33.02,AS138871,SUPERCORRIDOR,1857.72,1784544590.6998897
socks4,8.215.12.103,1080,Indonesia,ID,Jakarta,elite,true,0.83,AS45102,Alibaba Cloud (Singapore) Private Limited,10583.18,1784544588.4084742
socks4,8.215.12.103,8448,Indonesia,ID,Jakarta,elite,true,0.86,AS45102,Alibaba Cloud (Singapore) Private Limited,10742.01,1784544587.3598862
http,103.102.12.67,8080,Indonesia,ID,Rembang,transparent,false,19.97,AS136865,FISNET,518.99,1784544585.6678944
http,103.156.15.14,8080,Indonesia,ID,Cilegon,transparent,true,15.17,AS58821,PT Lintas Jaringan Nusantara,5285.17,1784544585.5156658
socks4,103.177.199.65,1080,Indonesia,ID,Lebaksiu,elite,true,5.56,AS147113,PT Eyza Kausa Sinergi Abadi,3969.31,1784544584.8824227
socks4,103.160.205.244,8080,Indonesia,ID,Pendaleman,elite,true,46.56,AS141595,PRIME,2812.32,1784544584.8736103
http,103.177.8.119,10133,Indonesia,ID,Rengasdengklok,elite,false,55.1,AS147137,PT Helium Sinergi Telekomunikasi,3863.21,1784544584.5578456
http,103.112.123.205,3128,Indonesia,ID,Wonorejo,transparent,true,28.55,AS137327,Universitas Hang Tuah,3528.46,1784544583.819872
http,103.173.162.61,8080,Indonesia,ID,Cangkuang,transparent,true,31.9,AS141077,Paket Data Andal,4332.69,1784544583.5894117
http,103.144.18.33,9000,Indonesia,ID,Bondowoso,transparent,false,28.67,AS139418,PT Gasatek Bintang Nusantara,2867.66,1784544583.1140478
http,119.2.43.98,8090,Indonesia,ID,Sukabumi,transparent,false,33.98,AS38524,PT. Laxo Global Akses,3949.46,1784544582.9569054
http,103.191.169.218,1111,Indonesia,ID,Bantaeng,transparent,true,26.97,AS149924,PT Sugi Bintang Jaya,6221.49,1784544582.6175764
http,36.66.242.118,8080,Indonesia,ID,South Tangerang,transparent,false,9.08,AS7713,PT. Telekomunikasi Indonesia,6130.07,1784544580.923923
http,103.153.247.110,8080,Indonesia,ID,Jakarta,transparent,false,27.43,AS140475,PRIMAHOME,621.36,1784544580.5149748
http,103.141.105.74,55,Indonesia,ID,Tayan,transparent,false,10.64,AS9341,PT INDONESIA COMNETS PLUS,7134.12,1784544579.5481858
socks5,223.25.110.37,8199,Indonesia,ID,Krajan Dua,elite,true,51.48,AS136873,SinergiNet,1151.51,1784544579.2884
http,103.193.144.1,8080,Indonesia,ID,Batam,transparent,false,22.28,AS58821,PT Lintas Jaringan Nusantara,5576.6,1784544578.7426121
http,103.174.123.4,8090,Indonesia,ID,Sumedang,anonymous,false,23.77,AS147096,PT Jaya Sejahtra Nugraha,6282.49,1784544577.8123262
http,103.122.64.139,8085,Indonesia,ID,Kotabesi,transparent,false,12.56,AS138064,PT. Jinom Network Indonesia,6640.64,1784544577.781854
http,103.139.98.118,8080,Indonesia,ID,Bandar Lampung,transparent,true,22.64,AS138862,Digital Network Setiawan,11541.56,1784544577.368718
http,121.101.129.131,8080,Indonesia,ID,Wonosobo,transparent,false,25.28,AS131706,PT SELARAS CITRA TERABIT,3308.76,1784544577.1798968
http,103.133.24.37,8080,Indonesia,ID,Bekasi,transparent,false,36.8,AS138130,PT PHATRIA INTI PERSADA,2829.52,1784544575.6842778
socks4,36.88.242.103,1080,Indonesia,ID,Jakarta,elite,true,59.48,AS7713,PT. Telekomunikasi Indonesia,1156.16,1784544575.4478338
http,103.156.75.215,9980,Indonesia,ID,Gianyar,transparent,false,15.84,AS141082,PT Trika Global Media,4436.37,1784544574.6122913
http,103.13.204.84,8082,Indonesia,ID,Guyangan,transparent,true,22.01,AS64300,PT JARINGANKU SARANA NUSANTARA,7666.44,1784544574.583506
http,103.107.84.191,8080,Indonesia,ID,Colomadu,transparent,false,9.85,AS136879,PT. Media Jaringan Indonesia,7728.87,1784544574.5003169
http,103.175.84.6,80,Indonesia,ID,Kartasura,transparent,false,40.87,AS147117,Proxy-registered,2877.44,1784544574.4790263
http,103.153.149.18,8181,Indonesia,ID,Kendal,transparent,false,23.36,AS64300,JARINGANKU,5438.45,1784544573.562409
http,202.152.205.98,3125,Indonesia,ID,South Tangerang,transparent,true,10.65,AS63859,PT. Bakrie Telecom Tbk,13632.95,1784544573.1654203
http,110.76.147.31,8080,Indonesia,ID,Magetan,transparent,true,28.59,AS140481,PT Pika Media Komunika,3545.44,1784544573.0705795
http,118.97.75.86,8080,Indonesia,ID,Jakarta,transparent,false,5.7,AS7713,PT. TELKOM INDONESIA,1508.63,1784544573.0050848
http,103.189.249.196,1111,Indonesia,ID,Jatiroto,transparent,false,7.68,AS149888,PT Berkah Media Kusuma Vision,14198.1,1784544572.084358
http,103.176.98.225,3088,Indonesia,ID,Kediri,transparent,true,31.19,AS149344,Dhoho ISP,4933.28,1784544570.6068194
http,103.169.138.4,8081,Indonesia,ID,Rembang,elite,false,5.64,AS142343,Dinas Kominfo Kabupaten Rembang,7820.32,1784544570.422779
http,103.227.187.35,8080,Indonesia,ID,Kendalrejo,transparent,false,26.35,AS142370,PT Master Star Network,589.84,1784544569.4760158
socks4,103.123.249.15,5678,Indonesia,ID,Jakarta,elite,true,7.11,AS131111,PT Mora Telematika Indonesia,1115.97,1784544568.7252948
http,103.169.130.130,8080,Indonesia,ID,Pasuruan,transparent,true,26.92,AS142340,PT Lancar Artha Media Data,6444.79,1784544568.6890814
http,103.142.255.121,8081,Indonesia,ID,Madiun,transparent,true,23.27,AS139381,PT.CITRA BERDIKARI NUSANTARA,6157.6,1784544568.596145
http,103.189.249.140,1111,Indonesia,ID,Jatiroto,transparent,false,13.04,AS149888,PT Berkah Media Kusuma Vision,10492.15,1784544568.007867
http,103.171.255.178,8080,Indonesia,ID,Sleman,transparent,false,15.01,AS142399,PT Zona Kolektif Indonesia,6161.82,1784544567.9078145
socks4,103.146.185.81,1081,Indonesia,ID,Wonogiri,elite,true,22.22,AS139967,YAMNET,3926.45,1784544567.261785
http,103.82.93.219,3128,Indonesia,ID,Padalarang,transparent,false,19.44,AS136052,PT Cloud Hosting Indonesia,11271.93,1784544566.9750214
http,103.172.70.145,8080,Indonesia,ID,Karawang,transparent,false,18.34,AS142386,AZNET,2909.75,1784544566.7710176
http,103.132.52.20,8080,Indonesia,ID,Kajen,transparent,false,23.53,AS138123,PT Adeaksa Indo Jayatama,11333.2,1784544566.5119076
http,103.171.83.23,7777,Indonesia,ID,Pamanukan,transparent,false,10.55,AS142373,PT Multi Network Indonesia,5450.72,1784544565.8130474
http,36.94.149.149,8090,Indonesia,ID,East Jakarta,transparent,false,12.49,AS7713,PT. Telekomunikasi Indonesia,6251.69,1784544565.5142825
