protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,103.189.197.43,7778,Indonesia,ID,Cirebon,transparent,true,61.65,AS149912,PT Graha Sumber Teknologi,547.34,1780120485.303823
http,103.159.96.62,8181,Indonesia,ID,Kertosono,transparent,true,12.68,AS141140,PT Jinde Grup Indonesia,1189.51,1780120477.3876672
http,103.141.150.147,8080,Indonesia,ID,Bandung,transparent,true,9.74,AS133815,PRIMACOM,588.25,1780120475.5609512
http,103.124.137.33,18080,Indonesia,ID,Ungaran,transparent,true,26.71,AS138089,Global Media Data Prima,841.38,1780120472.5059235
http,103.173.141.3,8080,Indonesia,ID,Ngawi,transparent,true,5.55,AS58485,DIAZANETWORKS,4016.99,1780120471.3589175
http,103.155.199.21,3128,Indonesia,ID,Bogor,transparent,false,30.17,AS58821,PT Lintas Jaringan Nusantara,3425.57,1780120467.9727087
http,103.191.196.154,8080,Indonesia,ID,Pamanukan,elite,false,19.16,AS149934,PT Pangkalan Lintas Data,7120.17,1780120466.1164877
http,103.120.76.34,8085,Indonesia,ID,Kabupaten Tangerang,transparent,false,27.48,AS150501,PT Haci Telekomunikasi Indonesia,7950.78,1780120465.347946
http,103.172.42.179,8080,Indonesia,ID,Karawang,transparent,false,9.82,AS142393,PT Media Solusi Sukses,4132.67,1780120464.767769
http,160.187.174.227,8080,Indonesia,ID,Deli Serdang,transparent,false,12.48,AS153135,PT Netindo Persada Nusantara,2484.32,1780120464.2808065
http,157.15.67.49,8080,Indonesia,ID,Tulungagung,transparent,true,21.91,AS152377,TRITAMA,3604.59,1780120463.8650458
http,103.172.70.47,1111,Indonesia,ID,Tangerang,transparent,false,18.02,AS142386,AZNET,3374.25,1780120463.7686715
http,103.147.247.191,8080,Indonesia,ID,Mekarsari,transparent,false,10.16,AS139972,PLBNET,6749.69,1780120462.487033
http,103.120.76.82,8080,Indonesia,ID,Kabupaten Tangerang,transparent,false,14.0,AS150501,PT Haci Telekomunikasi Indonesia,6664.39,1780120462.458525
http,103.166.32.25,3125,Indonesia,ID,Kudus,transparent,false,11.34,AS141929,PT Daniswara Citra Informatika,11507.08,1780120460.7733712
http,103.195.142.250,8180,Indonesia,ID,Makassar,transparent,false,8.25,AS134614,Universitas Hasanuddin,8864.39,1780120460.416124
http,103.177.199.69,1111,Indonesia,ID,Lebaksiu,transparent,false,3.75,AS147113,PT Eyza Kausa Sinergi Abadi,9396.25,1780120459.208626
http,103.203.234.105,3127,Indonesia,ID,Banyumas,transparent,false,23.14,AS151006,PT Nesta Indo Media,9581.03,1780120459.0827944
http,103.169.255.202,6080,Indonesia,ID,Banyuwangi,anonymous,false,28.79,AS142370,PT Master Star Network,6473.44,1780120458.9626055
http,157.20.144.162,3125,Indonesia,ID,Tangerang,anonymous,false,8.86,AS150279,PT Lintas Network Solusi,9718.89,1780120458.9388552
http,103.36.10.139,3125,Indonesia,ID,Kota Serang,transparent,false,10.67,AS133360,PT Awinet Global Mandiri,13925.56,1780120456.796041
http,103.39.51.190,8090,Indonesia,ID,Kuningan,transparent,true,23.96,AS63501,PT. Mega Mentari Mandiri,2117.52,1780120456.646594
http,103.22.99.137,3125,Indonesia,ID,Magetan,anonymous,false,10.74,AS45305,KHALISTAGROUP,6313.31,1780120456.2727313
http,103.154.76.29,3125,Indonesia,ID,Karangbaru,transparent,true,4.3,AS140481,T2NET,10623.53,1780120455.8646889
http,103.169.189.202,9090,Indonesia,ID,Madiun,transparent,false,19.42,AS142347,Sarana Media Cemerlang,2816.56,1780120455.8085835
http,202.58.75.246,3125,Indonesia,ID,Surabaya,transparent,false,11.23,AS138886,PT DBN,12102.32,1780120455.7927876
http,103.4.135.250,3125,Indonesia,ID,Sampuran,transparent,false,7.49,AS149931,SKIWEB,9488.7,1780120455.7017782
http,103.242.105.111,8080,Indonesia,ID,Bandung,transparent,false,9.75,AS58821,PT Lintas Jaringan Nusantara,9059.77,1780120455.3457942
http,157.10.89.203,8880,Indonesia,ID,Depok,transparent,true,16.09,AS152082,PT Infonusa Teknologi Telekomunikasi Nusantara,4098.07,1780120454.5563915
