protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,8.215.25.3,2080,Indonesia,ID,Jakarta,elite,true,51.95,AS45102,"Alibaba (US) Technology Co., Ltd.",469.09,1787504992.8006246
http,8.215.112.214,7777,Indonesia,ID,Jakarta,elite,true,71.19,AS45102,"Alibaba (US) Technology Co., Ltd.",448.45,1787504991.1769693
http,8.215.112.240,7777,Indonesia,ID,Jakarta,elite,true,70.01,AS45102,"Alibaba (US) Technology Co., Ltd.",462.92,1787504975.7864394
http,138.252.98.107,8080,Indonesia,ID,Jabung,anonymous,true,26.29,AS154344,PT Java Internet Solution,10338.56,1787504974.7350314
http,103.227.186.61,6080,Indonesia,ID,Banyuwangi,transparent,true,14.34,AS142370,PT Master Star Network,2488.59,1787504973.8290672
http,103.165.157.238,1056,Indonesia,ID,Semarang,transparent,true,20.9,AS136873,MEGADATA-ISP,2862.27,1787504963.7826726
http,103.110.10.174,3300,Indonesia,ID,Babakanloa,transparent,true,28.18,AS131717,PT Citra Jelajah Informatika,8839.08,1787504960.217003
http,103.99.136.22,8080,Indonesia,ID,Tigaraksa,transparent,true,20.99,AS151575,PT Jelajah Kreasi Informatika,2456.25,1787504953.448812
http,103.146.26.94,8080,Indonesia,ID,Medan,transparent,true,24.24,AS139984,INMEET,4566.86,1787504944.5491283
http,103.165.128.171,8080,Indonesia,ID,Jakarta,transparent,true,12.94,AS17995,PT iForte Global Internet,4367.16,1787504915.0849195
http,165.99.192.25,1111,Indonesia,ID,Depok,transparent,true,23.45,AS134129,PT IDN NUSANTARA NETWORK,12316.04,1787504900.6616168
http,8.215.25.3,2081,Indonesia,ID,Jakarta,elite,true,49.18,AS45102,"Alibaba (US) Technology Co., Ltd.",472.51,1787504898.682928
http,38.150.19.121,3125,Indonesia,ID,Batam,transparent,true,7.42,AS153098,PT MMS DIGITAL COMMUNICATION,18039.54,1787504882.7664707
http,103.193.144.41,8080,Indonesia,ID,Batam,transparent,true,12.72,AS58821,PT Lintas Jaringan Nusantara,7633.55,1787504855.4476814
