protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,103.174.122.197,8199,Indonesia,ID,Sumedang,elite,true,51.61,AS147096,PT Jaya Sejahtra Nugraha,8334.22,1790073590.7137644
socks5,103.36.11.18,8199,Indonesia,ID,Rangkasbitung,elite,true,39.78,AS133360,PT Awinet Global Mandiri,1324.24,1790073578.234198
socks5,103.157.78.22,8199,Indonesia,ID,Jakarta,elite,true,21.44,AS141114,PT Super Media Indonesia,4032.94,1790073575.896018
socks5,103.76.149.140,1080,Indonesia,ID,Jakarta,elite,true,44.53,AS135477,PT. Java Digital Nusantara,4102.12,1790073575.463754
socks5,103.119.60.219,1080,Indonesia,ID,Jakarta,elite,true,38.82,AS63859,PT. Eka Mas Republik,1163.04,1790073560.66391
socks5,103.31.235.211,69,Indonesia,ID,Bogor,elite,true,25.25,AS55701,PT Usaha Adi Sanggoro,4522.9,1790073560.02556
socks5,103.236.190.197,1080,Indonesia,ID,Tangerang,elite,true,43.61,AS63878,PT Victory Network Indonesia,4100.22,1790073540.9001608
socks5,160.22.200.70,69,Indonesia,ID,Karawang,elite,true,8.84,AS153070,PT Karangmukti Global Netmedia,2082.6,1790073525.587934
socks5,103.180.123.111,1080,Indonesia,ID,South Jakarta,elite,true,22.35,AS149360,PT Indo Telemedia Solusi,1071.93,1790073513.5332184
socks5,103.142.255.32,1080,Indonesia,ID,Jombang,elite,true,45.8,AS139381,PT.CITRA BERDIKARI NUSANTARA,8334.55,1790073505.2335782
socks5,223.25.110.37,8199,Indonesia,ID,Krajan Dua,elite,true,42.0,AS136873,SinergiNet,2202.79,1790073493.3281443
