protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,140.238.241.74,1080,India,IN,Mumbai,elite,true,53.03,AS31898,Oracle Corporation,1993.87,1785993240.9989023
socks5,103.163.244.106,1080,India,IN,Panipat,elite,true,46.81,AS132746,Infolink System,981.04,1785993238.3217962
socks5,144.24.111.128,1088,India,IN,Mumbai,elite,true,99.22,AS31898,Oracle Corporation,770.43,1785993235.6139646
http,216.48.177.32,8080,India,IN,New Delhi,elite,false,52.73,AS132420,E2E Networks Limited,370.8,1785993225.3568397
socks5,43.242.227.10,9053,India,IN,Panvel,elite,true,26.45,AS146943,Tier 4 Cloud Services,5899.3,1785993223.7776856
http,202.179.95.174,58080,India,IN,Mumbai,transparent,false,12.0,AS138296,Ankhnet,3198.31,1785993219.8607583
http,136.233.127.168,3128,India,IN,Mangaluru,transparent,true,34.72,AS55836,Reliance Jio Infocomm Limited,12331.33,1785993217.687791
http,27.34.242.98,80,India,IN,Bengaluru,anonymous,false,97.31,AS45648,Bell Teleservices India Pvt Ltd,468.05,1785993208.580366
http,49.213.39.90,80,India,IN,Aurangabad,transparent,false,35.29,AS132296,NIXI,1892.39,1785993206.7064848
http,219.65.73.81,80,India,IN,Kolkata,anonymous,false,81.89,AS4755,Tata Communications Limited,466.42,1785993206.6040862
http,111.92.88.27,3128,India,IN,Kochi,transparent,false,60.73,AS17465,Asianet Satellite Communications Pvt Ltd,11672.52,1785993206.424726
http,103.26.110.209,9256,India,IN,Chennai,transparent,false,9.78,AS132774,Niss Networks,3460.48,1785993204.653888
http,117.236.124.168,3128,India,IN,Gandhinagar,transparent,true,15.5,AS9829,BSNL Internet,5828.6,1785993203.785369
http,103.130.70.253,83,India,IN,Siliguri,transparent,false,15.04,AS134250,Siliguri Meghrekha Net Services Pvt. Ltd,2982.85,1785993203.6851816
http,103.135.189.146,83,India,IN,Manapparai,transparent,true,32.25,AS138782,Swibi Airnet Broadband Services Pvt Ltd,3508.54,1785993202.3120213
http,115.247.115.38,8080,India,IN,Bhilai,transparent,false,11.03,AS55836,Reliance Jio Infocomm Limited,7238.37,1785993200.2687619
http,14.143.130.210,1111,India,IN,Delhi,transparent,false,6.44,AS4755,Tata Communications Limited,4125.64,1785993199.6143591
http,202.179.69.216,58080,India,IN,Pune,transparent,false,7.81,AS138311,Ankhnet,10938.98,1785993198.0005417
http,103.148.39.38,83,India,IN,Bengaluru,transparent,false,7.5,AS139564,Broadway Communication Pvt Ltd,13574.45,1785993194.8892093
http,103.48.71.126,83,India,IN,Hyderabad,transparent,false,5.96,AS136290,Country Online Services PVT LTD,8907.25,1785993192.6967456
socks5,43.242.227.10,9052,India,IN,Panvel,elite,true,32.94,AS146943,Tier 4 Cloud Services,14237.03,1785993189.3140597
http,103.135.189.129,82,India,IN,Manapparai,transparent,true,5.76,AS138782,Swibi Airnet Broadband Services Pvt Ltd,11629.53,1785993188.0948074
http,160.30.83.10,83,India,IN,Chennai,transparent,false,9.15,AS151749,Virtel Communications Private Limited,8894.82,1785993181.568511
http,103.177.235.194,83,India,IN,Bengaluru,transparent,false,13.38,AS141329,Coastal Live Channel,10985.86,1785993166.5152016
http,219.65.73.80,80,India,IN,Kolkata,anonymous,false,98.42,AS4755,Tata Communications Limited,458.76,1785993163.3273623
http,103.174.145.97,83,India,IN,Surat,transparent,true,5.72,AS135718,Vaidik Netsol OPC PVT LTD,4818.68,1785993158.3698225
http,195.250.31.18,80,India,IN,Navi Mumbai,elite,false,10.79,AS199404,WHG Hosting Services Ltd,15535.53,1785993137.4608173
http,103.74.144.65,80,India,IN,New Delhi,transparent,false,9.29,AS58965,Airmax Internet Private Limited,5561.63,1785993134.334205
http,103.48.68.6,83,India,IN,Hyderabad,transparent,false,5.83,AS136290,Country Online Services PVT LTD,8174.5,1785993133.2771602
http,103.130.106.73,83,India,IN,Belda,transparent,false,1.49,AS138300,Opticom Networks Private Limited,6343.01,1785993131.6509044
http,111.125.242.34,80,India,IN,Mumbai,transparent,false,7.04,AS24554,NIXI,8990.68,1785993125.30737
http,103.66.12.225,8080,India,IN,Tirunelveli,transparent,false,12.68,AS135758,Alacriy Net System Service Private Limited,10702.24,1785993123.4786434
http,103.70.44.6,8080,India,IN,Debra,transparent,false,19.79,AS45804,Meghbela Cable & Broadband Services (P) Ltd,10019.85,1785993061.8808684
http,45.249.77.145,83,India,IN,Hyderabad,transparent,false,10.05,AS150008,Tejasri Communications,8606.94,1785993024.6167855
