protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,219.65.73.80,80,India,IN,Kolkata,anonymous,false,97.66,AS4755,Tata Communications Limited,447.08,1784756659.7641888
http,43.242.104.36,8111,India,IN,Bengaluru,anonymous,false,8.44,AS9829,BSNL Internet,374.88,1784756643.9559054
http,219.65.73.81,80,India,IN,Kolkata,anonymous,false,81.26,AS4755,Tata Communications Limited,446.84,1784756641.6445982
http,122.166.253.14,8888,India,IN,Bengaluru,anonymous,true,24.27,AS24560,BHARTI,6534.84,1784756639.3853688
http,103.122.60.2,8080,India,IN,Visakhapatnam,transparent,false,2.43,AS133678,Vizag Broadband Communications Pvt Ltd,7383.08,1784756635.9208646
http,103.48.68.67,83,India,IN,Hyderabad,transparent,false,5.56,AS136290,Country Online Services PVT LTD,3819.55,1784756630.422774
http,103.155.130.241,8080,India,IN,Selu,transparent,false,23.45,AS141480,Haash Media,736.04,1784756627.4398725
http,45.250.215.8,8080,India,IN,New Delhi,transparent,false,7.31,AS45235,Geocity Network Solutions PVT LTD,3706.51,1784756623.615805
http,103.174.145.46,83,India,IN,Surat,transparent,false,5.65,AS135718,Vaidik Netsol OPC PVT LTD,16184.56,1784756623.5399263
http,103.171.194.52,82,India,IN,Udupi,transparent,false,4.96,AS141329,Udupi Fastnet Private Limited,9485.63,1784756623.413689
http,103.159.249.145,8080,India,IN,Kurnool,transparent,true,8.07,AS141303,Dvr Broadband Services,10099.64,1784756621.2967815
http,103.26.110.125,84,India,IN,Chennai,transparent,true,17.25,AS132774,Niss Networks,9498.41,1784756616.936721
http,103.174.161.6,8082,India,IN,Anakapalle,transparent,false,14.13,AS150008,Speed Link Communications,3650.24,1784756616.2765105
http,144.24.111.128,3129,India,IN,Mumbai,elite,true,27.48,AS31898,Oracle Corporation,540.18,1784756615.8822918
http,183.87.160.62,83,India,IN,Mumbai,transparent,false,4.6,AS132220,JPR Digital Pvt Ltd,11832.61,1784756614.795865
http,125.20.128.196,3129,India,IN,Kolkata,transparent,true,47.0,AS9498,BHARTI,6907.43,1784756607.719113
http,103.171.194.52,83,India,IN,Udupi,transparent,false,9.19,AS141329,Udupi Fastnet Private Limited,7994.46,1784756604.9647486
http,45.249.77.145,83,India,IN,Hyderabad,transparent,true,9.8,AS150008,Tejasri Communications,2427.6,1784756603.5578556
http,195.250.31.18,80,India,IN,Navi Mumbai,elite,false,10.35,AS199404,WHG Hosting Services Ltd,11032.87,1784756600.2156427
http,103.93.193.141,58080,India,IN,Thane,transparent,false,13.84,AS138296,Juweriyah Networks Private Limited,14816.91,1784756599.4118676
http,103.41.33.169,58080,India,IN,Mumbai,transparent,false,9.11,AS138296,Juweriyah Networks Private Limited,8703.02,1784756598.580241
http,103.49.166.193,84,India,IN,Hinjawadi,transparent,false,13.69,AS150572,Nettvox Private Limited,3927.78,1784756593.974126
http,103.170.46.245,8080,India,IN,Obra,transparent,false,7.48,AS148992,THINGS OF INDIA (OPC) PRIVATE LIMITED,5668.97,1784756590.5194128
http,103.177.235.194,83,India,IN,Bengaluru,transparent,false,12.84,AS141329,Coastal Live Channel,4054.62,1784756588.7144027
http,3.111.120.235,3128,India,IN,Mumbai,transparent,true,59.37,AS16509,Amazon Technologies Inc.,10331.38,1784756576.7932017
http,115.247.115.38,8080,India,IN,Indore,transparent,true,10.57,AS55836,Reliance Jio Infocomm Limited,4178.31,1784756573.916787
http,103.103.8.222,8080,India,IN,Chennai,transparent,false,35.14,AS136708,F2h Networks Pvt Ltd,1604.74,1784756572.380143
http,111.92.88.27,3128,India,IN,Kochi,transparent,true,60.94,AS17465,Asianet Satellite Communications Pvt Ltd,8531.58,1784756571.8610294
http,103.135.189.2,84,India,IN,Tālakkudi,transparent,true,14.33,AS138782,Swibi Airnet Broadband Services Pvt Ltd,7710.15,1784756566.7922115
http,20.204.175.243,3128,India,IN,Pune,transparent,true,23.21,AS8075,Microsoft Corporation,12164.1,1784756564.5202386
http,103.150.152.27,84,India,IN,Udupi,transparent,false,35.41,AS136308,Deenet Networks Private Limited,11405.3,1784756547.469243
http,103.70.44.6,8080,India,IN,Medinīpur,transparent,false,19.25,AS45804,Meghbela Cable & Broadband Services (P) Ltd,3907.25,1784756502.6663713
http,103.135.189.65,83,India,IN,Tālakkudi,transparent,false,16.2,AS138782,Swibi Airnet Broadband Services Pvt Ltd,6271.66,1784756501.752868
http,103.48.68.126,83,India,IN,Hyderabad,transparent,false,10.06,AS136290,Country Online Services PVT LTD,5823.62,1784756497.448213
http,202.179.93.132,58080,India,IN,Mumbai,transparent,true,10.76,AS138296,Ankhnet,9598.06,1784756485.0158346
http,52.140.40.92,80,India,IN,Chennai,transparent,false,22.87,AS8075,Microsoft Corporation,4782.36,1784756465.9562142
