protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,202.157.67.40,8080,India,IN,Jaipur,elite,true,7.39,AS17753,Data Infosys Ltd,511.79,1787789388.9731812
http,151.185.58.164,8080,India,IN,New Delhi,elite,true,100.0,AS132420,E2E Networks Limited,341.13,1787789332.09381
http,103.137.218.233,83,India,IN,Bhagalpur,transparent,true,7.99,AS132972,Nandbalaji Connecting Zone Pvt. Ltd,10008.07,1787789328.5121915
http,115.247.115.38,8080,India,IN,Bhilai,transparent,true,11.52,AS55836,Reliance Jio Infocomm Limited,2318.17,1787789293.3395123
http,103.174.161.6,8082,India,IN,Rāmavarappādu,transparent,true,14.93,AS150008,Speed Link Communications,966.4,1787789284.6128302
http,103.135.189.2,83,India,IN,Tālakkudi,transparent,true,22.72,AS138782,Swibi Airnet Broadband Services Pvt Ltd,3909.68,1787789282.1707747
http,35.207.196.183,8899,India,IN,Mumbai,anonymous,true,4.1,AS15169,Google LLC,3678.96,1787789274.262112
http,140.245.255.83,3128,India,IN,Hyderabad,transparent,true,22.23,AS31898,Oracle Corporation,11261.35,1787789187.8724911
http,103.48.71.166,84,India,IN,Hyderabad,transparent,true,5.05,AS136290,Country Online Services PVT LTD,6254.76,1787789368.2502806
http,122.102.126.74,8080,India,IN,Chennai,transparent,true,37.3,AS133000,Chandranet Pvt.Ltd,2017.83,1787789349.0441277
http,103.48.70.27,83,India,IN,Hyderabad,transparent,true,25.87,AS136290,Country Online Services PVT LTD,5841.49,1787789296.369284
http,103.70.44.6,8080,India,IN,Debra,transparent,true,20.22,AS45804,Meghbela Cable & Broadband Services (P) Ltd,4769.26,1787789285.0802143
http,164.52.216.18,8080,India,IN,Noida,elite,true,28.02,AS132420,E2E Networks Limited,371.21,1787789218.536538
