protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,111.90.169.178,5678,India,IN,Ahmedabad,elite,true,26.91,AS45117,INPL's,1682.7,1784932748.581369
socks4,119.235.49.121,4153,India,IN,Guntur,elite,true,8.29,AS45582,"VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",862.17,1784932740.7654676
socks4,103.55.106.150,1080,India,IN,Jhajjar,elite,true,50.3,AS133989,SBR Telecom Pvt. Ltd,1799.59,1784932802.1576238
socks4,103.59.203.201,4145,India,IN,Mumbai,elite,true,7.14,AS134014,NET 4 U SERVICES PVT LTD,7932.44,1784932791.3565195
socks4,43.242.227.10,9052,India,IN,Panvel,elite,true,36.79,AS146943,Tier 4 Cloud Services,13108.0,1784932776.0051868
socks4,202.179.83.169,51951,India,IN,Mumbai,elite,true,49.35,AS138296,Ankhnet,1625.63,1784932768.8476183
socks4,159.65.158.30,8888,India,IN,Bengaluru,elite,true,23.31,AS14061,"DigitalOcean, LLC",10981.51,1784932762.8411484
socks4,103.59.203.209,4145,India,IN,Mumbai,elite,true,3.46,AS134014,NET 4 U SERVICES PVT LTD,7924.31,1784932759.364223
socks4,103.26.10.23,2080,India,IN,Mumbai,elite,true,27.72,AS44259,LEARNSOCIAL.COM INDIA PRIVATE LIMITED,9329.55,1784932748.7119617
socks4,150.129.170.17,5678,India,IN,Nadiād,elite,true,13.7,AS45916,GTPL SK Network Pvt Ltd,1752.42,1784932736.0452871
