protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,109.224.22.35,51372,Iraq,IQ,Baghdad,elite,true,22.86,AS203214,Hulum,3401.71,1780069490.773254
http,62.201.217.243,40010,Iraq,IQ,Kelar,elite,false,19.18,AS44217,BAG,7976.46,1780069479.693277
http,37.239.47.74,8080,Iraq,IQ,Baghdad,transparent,false,5.18,AS203214,BROADBAND-SUBSCRIBERS,2584.96,1780069477.9710264
http,193.56.135.67,3128,Iraq,IQ,Erbil,elite,true,38.23,AS215311,Regxa Company for Information Technology Ltd,8838.99,1780069457.425143
http,185.166.24.191,1981,Iraq,IQ,Sulaymaniyah,transparent,false,9.94,AS207097,Online Company Ltd,3731.59,1780069444.9564376
http,185.135.69.34,80,Iraq,IQ,Al Mansour,elite,false,97.19,AS205889,Giganet Telecom,154.9,1780069443.9544306
http,188.72.43.145,47193,Iraq,IQ,Xebat,transparent,false,7.67,AS213098,Pirmam For Information Technology Services Ltd,1724.08,1780069400.2818608
socks5,37.236.62.202,55555,Iraq,IQ,Baghdad,elite,true,16.4,AS203214,Hulum,521.51,1780069398.4928782
http,37.237.229.203,8080,Iraq,IQ,Baghdad,transparent,false,30.21,AS199739,EarthLink Ltd.,6909.78,1780069395.5111287
http,188.72.43.129,47193,Iraq,IQ,Xebat,transparent,false,6.91,AS213098,Pirmam For Information Technology Services Ltd,10079.48,1780069333.2359302
http,37.239.47.76,8080,Iraq,IQ,Baghdad,transparent,true,5.16,AS203214,BROADBAND-SUBSCRIBERS,5557.34,1780069250.4361277
