protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,85.133.250.27,80,Iran,IR,Tehran,elite,true,93.65,AS198154,Pars Abr Toseeh Ertebatat LTD,439.78,1789915178.0316572
socks4,194.31.108.109,2080,Iran,IR,Tehran,elite,true,90.98,AS209783,Avaye Segal Net Co. PJS,5789.51,1789915171.2051506
http,185.109.244.69,8080,Iran,IR,Tehran,elite,false,25.05,AS43754,Asiatech Data Transmission company,1479.91,1789915166.293038
socks4,78.38.67.95,4153,Iran,IR,Tehran,elite,true,12.1,AS58224,Iran Telecommunication Company PJS,544.3,1789915155.8427598
http,193.178.203.141,8080,Iran,IR,Isfahan,transparent,false,17.95,AS44375,AsmanFaraz ISDP,721.13,1789915150.767122
socks5,62.60.210.173,1080,Iran,IR,Tehran,elite,true,92.61,AS59441,NOAVARAN SHABAKEH SABZ MEHREGAN (Ltd.),1491.23,1789915149.3088102
http,185.118.153.110,8080,Iran,IR,Tehran,transparent,false,33.17,AS62250,SINA ATINET Company (Ltd),6210.94,1789915138.4207683
http,85.133.250.27,80,Iran,IR,Tehran,elite,true,92.53,AS198154,Pars Abr Toseeh Ertebatat LTD,373.87,1789915136.9928386
http,78.39.253.49,8080,Iran,IR,Kermanshah,transparent,false,21.16,AS58224,Iran Telecommunication Company PJS,3266.27,1789915119.7271094
http,37.32.20.216,8080,Iran,IR,Tehran,elite,true,57.78,AS202468,Noyan Abr Arvan Co. ( Private Joint Stock),432.41,1789915114.2327547
socks5,87.107.68.231,1081,Iran,IR,Tehran,elite,true,22.43,AS21341,Soroush Rasanheh Company Ltd,5879.54,1789915109.7213466
http,78.157.46.76,8090,Iran,IR,Tehran,elite,true,14.08,AS62442,Dade Samane Fanava Company,3247.29,1789915086.50879
http,79.127.30.250,8080,Iran,IR,Tehran,transparent,true,28.66,AS43754,Asiatech Data Transmission company,8147.86,1789915085.6249406
http,195.181.40.34,8080,Iran,IR,Babol,transparent,false,22.71,AS58224,Iran Telecommunication Company PJS,5975.86,1789915076.064013
http,5.63.9.218,10808,Iran,IR,Tehran,transparent,false,23.55,AS57497,Faraso Samaneh Pasargad Ltd.,3384.93,1789915068.709005
http,46.209.207.158,8080,Iran,IR,Tehran,transparent,false,3.16,AS42337,Respina Networks & Beyond PJSC,3539.26,1789915034.5216203
