protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,46.209.30.11,8080,Iran,IR,Tehran,transparent,true,33.9,AS42337,Respina Networks & Beyond PJSC,6095.92,1784906661.3656335
http,185.83.182.206,2020,Iran,IR,Shahrīār,elite,true,85.98,AS216054,Taymaz Gostaran Naghshe Almas Co. ( Ltd ),565.96,1784906660.5471413
http,193.178.203.141,8080,Iran,IR,Isfahan,transparent,true,18.81,AS44375,AsmanFaraz ISDP,3709.14,1784906648.6887105
http,178.252.171.226,8080,Iran,IR,Tehran,transparent,false,25.75,AS51074,GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joint Stock),4732.34,1784906645.4799886
http,176.65.241.92,10807,Iran,IR,Tehran,elite,true,84.13,AS43754,Asiatech Data Transmission company,1319.21,1784906642.3765237
http,5.200.72.62,3128,Iran,IR,Vaḩīdīyeh,elite,false,45.84,AS24631,Bahar Samaneh Shargh,368.4,1784906638.3399315
http,195.181.40.34,8080,Iran,IR,Babol,transparent,false,22.14,AS58224,Iran Telecommunication Company PJS,1269.71,1784906629.6238654
http,185.109.244.69,8080,Iran,IR,Tehran,elite,false,28.9,AS43754,Asiatech Data Transmission company,2699.81,1784906628.7309668
http,31.216.62.129,2020,Iran,IR,Tehran,elite,true,88.85,AS43754,Asiatech Data Transmission company,270.31,1784906620.2296169
http,185.212.195.34,8085,Iran,IR,Tehran,elite,false,77.44,AS48359,HESABGAR-T,763.93,1784906609.4641957
http,81.91.159.14,7776,Iran,IR,Tehran,elite,false,55.0,AS206065,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS,1479.46,1784906606.8318224
http,84.241.29.213,8080,Iran,IR,Tehran,elite,false,35.68,AS31549,SHATEL Network,12631.01,1784906581.8838356
http,89.46.219.133,8000,Iran,IR,Kerman,transparent,false,33.42,AS198357,Padidar Technology,10646.35,1784906578.6664925
http,46.209.15.187,8080,Iran,IR,Tehran,transparent,false,22.01,AS42337,Respina Networks & Beyond PJSC,3225.44,1784906561.6986258
http,81.12.70.99,8080,Iran,IR,Tajrīsh,transparent,false,29.11,AS42337,Respina Networks & Beyond PJSC,3363.68,1784906525.3962586
http,81.90.144.170,9000,Iran,IR,Tehran,transparent,false,35.01,AS25184,Afranet Co,13540.25,1784906504.5398824
http,37.255.203.235,8080,Iran,IR,Isfahan,elite,false,36.96,AS58224,Iran Telecommunication Company PJS,8946.55,1784906492.239288
http,185.105.184.45,1110,Iran,IR,Tehran,elite,false,98.36,AS25264,Afagh Andish Dadeh Pardis Co. Ltd,321.4,1784906458.6577277
http,185.193.209.1,8080,Iran,IR,Bushehr,transparent,true,29.49,AS48944,Khalij Fars Ettela Resan LTD,391.43,1784906694.9399388
