protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,91.228.133.191,8888,Iran,IR,Tehran,elite,true,69.69,AS44932,Saba Idea,816.21,1786841957.4032335
http,185.95.152.38,8080,Iran,IR,Isfahan,transparent,true,54.17,AS200796,Data Pardaz Afraz,3724.28,1786841951.4571548
http,91.228.133.191,9999,Iran,IR,Tehran,elite,true,69.18,AS44932,Saba Idea,556.77,1786841950.330937
http,217.219.83.186,2222,Iran,IR,Tehran,transparent,true,29.9,AS58224,Iran Telecommunication Company PJS,10694.93,1786841945.9603775
http,5.202.52.103,6220,Iran,IR,Tehran,transparent,true,46.28,AS49100,PTE Network,13070.13,1786841928.3829327
http,94.183.163.42,3128,Iran,IR,Tehran,anonymous,true,74.63,AS44436,TAD Server,9916.49,1786841917.6551178
http,188.0.240.170,2080,Iran,IR,Tehran,elite,true,41.38,AS43754,ASIATECH-DC,757.47,1786841904.2368488
http,185.214.39.152,9050,Iran,IR,Shiraz,transparent,true,28.82,AS48944,Khalij Fars Ettela Resan LTD,1430.81,1786841884.4408643
http,80.191.46.62,1090,Iran,IR,Tehran,transparent,true,33.48,AS58224,Telecommunication Company of Iran,8311.56,1786841868.7607398
http,81.90.144.170,9000,Iran,IR,Tehran,transparent,true,33.07,AS25184,Afranet Co,1886.9,1786841814.5993218
http,5.200.72.62,3128,Iran,IR,Tehran,elite,true,40.99,AS24631,Bahar Samaneh Shargh,688.97,1786841803.6113389
