protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,185.142.156.229,2080,Iran,IR,Qom,elite,true,99.88,AS48147,Amin IDC Networks,447.26,1786171797.0291855
socks4,81.12.89.74,4153,Iran,IR,Tehran,elite,true,24.98,AS42337,Respina Networks & Beyond PJSC,710.39,1786171793.8415365
socks4,87.107.78.242,1543,Iran,IR,Tehran,elite,true,15.06,AS42337,Respina Networks & Beyond PJSC,530.06,1786171790.148672
socks4,151.232.18.66,5678,Iran,IR,Tehran,elite,true,38.75,AS58224,Iran Telecommunication Company PJS,1308.3,1786171786.5185702
socks4,109.122.249.221,1080,Iran,IR,Tehran,elite,true,92.53,AS60631,Pars Parva System LLC,1859.6,1786171785.5363772
socks4,89.44.241.98,1080,Iran,IR,Kermān,elite,true,43.11,AS60631,Pars Parva System LLC,9251.7,1786171771.158119
socks4,85.185.159.74,1080,Iran,IR,Ardakān,elite,true,17.35,AS58224,Ardakan Float Glass Company,2264.89,1786171764.4088743
socks4,80.191.40.131,5678,Iran,IR,Tehran,elite,true,20.57,AS58224,Telecommunication Company of Iran,3442.73,1786171756.3222857
socks4,87.107.68.231,1081,Iran,IR,Tehran,elite,true,36.62,AS21341,Soroush Rasanheh Company Ltd,12720.85,1786171750.9897354
socks4,5.160.247.48,8443,Iran,IR,Tehran,elite,true,16.5,AS42337,Respina Networks & Beyond PJSC,7456.54,1786171739.2615218
