protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,91.192.25.37,80,Italy,IT,San Giovanni Valdarno,elite,true,43.7,AS200100,T&T Tecnologie e Telecomunicazioni Srl,323.27,1788499502.9276352
socks4,151.241.30.177,1080,Italy,IT,Milan,elite,true,47.31,AS212238,Datacamp Limited,159.87,1788499500.071446
socks5,151.241.30.177,1080,Italy,IT,Milan,elite,true,45.4,AS212238,Datacamp Limited,4240.6,1788499493.7554843
socks5,95.244.3.200,1080,Italy,IT,Milan,elite,true,28.27,AS3269,Telecom Italia S.p.A.,4384.88,1788499487.006904
http,93.187.25.12,58080,Italy,IT,San Quirico d'Orcia,transparent,false,27.83,AS43960,Consorzio Terrecablate,1740.7,1788499478.7193677
http,5.231.80.233,3306,Italy,IT,Milan,transparent,true,28.86,AS6517,LAKENETWORKS,10334.89,1788499472.0489898
http,185.17.106.104,3128,Italy,IT,Rome,elite,true,17.97,AS202675,Keliweb S.R.L,12119.26,1788499469.989674
http,80.211.24.177,3128,Italy,IT,Arezzo,elite,true,21.36,AS31034,Aruba S.p.A.,9805.2,1788499466.5068836
socks5,77.81.230.90,9050,Italy,IT,Arezzo,elite,true,25.79,AS31034,Aruba S.p.A.,18389.32,1788499448.0724854
http,83.136.106.85,3128,Italy,IT,Milan,transparent,false,25.48,AS49367,Seflow S.N.C. Di Marco Brame' & C.,13274.63,1788499443.1321058
http,77.242.177.57,3128,Italy,IT,Biella,anonymous,false,39.78,AS42669,MegaWeb,6446.26,1788499422.3888805
http,217.112.96.5,8080,Italy,IT,Siena,transparent,false,40.72,AS49605,DIGITAL TELECOMMUNICATION SERVICES 1st,8620.66,1788499421.5822158
http,81.31.146.81,3128,Italy,IT,Milan,elite,true,9.78,AS47242,HOST-VDC,5216.9,1788499370.0651505
http,79.59.124.55,8088,Italy,IT,Lusia,transparent,false,14.71,AS3269,INTERBUSINES,174.97,1788499338.24885
