protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,79.54.119.155,8081,Italy,IT,Rome,transparent,true,33.62,AS3269,INTERBUSINESS,1300.22,1786662577.439947
http,66.163.119.55,10006,Italy,IT,Milan,elite,true,98.47,AS63023,GTHost,96.0,1786662574.6671169
http,93.187.26.134,58080,Italy,IT,Radicondoli,transparent,false,30.84,AS43960,Consorzio Terrecablate,1096.83,1786662568.6728272
http,77.242.177.57,3128,Italy,IT,Biella,anonymous,false,33.62,AS42669,MegaWeb,2928.43,1786662560.7430992
http,84.8.248.36,3128,Italy,IT,Rivoli,elite,false,35.44,AS31898,Oracle Corporation,16760.66,1786662556.936801
http,194.183.1.205,8080,Italy,IT,Rome,transparent,false,22.68,AS5394,UNIDATA S.p.A.,7236.69,1786662556.3396177
http,85.208.200.185,8081,Italy,IT,Milan,transparent,false,9.5,AS44092,HAL Service SpA,5409.81,1786662547.7074025
http,185.93.206.177,8080,Italy,IT,Ispica,transparent,true,33.32,AS198380,Novaquadri,3309.93,1786662531.3612363
http,185.191.106.41,8081,Italy,IT,Milan,transparent,false,25.0,AS44092,Mywic Costumers,8974.32,1786662498.379764
http,79.54.119.155,8080,Italy,IT,Rome,transparent,true,24.61,AS3269,INTERBUSINESS,9875.45,1786662484.479782
