protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,157.101.165.36,80,Japan,JP,Chiyoda City,elite,false,20.39,AS2514,INTERLINK,10332.65,1789413887.0480006
socks5,101.36.104.239,10808,Japan,JP,Tokyo,elite,true,94.87,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1500.94,1789413885.7393858
http,160.248.7.177,80,Japan,JP,Matsudo,elite,false,27.16,AS2514,"NTT PC Communications, Inc.",8118.53,1789413884.096805
socks5,132.226.7.23,30277,Japan,JP,Tokyo,elite,true,35.85,AS31898,Oracle Corporation,15679.18,1789413881.3504963
socks5,101.36.104.46,10808,Japan,JP,Tokyo,elite,true,93.76,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1497.31,1789413878.229212
socks5,191.223.220.23,1080,Japan,JP,Tokyo,elite,true,34.42,AS906,DMIT Cloud Services,1529.69,1789413878.1576855
http,168.138.202.218,3128,Japan,JP,Tokyo,transparent,true,14.89,AS31898,Oracle Corporation,11145.22,1789413875.7198267
socks5,103.75.118.84,1080,Japan,JP,Tokyo,elite,true,93.63,AS136258,BrainStorm Network,1350.34,1789413871.2377567
socks4,202.78.167.58,9050,Japan,JP,Tokyo,elite,true,24.92,AS202422,G-Core Labs S.A.,22073.91,1789413854.1142557
socks5,34.84.162.206,38081,Japan,JP,Tokyo,elite,true,76.18,AS396982,Google LLC,10230.86,1789413852.1140172
http,140.238.32.108,3128,Japan,JP,Tokyo,elite,true,83.74,AS31898,Oracle Corporation,12627.32,1789413850.4232721
socks5,152.70.107.226,1080,Japan,JP,Tokyo,elite,true,41.81,AS31898,Oracle Corporation,9515.9,1789413826.1965322
http,8.209.255.13,3128,Japan,JP,Tokyo,elite,true,79.19,AS45102,"Alibaba (US) Technology Co., Ltd.",943.44,1789413816.9229662
http,172.237.11.129,3128,Japan,JP,Tokyo,elite,false,90.23,AS63949,"Akamai Technologies, Inc.",715.07,1789413808.660862
http,45.146.163.31,80,Japan,JP,Tokyo,elite,false,96.81,AS38136,Akari Networks Limited,723.74,1789413805.8199003
http,45.43.60.220,8080,Japan,JP,Tokyo,elite,true,79.92,AS135377,Zenlayer Inc,4188.23,1789413786.986867
socks5,54.95.120.6,1080,Japan,JP,Tokyo,elite,true,99.81,AS16509,Amazon Technologies Inc.,1502.25,1789413774.3759518
http,4.189.39.81,3128,Japan,JP,Tokyo,anonymous,false,29.41,AS8075,Microsoft Corporation,10684.42,1789413767.7147677
