protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,54.65.101.89,8080,Japan,JP,Tokyo,elite,true,85.71,AS16509,"Amazon.com, Inc.",706.97,1784067887.6863978
http,8.221.138.111,8443,Japan,JP,Tokyo,elite,false,0.92,AS45102,"Alibaba (US) Technology Co., Ltd.",2485.64,1784067880.3836672
http,8.221.138.111,1200,Japan,JP,Tokyo,elite,false,0.69,AS45102,"Alibaba (US) Technology Co., Ltd.",2482.69,1784067880.2527757
http,8.211.170.91,14680,Japan,JP,Tokyo,elite,false,52.9,AS45102,"Alibaba (US) Technology Co., Ltd.",1998.26,1784067872.5530245
http,40.81.205.181,1080,Japan,JP,Tokyo,transparent,true,99.92,AS8075,Microsoft Corporation,750.31,1784067866.870169
http,140.238.32.108,3128,Japan,JP,Tokyo,elite,true,88.98,AS31898,Oracle Corporation,713.12,1784067861.3628912
http,140.245.85.78,3128,Japan,JP,Tokyo,transparent,true,4.15,AS31898,Oracle Corporation,10018.77,1784067856.3276372
http,8.209.255.13,3128,Japan,JP,Tokyo,elite,true,77.59,AS45102,"Alibaba (US) Technology Co., Ltd.",820.18,1784067821.42291
http,34.84.162.206,38080,Japan,JP,Tokyo,elite,false,44.59,AS396982,Google LLC,4374.79,1784067821.044855
http,133.232.90.156,80,Japan,JP,Chiyoda City,elite,false,8.07,AS2514,"NTT PC Communications, Inc.",9225.25,1784067820.3559077
http,140.227.202.251,3128,Japan,JP,Hyakuninchō,elite,true,39.09,AS2514,InfoSphere,4262.43,1784067812.9206672
http,140.227.61.201,3128,Japan,JP,Chiyoda City,transparent,true,11.93,AS2514,InfoSphere,3773.62,1784067810.3204944
http,54.65.101.89,1080,Japan,JP,Tokyo,elite,true,87.2,AS16509,"Amazon.com, Inc.",723.44,1784067795.690049
http,180.34.117.197,8080,Japan,JP,Yokohama,transparent,true,96.13,AS4713,NTT Communications Corporation,1026.32,1784067744.7173617
http,8.221.139.222,6379,Japan,JP,Tokyo,elite,true,0.85,AS45102,"Alibaba (US) Technology Co., Ltd.",2505.85,1784067740.63962
http,157.101.165.36,80,Japan,JP,Chiyoda City,elite,false,21.11,AS2514,INTERLINK,11945.58,1784067878.8479605
http,160.248.7.177,80,Japan,JP,Ogura,elite,false,25.41,AS2514,"NTT PC Communications, Inc.",7875.34,1784067854.9941478
http,168.138.202.218,3128,Japan,JP,Tokyo,transparent,true,12.22,AS31898,Oracle Corporation,7699.45,1784067833.7307682
