protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,20.27.15.49,8561,Japan,JP,Tokyo,anonymous,true,19.75,AS8075,Microsoft Corporation,1007.9,1786245268.2376013
http,20.27.14.220,8561,Japan,JP,Tokyo,anonymous,true,20.88,AS8075,Microsoft Corporation,731.15,1786245266.3250358
http,45.43.60.220,8080,Japan,JP,Tokyo,elite,true,84.89,AS135377,Zenlayer Inc,8269.73,1786245259.475089
http,20.78.118.91,8561,Japan,JP,Tokyo,anonymous,true,21.07,AS8075,Microsoft Corporation,782.23,1786245257.4697835
http,140.238.59.216,10808,Japan,JP,Tokyo,elite,true,98.52,AS31898,Oracle Corporation,769.68,1786245256.4396446
http,8.209.255.13,3128,Japan,JP,Tokyo,elite,true,78.23,AS45102,"Alibaba (US) Technology Co., Ltd.",1049.96,1786245251.5189834
http,20.210.76.178,8561,Japan,JP,Tokyo,anonymous,true,20.7,AS8075,Microsoft Corporation,863.76,1786245243.7976005
http,20.18.193.135,8561,Japan,JP,Tokyo,anonymous,true,41.45,AS8075,Microsoft Corporation,885.62,1786245237.886765
http,20.27.11.248,8561,Japan,JP,Tokyo,anonymous,true,20.89,AS8075,Microsoft Corporation,859.43,1786245231.7003925
http,140.227.61.201,3128,Japan,JP,Chiyoda City,transparent,true,12.4,AS2514,InfoSphere,7930.7,1786245229.4847808
http,20.78.26.206,8561,Japan,JP,Tokyo,anonymous,true,21.06,AS8075,Microsoft Corporation,719.37,1786245222.974961
http,20.210.76.175,8561,Japan,JP,Tokyo,anonymous,true,20.61,AS8075,Microsoft Corporation,816.25,1786245210.5613067
http,20.27.13.35,8561,Japan,JP,Tokyo,anonymous,true,30.8,AS8075,Microsoft Corporation,723.84,1786245199.8678415
http,202.182.96.178,10087,Japan,JP,Minamishinagawa,elite,true,55.27,AS20473,"The Constant Company, LLC",13390.27,1786245196.3304904
http,20.210.76.104,8561,Japan,JP,Tokyo,anonymous,true,20.8,AS8075,Microsoft Corporation,1196.63,1786245180.6896236
http,140.238.32.108,3128,Japan,JP,Tokyo,elite,true,85.91,AS31898,Oracle Corporation,14868.09,1786245164.5048764
http,43.133.13.187,8889,Japan,JP,Tokyo,elite,true,85.32,AS132203,Aceville Pte.ltd,9679.65,1786245152.7380328
