protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,193.111.30.139,2080,Japan,JP,Tokyo,elite,true,84.67,AS3258,xTom Japan Corporation,1196.56,1784450670.5390332
socks5,152.32.203.130,10808,Japan,JP,Tokyo,elite,true,90.14,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,2495.97,1784450660.2999668
socks5,64.176.44.31,7890,Japan,JP,Osaka,elite,true,36.58,AS20473,The Constant Company,11568.73,1784450657.5149105
socks5,45.76.223.103,1080,Japan,JP,Minamishinagawa,elite,true,28.36,AS20473,The Constant Company,3619.54,1784450655.2212272
socks5,64.176.44.31,1080,Japan,JP,Osaka,elite,true,39.21,AS20473,The Constant Company,4207.48,1784450650.5485494
socks5,47.74.24.121,1080,Japan,JP,Tokyo,elite,true,92.12,AS45102,Alibaba Cloud LLC,5335.81,1784450645.6089628
socks5,101.36.104.239,10808,Japan,JP,Tokyo,elite,true,74.88,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1540.15,1784450644.1527832
socks5,101.36.104.46,10808,Japan,JP,Tokyo,elite,true,65.95,AS135377,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,1458.71,1784450618.8154266
socks5,45.76.104.16,1080,Japan,JP,Minamishinagawa,elite,true,53.05,AS20473,The Constant Company,7372.64,1784450616.4437237
socks5,8.216.32.38,1080,Japan,JP,Tokyo,elite,true,88.19,AS45102,"Alibaba (US) Technology Co., Ltd.",2106.98,1784450610.542832
socks5,38.54.51.14,30001,Japan,JP,Tokyo,elite,true,84.09,AS138915,Kaopu Cloud HK Limited,16103.73,1784450603.7417464
socks5,140.238.43.53,54322,Japan,JP,Tokyo,elite,true,28.36,AS31898,Oracle Corporation,12158.04,1784450599.3734345
socks5,152.70.107.226,1080,Japan,JP,Tokyo,elite,true,55.11,AS31898,Oracle Corporation,1495.28,1784450693.792852
socks5,156.225.20.83,1080,Japan,JP,Chiyoda City,elite,true,97.6,AS401696,Vapeline Technology,5758.17,1784450683.5632908
socks5,150.230.194.118,555,Japan,JP,Tokyo,elite,true,59.31,AS31898,Oracle Corporation,4527.74,1784450675.6969075
socks5,213.188.203.54,1080,Japan,JP,Chiyoda City,elite,true,69.84,AS40509,"Fly.io, Inc.",2525.82,1784450664.6671968
