protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,197.248.59.159,8082,Kenya,KE,Nairobi,transparent,false,28.16,AS37061,Safaricom Limited,7588.86,1784946569.3485882
http,41.72.199.106,8089,Kenya,KE,Nairobi,transparent,false,28.77,AS30844,Maintainer Liquid Telecommunications Operations Limited,13804.96,1784946545.323801
http,185.240.48.133,3128,Kenya,KE,Nairobi,elite,false,22.76,AS329272,Servercore Africa Ltd,14446.19,1784946545.1274073
http,102.0.16.226,8080,Kenya,KE,Nairobi,transparent,true,8.81,AS36926,Airtel KE Mobile & Fixed Internet,3989.71,1784946518.4298158
http,102.214.252.102,8080,Kenya,KE,Mombasa,transparent,true,26.06,AS329110,Fibre Link Limited,5603.39,1784946513.471906
http,102.209.76.106,8080,Kenya,KE,Nairobi,transparent,false,26.89,AS329422,Safhome Fibre Limited,867.93,1784946510.3789427
http,102.215.79.167,8080,Kenya,KE,Nairobi,transparent,false,34.45,AS329101,Icon Fiber Solutions ltd v4,5471.21,1784946482.3654222
http,102.217.121.10,8080,Kenya,KE,Nairobi,transparent,false,32.91,AS328993,Click Fiber Communications Limited,930.25,1784946480.402216
http,102.213.179.210,8080,Kenya,KE,Nairobi,transparent,true,29.66,AS329261,NEXT THING NETWORKS Limited,3936.72,1784946461.8661869
http,102.214.253.6,8080,Kenya,KE,Mombasa,transparent,false,28.87,AS329110,Fibre Link Limited,6804.41,1784946404.9562285
socks4,105.27.127.70,1080,Kenya,KE,Nairobi,elite,true,64.04,AS37100,SEACOM Limited,3861.92,1784946599.542687
socks4,197.155.73.230,1080,Kenya,KE,Nairobi,elite,true,61.23,AS30844,Liquid Telecommunications Ltd,962.86,1784946587.57495
socks4,154.79.251.168,1080,Kenya,KE,Nairobi,elite,true,55.58,AS36926,Airtel KE Mobile & Fixed Internet,1081.37,1784946583.5064313
http,41.79.9.229,8080,Kenya,KE,Imara Daima Estate,transparent,true,29.05,AS37305,Frontier Optical Networks Ltd,5451.55,1784946472.3704283
http,41.72.213.182,8090,Kenya,KE,Nairobi,transparent,true,7.73,AS30844,Maintainer Liquid Telecommunications Operations Limited,3860.0,1784946417.284899
