protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,197.232.158.189,41890,Kenya,KE,Nairobi,transparent,false,11.37,AS36866,Jamii Telecommunications Limited,9814.0,1787284760.6947563
http,197.248.210.41,8080,Kenya,KE,Nairobi,transparent,true,28.7,AS37061,Safaricom Limited,8436.29,1787284757.444618
http,102.209.56.21,80,Kenya,KE,Nairobi,elite,true,4.46,AS328856,Vijiji Connect LTD,10240.65,1787284754.8820715
http,102.68.76.247,5566,Kenya,KE,Nairobi,transparent,false,46.13,AS328490,Unwired Communications Ltd,934.57,1787284753.615655
http,197.232.25.204,8080,Kenya,KE,Nairobi,transparent,false,12.94,AS36866,Jamii Telecommunications Limited,8740.17,1787284743.4694023
http,102.0.21.148,8080,Kenya,KE,Nairobi,transparent,false,21.6,AS36926,Airtel KE Mobile & Fixed Internet,9152.29,1787284731.2049656
http,197.248.22.111,8103,Kenya,KE,Nairobi,transparent,true,70.51,AS37061,Safaricom Limited,3141.6,1787284726.8575304
http,102.213.179.210,8080,Kenya,KE,Nairobi,transparent,false,27.05,AS329261,NEXT THING NETWORKS Limited,6811.96,1787284724.9930112
http,102.211.145.161,8081,Kenya,KE,Nairobi,transparent,false,13.87,AS328490,Unwired Communications Ltd,6936.73,1787284685.1617815
http,102.0.25.8,8080,Kenya,KE,Nairobi,transparent,true,22.9,AS36926,Airtel KE Mobile & Fixed Internet,4214.87,1787284596.8559537
