protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,41.72.199.106,8089,Kenya,KE,Nairobi,transparent,true,24.8,AS30844,Maintainer Liquid Telecommunications Operations Limited,3841.39,1788852573.1688316
http,102.68.76.247,5566,Kenya,KE,Nairobi,transparent,true,40.57,AS328490,Unwired Communications Ltd,1430.06,1788852571.0023735
http,102.0.28.78,8083,Kenya,KE,Nairobi,transparent,true,22.26,AS36926,Airtel KE Mobile & Fixed Internet,3438.89,1788852563.2584882
http,197.248.16.109,8080,Kenya,KE,Nairobi,transparent,true,25.41,AS37061,Safaricom Limited,5829.47,1788852562.9530466
http,197.248.22.110,8080,Kenya,KE,Nairobi,transparent,true,32.5,AS37061,Safaricom Limited,2970.01,1788852559.7809474
http,197.248.64.149,8080,Kenya,KE,Nairobi,transparent,true,22.33,AS37061,Safaricom Limited,4044.64,1788852528.295594
http,102.0.36.166,3128,Kenya,KE,Nairobi,transparent,true,25.71,AS36926,Airtel KE Mobile & Fixed Internet,3999.18,1788852515.7088919
http,41.139.164.19,8080,Kenya,KE,Nairobi,transparent,true,22.01,AS37061,Converged services Eastern,4767.23,1788852512.83351
http,102.0.25.184,8080,Kenya,KE,Nairobi,transparent,true,21.0,AS36926,Airtel KE Mobile & Fixed Internet,8467.46,1788852511.6467302
http,197.248.193.143,8080,Kenya,KE,Nairobi,transparent,true,23.67,AS37061,Safaricom Limited,3426.59,1788852511.404813
http,102.203.101.134,8080,Kenya,KE,Kikuyu,transparent,true,24.51,AS329497,Avitech Solutions LTD,5803.17,1788852510.44838
