protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,77.235.24.145,31023,Kyrgyzstan,KG,Bishkek,elite,false,8.92,AS41750,Mega-Line Ltd.,733.9,1787876331.3804238
http,77.235.24.145,3129,Kyrgyzstan,KG,Bishkek,elite,true,8.29,AS41750,Mega-Line Ltd.,755.7,1787876306.7792761
http,77.235.24.145,31009,Kyrgyzstan,KG,Bishkek,elite,false,8.7,AS41750,Mega-Line Ltd.,700.39,1787876297.4293919
http,77.235.24.145,31015,Kyrgyzstan,KG,Bishkek,elite,true,9.95,AS41750,Mega-Line Ltd.,951.33,1787876267.8087525
http,77.235.24.145,31039,Kyrgyzstan,KG,Bishkek,elite,false,10.19,AS41750,Mega-Line Ltd.,718.9,1787876264.9848566
http,77.235.24.145,31040,Kyrgyzstan,KG,Bishkek,elite,false,11.73,AS41750,Mega-Line Ltd.,724.65,1787876262.980032
http,77.235.24.145,31034,Kyrgyzstan,KG,Bishkek,elite,false,10.74,AS41750,Mega-Line Ltd.,702.36,1787876252.3379889
http,77.235.24.145,31021,Kyrgyzstan,KG,Bishkek,elite,false,9.12,AS41750,Mega-Line Ltd.,2148.18,1787876230.4596498
http,77.235.24.145,31007,Kyrgyzstan,KG,Bishkek,elite,true,9.76,AS41750,Mega-Line Ltd.,733.0,1787876229.3144228
http,77.235.24.145,31037,Kyrgyzstan,KG,Bishkek,elite,false,10.85,AS41750,Mega-Line Ltd.,5659.37,1787876228.505175
