protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,220.158.234.84,1080,Cambodia,KH,Phnom Penh,elite,true,99.78,AS38623,BUCT,1622.81,1784936367.9196672
socks4,175.100.37.171,1080,Cambodia,KH,Phnom Penh,elite,true,59.83,AS38623,"VIETTEL (CAMBODIA) PTE., LTD",1178.14,1784936364.258862
socks4,122.252.183.22,4153,Cambodia,KH,Phnom Penh,elite,true,50.08,AS38286,Phnom Penh Cable TV,2115.38,1784936363.1517818
socks5,111.67.103.162,1080,Cambodia,KH,Phnom Penh,elite,true,39.24,AS139628,"Mega Truenet Communication Co., Ltd.",1332.66,1784936359.4500103
socks5,202.62.52.20,1080,Cambodia,KH,Phnom Penh,elite,true,51.94,AS23673,"COGETEL Co., Ltd",4262.89,1784936354.343928
http,175.100.35.103,8080,Cambodia,KH,Phnom Penh,transparent,true,12.66,AS38623,"VIETTEL (CAMBODIA) PTE., LTD",3250.8,1784936347.9555938
socks5,220.158.233.26,1080,Cambodia,KH,Phnom Penh,elite,true,99.41,AS38623,BUCT,3139.14,1784936333.67922
socks5,220.158.232.118,1080,Cambodia,KH,Phnom Penh,elite,true,98.98,AS38623,BUCT,1638.02,1784936321.5458722
socks5,124.248.191.83,1080,Cambodia,KH,Phnom Penh,elite,true,57.21,AS23673,"COGETEL Co., Ltd",2300.02,1784936315.7815464
http,49.156.44.166,8080,Cambodia,KH,Phnom Penh,transparent,true,24.41,AS24492,WiCAM Corporation,2453.68,1784936285.0851402
socks5,110.235.240.223,1080,Cambodia,KH,Phnom Penh,elite,true,46.42,AS23673,COGETEL Co,8370.28,1784936270.4455748
http,110.74.195.34,25,Cambodia,KH,Phnom Penh,elite,true,18.71,AS38901,"EZECOM CO., LTD.",1450.19,1784936253.5522828
socks5,203.189.135.73,1080,Cambodia,KH,Phnom Penh,elite,true,56.5,AS23673,COGETEL Co,1286.41,1784936387.1638973
socks5,203.189.135.105,1080,Cambodia,KH,Phnom Penh,elite,true,54.91,AS23673,COGETEL Co,8431.99,1784936379.897319
socks5,202.79.26.242,1080,Cambodia,KH,Phnom Penh,elite,true,54.13,AS24492,WiCAM Corporation Ltd.,2219.55,1784936377.699421
socks4,96.9.88.130,4153,Cambodia,KH,Phnom Penh,elite,true,53.88,AS131207,S.I Group,7993.93,1784936373.7696037
socks5,203.189.153.170,1080,Cambodia,KH,Phnom Penh,elite,true,54.22,AS23673,ONLINE,2287.74,1784936356.93052
socks5,103.239.52.100,1080,Cambodia,KH,Phnom Penh,elite,true,50.65,AS23673,"COGETEL Co., Ltd",1461.68,1784936354.390497
socks5,202.62.42.92,1080,Cambodia,KH,Phnom Penh,elite,true,49.89,AS23673,"COGETEL Co., Ltd",4302.92,1784936352.8981023
http,203.171.252.7,8080,Cambodia,KH,Phnom Penh,transparent,true,12.65,AS38235,MEKONGNET,2182.24,1784936295.9504333
