protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,124.108.6.20,8085,Cambodia,KH,Kouk Thlok,elite,false,84.57,AS139628,"Mega Truenet Communication Co., Ltd.",504.61,1780029283.5500488
http,119.15.84.74,8080,Cambodia,KH,Phnom Penh,transparent,false,25.16,AS24492,WiCAM Corporation Ltd,10240.45,1780029253.3837707
http,116.212.149.218,8080,Cambodia,KH,Phnom Penh,transparent,true,8.65,AS38235,MekongNet,6634.86,1780029235.3328671
http,36.37.147.34,8080,Cambodia,KH,Phnom Penh,transparent,true,10.12,AS38623,"VIETTEL (CAMBODIA) PTE., LTD",1939.26,1780029212.5406475
http,110.74.195.34,25,Cambodia,KH,Phnom Penh,elite,true,16.51,AS38901,"EZECOM CO., LTD.",1105.86,1780029206.4679065
http,49.156.44.166,8080,Cambodia,KH,Phnom Penh,transparent,false,20.84,AS24492,WiCAM Corporation,4550.33,1780029181.3039744
http,175.100.34.177,8080,Cambodia,KH,Phnom Penh,transparent,false,8.8,AS38623,"VIETTEL (CAMBODIA) PTE., LTD",10265.22,1780029142.9558408
http,36.37.180.40,8080,Cambodia,KH,Phnom Penh,transparent,true,7.33,AS38623,VIETTEL (CAMBODIA) PTE,10311.99,1780029127.9329765
http,110.74.206.40,8181,Cambodia,KH,Phnom Penh,transparent,false,11.18,AS38901,"EZECOM CO., LTD.",4480.01,1780029107.4598892
http,103.9.190.130,8080,Cambodia,KH,Phnom Penh,transparent,false,16.03,AS38901,"EZECOM CO., LTD.",15640.2,1780029260.631831
http,203.217.169.26,8080,Cambodia,KH,Phnom Penh,transparent,false,11.85,AS131207,S.I Group,9637.06,1780029133.7732654
