protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,103.216.49.147,1080,Cambodia,KH,Phnom Penh,elite,true,34.3,AS135375,Today Communication Co,2231.34,1787805289.1042728
socks5,103.239.52.100,1080,Cambodia,KH,Phnom Penh,elite,true,41.82,AS23673,"COGETEL Co., Ltd",1366.93,1787805288.238436
socks5,110.235.252.74,1080,Cambodia,KH,Phnom Penh,elite,true,42.29,AS23673,COGETEL Co,2408.39,1787805288.0939796
socks5,220.158.233.26,1080,Cambodia,KH,Phnom Penh,elite,true,99.05,AS38623,BUCT,3752.89,1787805287.1337938
socks5,103.197.242.95,1080,Cambodia,KH,Ta Khmau,elite,true,23.36,AS23673,"COGETEL Co., Ltd",2614.26,1787805284.7314665
socks5,203.189.152.79,1080,Cambodia,KH,Phnom Penh,elite,true,42.04,AS23673,ONLINE,8555.81,1787805283.5480556
socks5,110.235.240.223,1080,Cambodia,KH,Phnom Penh,elite,true,41.41,AS23673,COGETEL Co,2320.38,1787805280.1402335
socks5,202.79.26.242,1080,Cambodia,KH,Phnom Penh,elite,true,43.24,AS24492,WiCAM Corporation Ltd.,4159.33,1787805279.8922522
socks5,103.197.241.209,1080,Cambodia,KH,Ta Khmau,elite,true,41.55,AS23673,"COGETEL Co., Ltd",4301.88,1787805278.3520162
socks5,111.67.103.90,1080,Cambodia,KH,Phnom Penh,elite,true,44.41,AS139628,"Mega Truenet Communication Co., Ltd.",8516.09,1787805277.6001034
socks5,203.189.150.126,1080,Cambodia,KH,Phnom Penh,elite,true,7.59,AS23673,COGETEL Co,4335.88,1787805275.7644253
socks5,220.158.232.118,1080,Cambodia,KH,Phnom Penh,elite,true,98.9,AS38623,BUCT,3501.97,1787805275.476813
socks5,203.189.137.53,1080,Cambodia,KH,Phnom Penh,elite,true,7.39,AS23673,ONLINE,4336.19,1787805269.0086253
socks5,202.62.55.95,1080,Cambodia,KH,Phnom Penh,elite,true,37.72,AS23673,"COGETEL Co., Ltd",1295.34,1787805268.7601857
socks5,202.62.52.20,1080,Cambodia,KH,Phnom Penh,elite,true,42.34,AS23673,"COGETEL Co., Ltd",4378.5,1787805258.609886
socks5,203.189.153.170,1080,Cambodia,KH,Phnom Penh,elite,true,51.98,AS23673,ONLINE,1318.78,1787805251.3770285
socks5,202.62.42.167,1080,Cambodia,KH,Phnom Penh,elite,true,40.45,AS23673,"COGETEL Co., Ltd",10266.26,1787805246.2008696
socks5,43.230.193.154,1080,Cambodia,KH,Phnom Penh,elite,true,41.1,AS23673,COGETEL Co,8734.94,1787805245.9320848
socks5,124.248.177.44,1080,Cambodia,KH,Phnom Penh,elite,true,40.83,AS23673,"COGETEL Co., Ltd",8486.42,1787805242.6941938
socks5,202.62.50.52,1080,Cambodia,KH,Phnom Penh,elite,true,46.47,AS23673,"COGETEL Co., Ltd",2057.36,1787805242.6346796
