protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,121.169.46.116,1090,South Korea,KR,Suwon,elite,true,94.79,AS4766,Korea Telecom,3476.76,1784932186.434435
http,1.231.81.166,3128,South Korea,KR,Jongno-gu,transparent,true,95.79,AS9318,SK Broadband Co Ltd,844.47,1784932184.3718832
socks4,114.108.177.104,60984,South Korea,KR,Daejeon,elite,true,25.41,AS3786,LG DACOM KIDC,1117.36,1784932183.109215
http,219.249.37.107,8197,South Korea,KR,Busan,elite,false,76.97,AS9318,SK Broadband Co Ltd,887.18,1784932182.717465
http,8.213.134.213,4145,South Korea,KR,Seoul,elite,false,0.81,AS45102,"Alibaba (US) Technology Co., Ltd.",2481.53,1784932181.801865
socks5,146.56.191.98,14785,South Korea,KR,Seoul,elite,true,27.33,AS31898,Oracle Corporation,10684.12,1784932180.2649217
socks5,8.213.149.224,1080,South Korea,KR,Seoul,elite,true,99.08,AS45102,"Alibaba (US) Technology Co., Ltd.",1727.07,1784932177.2751615
socks5,130.162.141.185,52916,South Korea,KR,Seoul,elite,true,60.71,AS31898,Oracle Corporation,22124.08,1784932176.866382
http,220.81.123.23,48678,South Korea,KR,Daegu,transparent,false,8.67,AS4766,Korea Telecom,3980.97,1784932175.6527288
socks5,140.238.28.230,10808,South Korea,KR,Seoul,elite,true,65.03,AS31898,Oracle Corporation,1807.86,1784932173.3498585
http,8.213.134.213,3333,South Korea,KR,Seoul,elite,true,0.9,AS45102,"Alibaba (US) Technology Co., Ltd.",2490.98,1784932170.3200085
http,183.110.216.128,8090,South Korea,KR,Seongnam-si,anonymous,false,59.72,AS4766,Korea Telecom,1070.8,1784932167.8919964
socks4,130.162.141.185,52916,South Korea,KR,Seoul,elite,true,59.42,AS31898,Oracle Corporation,21843.11,1784932160.866542
http,47.80.60.84,3128,South Korea,KR,Seoul,transparent,true,34.57,AS45102,Alibaba.com LLC,14703.55,1784932156.9558659
http,219.249.37.107,8382,South Korea,KR,Busan,elite,false,52.65,AS9318,SK Broadband Co Ltd,776.81,1784932135.5377252
http,183.110.216.128,8091,South Korea,KR,Seongnam-si,anonymous,false,59.71,AS4766,Korea Telecom,1087.6,1784932131.5698097
http,219.249.37.107,8380,South Korea,KR,Busan,elite,false,78.19,AS9318,SK Broadband Co Ltd,799.66,1784932127.3954806
http,61.83.122.72,3128,South Korea,KR,Changnyeong,transparent,false,3.26,AS4766,Korea Telecom,11178.05,1784932111.4550042
http,8.220.205.172,3128,South Korea,KR,Seoul,elite,false,0.93,AS45102,"Alibaba (US) Technology Co., Ltd.",2491.44,1784932106.9902704
http,183.110.216.159,8091,South Korea,KR,Seongnam-si,anonymous,false,59.82,AS4766,Korea Telecom,1076.42,1784932105.3296738
http,8.220.205.172,11443,South Korea,KR,Seoul,elite,true,1.01,AS45102,"Alibaba (US) Technology Co., Ltd.",2498.93,1784932097.7504303
http,8.213.151.128,3128,South Korea,KR,Seoul,elite,true,91.71,AS45102,"Alibaba (US) Technology Co., Ltd.",897.56,1784932094.3272057
http,119.195.17.15,3080,South Korea,KR,Changwon,transparent,true,0.98,AS4766,Korea Telecom,1789.67,1784932069.9323053
http,183.110.216.159,8090,South Korea,KR,Seongnam-si,anonymous,false,59.7,AS4766,Korea Telecom,1036.2,1784932045.5623653
http,14.34.180.21,38157,South Korea,KR,Pyeongtaek-si,elite,false,5.03,AS4766,Korea Telecom,6957.36,1784932013.9941707
http,8.220.216.57,3128,South Korea,KR,Seoul,elite,true,28.21,AS45102,"Alibaba (US) Technology Co., Ltd.",706.41,1784932011.2215443
http,119.195.17.15,3048,South Korea,KR,Changwon,transparent,true,2.53,AS4766,Korea Telecom,2592.6,1784931997.3358452
socks5,152.70.237.238,3128,South Korea,KR,Seoul,elite,true,49.71,AS31898,Oracle Corporation,2432.2,1784932131.5558853
socks5,43.164.136.189,1080,South Korea,KR,Seoul,elite,true,100.0,AS132203,Shenzhen Tencent Computer Systems Company Limited,1526.71,1784932130.0170722
socks4,152.70.237.238,3128,South Korea,KR,Seoul,elite,true,52.72,AS31898,Oracle Corporation,8870.38,1784932121.8204913
http,146.56.110.131,8118,South Korea,KR,Chuncheon,elite,false,11.22,AS31898,Oracle Corporation,2665.71,1784932112.1681824
http,211.233.44.58,8080,South Korea,KR,Gwangmyeong,elite,true,82.63,AS3786,LG DACOM KIDC,3420.63,1784932035.7817814
