protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,219.249.37.107,8380,South Korea,KR,Busan,elite,false,79.48,AS9318,SK Broadband Co Ltd,790.34,1787107751.333445
http,8.213.151.128,3128,South Korea,KR,Seoul,elite,true,92.22,AS45102,"Alibaba (US) Technology Co., Ltd.",712.3,1787107739.9310615
http,183.110.216.128,8091,South Korea,KR,Seongnam-si,anonymous,false,62.13,AS4766,Korea Telecom,1050.28,1787107737.9599242
http,219.249.37.107,8197,South Korea,KR,Busan,elite,false,78.79,AS9318,SK Broadband Co Ltd,801.0,1787107730.771815
http,183.110.216.159,8090,South Korea,KR,Seongnam-si,anonymous,false,62.05,AS4766,Korea Telecom,2072.99,1787107722.5835288
http,183.110.216.128,8090,South Korea,KR,Seongnam-si,anonymous,false,62.05,AS4766,Korea Telecom,1090.14,1787107720.9696236
http,47.80.60.84,3128,South Korea,KR,Seoul,transparent,true,28.24,AS45102,Alibaba.com LLC,8900.62,1787107713.432738
http,183.110.216.159,8091,South Korea,KR,Seongnam-si,anonymous,false,62.18,AS4766,Korea Telecom,1052.16,1787107706.405867
http,146.56.110.131,8118,South Korea,KR,Chuncheon,elite,false,11.3,AS31898,Oracle Corporation,9453.24,1787107701.0969293
http,219.249.37.107,8382,South Korea,KR,Busan,elite,false,55.03,AS9318,SK Broadband Co Ltd,786.69,1787107695.2906392
http,193.122.96.242,3128,South Korea,KR,Seoul,transparent,false,11.98,AS31898,Oracle Corporation,14014.28,1787107690.0608296
http,221.141.140.132,8118,South Korea,KR,Gyeonggi-do,elite,false,14.49,AS9318,SK Broadband Co Ltd,5024.84,1787107647.2510097
http,47.80.26.236,8080,South Korea,KR,Seoul,elite,false,26.05,AS45102,"Alibaba (US) Technology Co., Ltd.",11508.96,1787107642.9134202
http,1.231.81.166,3128,South Korea,KR,Jongno-gu,transparent,true,96.2,AS9318,SK Broadband Co Ltd,808.45,1787107639.6915383
http,49.247.136.38,8118,South Korea,KR,Gwangmyeong,elite,false,9.79,AS38700,SMILESERV,5192.29,1787107621.956499
http,8.213.128.6,9090,South Korea,KR,Seoul,elite,false,0.44,AS45102,"Alibaba (US) Technology Co., Ltd.",2886.36,1787107613.112062
http,8.213.128.6,1337,South Korea,KR,Seoul,elite,false,0.65,AS45102,"Alibaba (US) Technology Co., Ltd.",10210.54,1787107605.7806885
http,43.164.129.36,3128,South Korea,KR,Seoul,elite,false,23.6,AS132203,Shenzhen Tencent Computer Systems Company Limited,12689.11,1787107576.913235
