protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,121.177.104.201,3140,South Korea,KR,Changwon,transparent,true,2.36,AS4766,Korea Telecom,2677.4,1784052578.8983488
http,8.213.151.128,3128,South Korea,KR,Seoul,elite,true,91.49,AS45102,"Alibaba (US) Technology Co., Ltd.",1413.72,1784052571.9171731
http,175.215.147.9,3180,South Korea,KR,Changwon,transparent,true,2.32,AS4766,Korea Telecom,3388.5,1784052545.4776542
http,140.245.66.105,8081,South Korea,KR,Chuncheon,transparent,true,11.21,AS31898,Oracle Corporation,3842.76,1784052531.5884464
http,175.215.192.34,3148,South Korea,KR,Changwon,transparent,true,1.21,AS4766,Korea Telecom,22398.89,1784052529.1533668
http,112.186.12.196,3128,South Korea,KR,Yongin-si,transparent,true,15.59,AS4766,Korea Telecom,14354.21,1784052502.655849
http,8.220.204.215,4145,South Korea,KR,Seoul,elite,true,0.82,AS45102,"Alibaba (US) Technology Co., Ltd.",2585.28,1784052491.6281734
http,8.220.216.57,3128,South Korea,KR,Seoul,elite,true,27.0,AS45102,"Alibaba (US) Technology Co., Ltd.",10517.44,1784052482.45049
http,1.231.81.166,3128,South Korea,KR,Jongno-gu,transparent,true,95.59,AS9318,SK Broadband Co Ltd,1054.34,1784052385.950857
http,211.233.44.58,8080,South Korea,KR,Gwangmyeong,elite,true,86.99,AS3786,LG DACOM KIDC,7711.76,1784052594.3053012
