protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,114.108.177.104,60984,South Korea,KR,Daejeon,elite,true,17.59,AS3786,LG DACOM KIDC,1105.08,1780149246.2658348
socks4,121.139.218.165,43295,South Korea,KR,Ansan-si,elite,true,17.37,AS4766,Korea Telecom,1216.45,1780149244.0402625
socks4,58.235.170.51,5678,South Korea,KR,Chilgok-gun,elite,true,61.69,AS9318,SK Broadband Co Ltd,2145.23,1780149239.3258762
socks4,152.70.91.193,40000,South Korea,KR,Seoul,elite,true,66.73,AS31898,Oracle Corporation,1176.25,1780149234.298998
socks4,58.229.240.204,9050,South Korea,KR,Mapo-gu,elite,true,41.59,AS9318,SK Broadband Co Ltd,5392.66,1780149233.923402
socks4,130.162.141.185,52916,South Korea,KR,Seoul,elite,true,54.97,AS31898,Oracle Corporation,5694.45,1780149230.6794076
socks4,146.56.191.98,14785,South Korea,KR,Seoul,elite,true,25.04,AS31898,Oracle Corporation,13571.05,1780149220.7454364
socks4,158.247.206.191,1080,South Korea,KR,Seoul,elite,true,39.23,AS20473,"The Constant Company, LLC",5594.61,1780149214.8211865
socks4,158.247.193.221,1080,South Korea,KR,Seoul,elite,true,38.73,AS20473,"The Constant Company, LLC",2297.12,1780149210.541259
socks4,49.167.236.96,1080,South Korea,KR,Mapo-gu,elite,true,17.59,AS17858,LG POWERCOMM,1666.8,1780149207.3311126
