protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,80.90.183.221,1080,Kazakhstan,KZ,Almaty,elite,true,80.17,AS9123,Mamaev,772.87,1780058936.4791348
http,2.78.60.10,3129,Kazakhstan,KZ,Almaty,transparent,true,98.51,AS29355,Kcell JSC,2227.18,1780058934.532703
socks4,89.169.37.254,1080,Kazakhstan,KZ,Astana,elite,true,55.66,AS205516,NLS ASTANA LLP,2881.66,1780058934.5070312
socks5,88.204.142.108,1080,Kazakhstan,KZ,Almaty,elite,true,100.0,AS9198,JSC Kazakhtelecom,1060.3,1780058930.2564192
http,85.198.89.85,1439,Kazakhstan,KZ,Almaty,transparent,true,20.24,AS57008,ITGLOBAL,8864.25,1780058861.6375968
http,91.185.20.162,8080,Kazakhstan,KZ,Astana,transparent,false,33.97,AS41798,TTC Network,6782.76,1780058851.6483214
socks5,80.90.183.221,1080,Kazakhstan,KZ,Almaty,elite,true,68.78,AS9123,Mamaev,1851.18,1780058826.198103
http,82.115.60.51,80,Kazakhstan,KZ,Almaty,elite,false,51.85,AS200590,NLS Kazakhstan LLC,18936.83,1780058810.5433505
socks5,89.169.37.254,1080,Kazakhstan,KZ,Astana,elite,true,42.91,AS205516,NLS ASTANA LLP,10347.26,1780058747.7528934
socks5,195.133.8.226,1080,Kazakhstan,KZ,Astana,elite,true,83.11,AS41798,MTFINANCE,1537.37,1780058561.799878
socks5,176.12.74.0,1080,Kazakhstan,KZ,Almaty,elite,true,24.21,AS205431,Netfire TEC,3186.47,1780058543.7173917
