protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,82.200.236.130,3128,Kazakhstan,KZ,Öskemen Qalalyq Äkimshiligi,elite,true,14.25,AS9198,Kazakhtelecom Data Network Administration,657.48,1784743783.2961917
http,178.170.221.75,8443,Kazakhstan,KZ,Almaty,elite,false,16.54,AS48096,ALM,5267.55,1784743774.762579
http,5.180.21.43,8118,Kazakhstan,KZ,Almaty,elite,false,16.65,AS200590,NLS Kazakhstan LLC,3767.62,1784743759.6638265
http,89.218.175.84,8080,Kazakhstan,KZ,Atyrau,transparent,false,14.63,AS9198,JSC Kazakhtelecom,6525.59,1784743749.626556
http,82.115.60.51,80,Kazakhstan,KZ,Almaty,elite,false,53.55,AS200590,NLS Kazakhstan LLC,431.72,1784743738.3761573
http,194.58.42.190,3128,Kazakhstan,KZ,Almaty,transparent,true,26.36,AS41798,JSC Transtelecom,11630.6,1784743642.963943
http,176.12.72.62,3128,Kazakhstan,KZ,Almaty,elite,false,19.84,AS205431,Netfire TEC,3507.26,1784743608.3598077
http,93.185.68.82,8080,Kazakhstan,KZ,Atyrau,transparent,false,32.53,AS35104,"JSC ""KazTransCom""",6478.52,1784743776.373653
http,91.185.20.162,8080,Kazakhstan,KZ,Astana,transparent,true,25.96,AS41798,TTC Network,298.47,1784743759.821305
http,2.78.60.10,3129,Kazakhstan,KZ,Almaty,transparent,true,98.79,AS29355,Kcell JSC,812.48,1784743731.8793235
