protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,185.236.22.192,9050,Latvia,LV,Riga,elite,true,34.88,AS41745,Baykov Ilya Sergeevich,13240.66,1784153941.61868
socks5,185.236.22.192,9050,Latvia,LV,Riga,elite,true,33.83,AS41745,Baykov Ilya Sergeevich,14136.55,1784153901.8505838
socks4,159.148.146.65,5678,Latvia,LV,Riga,elite,true,59.34,AS2588,"SIA ""BITE Latvija""",138.91,1784153998.8721735
socks5,195.135.255.98,1080,Latvia,LV,Riga,elite,true,78.0,AS42532,SIA VEESP,1221.93,1784153989.93003
http,185.113.139.149,3128,Latvia,LV,Riga,transparent,true,97.62,AS41745,Baykov Ilya Sergeevich,5504.69,1784153983.2426353
http,13.140.17.206,3128,Latvia,LV,Riga,transparent,true,34.5,AS42532,SIA VEESP,13865.06,1784153979.5318031
http,185.176.220.23,8118,Latvia,LV,Riga,elite,true,8.42,AS39845,2 Cloud Ltd,12246.39,1784153963.2558374
socks4,185.176.220.23,9050,Latvia,LV,Riga,elite,true,32.52,AS39845,2 Cloud Ltd,12376.62,1784153955.9391918
http,92.63.83.23,3129,Latvia,LV,Riga,transparent,true,29.56,AS44575,"SIA ""MWTV""",1512.78,1784153954.859783
http,155.212.224.2,3128,Latvia,LV,Riga,transparent,false,28.43,AS9002,RETN Limited,5986.56,1784153864.0928187
