protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,62.68.48.22,8080,Libya,LY,Tripoli,transparent,false,18.26,AS21003,LTT Network Backbone and POPs,7073.05,1784105959.7561648
http,102.209.0.138,8080,Libya,LY,Benghazi,transparent,false,24.61,AS329435,Aljuman Aljadeed Limited Liability company,5110.9,1784105938.904818
http,102.38.30.24,8080,Libya,LY,Tripoli,transparent,false,26.9,AS328539,GZA,4975.83,1784105927.013443
http,102.38.30.151,8080,Libya,LY,Tripoli,transparent,false,15.55,AS328539,GZA,1209.88,1784105897.7958667
http,102.38.13.9,18000,Libya,LY,Tripoli,transparent,false,4.71,AS328539,Giga for Telecommunication and Technology Limited,1704.16,1784105879.329934
http,102.38.13.9,19000,Libya,LY,Tripoli,transparent,true,8.21,AS328539,Giga for Telecommunication and Technology Limited,157.21,1784105860.4438405
http,102.38.13.8,18000,Libya,LY,Tripoli,transparent,false,3.39,AS328539,Giga for Telecommunication and Technology Limited,1855.92,1784105823.8056977
http,102.38.30.138,8080,Libya,LY,Tripoli,transparent,false,19.95,AS328539,GZA,7468.16,1784105817.3479414
http,154.127.78.16,44444,Libya,LY,Waddān,transparent,true,11.93,AS37284,Aljeel Aljadeed For Technology,4912.11,1784105978.239892
http,165.16.27.42,1976,Libya,LY,Benghazi,transparent,false,3.39,AS37284,Aljeel Aljadeed For Technology,15751.63,1784105974.6979418
http,165.16.2.234,9999,Libya,LY,Benghazi,transparent,true,9.78,AS37284,Aljeel Aljadeed For Technology,1235.41,1784105966.3457847
http,165.16.27.43,1976,Libya,LY,Benghazi,transparent,false,14.83,AS37284,Aljeel Aljadeed For Technology,3621.79,1784105807.5838706
