protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,165.16.92.193,8101,Libya,LY,Tripoli,transparent,false,2.98,AS37284,Aljeel Aljadeed For Technology,290.86,1789105779.0738745
http,102.38.13.8,19000,Libya,LY,Tripoli,transparent,false,12.46,AS328539,Giga for Telecommunication and Technology Limited,3799.05,1789105742.6987054
http,165.16.92.193,8104,Libya,LY,Tripoli,transparent,false,9.35,AS37284,Aljeel Aljadeed For Technology,14602.14,1789105688.4527507
http,102.38.24.30,19000,Libya,LY,Tripoli,transparent,false,22.55,AS328539,Giga for Telecommunication and Technology Limited,7011.28,1789105674.4749956
http,102.209.0.138,8080,Libya,LY,Benghazi,transparent,true,23.89,AS329435,Aljuman Aljadeed Limited Liability company,12782.1,1789105667.0836887
http,102.38.21.2,19000,Libya,LY,Tripoli,transparent,true,16.32,AS328539,Giga for Telecommunication and Technology Limited,11779.59,1789105639.9832222
http,102.38.29.63,8080,Libya,LY,Tripoli,elite,false,19.55,AS328539,GZA,12591.7,1789105626.0907784
http,102.38.21.1,18000,Libya,LY,Tripoli,transparent,false,9.93,AS328539,Giga for Telecommunication and Technology Limited,11790.21,1789105618.7928472
http,102.68.128.214,8080,Libya,LY,Tripoli,transparent,false,9.18,AS21003,"LTT Autonomous System, Tripoli Libya",7728.8,1789105604.1323817
http,165.16.46.193,8080,Libya,LY,Tripoli,transparent,false,3.1,AS37284,Aljeel Aljadeed For Technology,8455.41,1789105591.3049016
