protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,196.64.101.246,1011,Morocco,MA,Rabat,elite,true,5.14,AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,326.18,1787934559.0252085
http,196.64.101.47,1011,Morocco,MA,Rabat,elite,true,3.11,AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,524.36,1787934551.6743343
http,196.64.101.104,1011,Morocco,MA,Rabat,elite,false,35.81,AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,428.46,1787934543.4118001
http,41.249.201.15,30001,Morocco,MA,Beni Mellal,elite,false,79.25,AS36903,ADSL Maroc telecom,1568.73,1787934533.2259912
http,105.159.153.123,4080,Morocco,MA,Casablanca,elite,true,7.41,AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,3802.15,1787934500.370264
http,105.159.157.36,4080,Morocco,MA,Casablanca,elite,false,10.71,AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,1574.57,1787934499.3332753
http,105.159.151.2,4080,Morocco,MA,Casablanca,elite,true,4.55,AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,487.88,1787934498.228162
http,105.159.129.80,4080,Morocco,MA,Casablanca,elite,true,7.14,AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,1550.73,1787934497.262293
http,105.159.153.109,4080,Morocco,MA,Casablanca,elite,true,12.0,AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,8307.66,1787934490.137082
http,196.64.101.104,1080,Morocco,MA,Rabat,elite,false,89.33,AS36903,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,376.69,1787934483.732021
