protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,196.75.175.184,1080,Morocco,MA,Rabat,elite,true,60.53,AS36903,ADSL Maroc telecom,1731.08,1789693775.779889
http,196.75.168.81,1080,Morocco,MA,Rabat,elite,false,67.06,AS36903,ADSL Maroc telecom,14902.39,1789693772.8439848
http,196.75.170.29,1081,Morocco,MA,Rabat,elite,false,47.06,AS36903,ADSL Maroc telecom,10207.55,1789693772.3094304
http,196.75.255.14,1081,Morocco,MA,Rabat,elite,false,44.12,AS36903,ADSL Maroc telecom,1019.85,1789693771.3225737
http,196.75.175.183,1080,Morocco,MA,Rabat,elite,true,54.29,AS36903,ADSL Maroc telecom,5819.23,1789693769.6633103
http,196.75.175.190,1080,Morocco,MA,Rabat,elite,true,66.28,AS36903,ADSL Maroc telecom,1333.46,1789693768.8703377
http,196.75.168.177,1080,Morocco,MA,Rabat,elite,false,56.34,AS36903,ADSL Maroc telecom,7701.43,1789693767.6527963
http,196.75.170.86,1001,Morocco,MA,Rabat,elite,false,68.39,AS36903,ADSL Maroc telecom,3267.47,1789693767.0447278
http,196.75.255.189,1001,Morocco,MA,Rabat,elite,false,73.61,AS36903,ADSL Maroc telecom,2734.4,1789693744.1782181
http,84.8.216.34,80,Morocco,MA,Casablanca,transparent,true,55.9,AS31898,Oracle Corporation,4085.97,1789693724.0489104
http,196.75.168.177,1001,Morocco,MA,Rabat,elite,false,67.74,AS36903,ADSL Maroc telecom,3885.56,1789693717.1863165
http,196.75.169.249,1001,Morocco,MA,Rabat,elite,true,70.17,AS36903,ADSL Maroc telecom,2270.74,1789693713.8850107
