protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,196.75.203.171,1000,Morocco,MA,Rabat,elite,true,100.0,AS36903,ADSL Maroc telecom,367.76,1790456033.5014832
http,196.75.159.71,1001,Morocco,MA,Rabat,elite,true,91.8,AS36903,ADSL Maroc telecom,9748.03,1790456030.396768
http,196.75.148.251,1001,Morocco,MA,Rabat,elite,true,100.0,AS36903,ADSL Maroc telecom,2356.05,1790456029.4534588
http,196.75.146.14,1001,Morocco,MA,Rabat,elite,true,90.91,AS36903,ADSL Maroc telecom,2586.04,1790456028.0800276
http,196.75.193.193,1081,Morocco,MA,Rabat,elite,true,78.57,AS36903,ADSL Maroc telecom,4854.56,1790456022.935563
http,196.75.155.210,1001,Morocco,MA,Rabat,elite,true,92.86,AS36903,ADSL Maroc telecom,5305.22,1790456022.1702642
http,196.75.166.11,1001,Morocco,MA,Rabat,elite,true,95.71,AS36903,ADSL Maroc telecom,4015.97,1790456021.6714103
http,196.75.207.212,1001,Morocco,MA,Rabat,elite,true,90.0,AS36903,ADSL Maroc telecom,2922.97,1790456012.1728976
http,196.75.143.181,1001,Morocco,MA,Rabat,elite,true,100.0,AS36903,ADSL Maroc telecom,8895.96,1790456009.1543286
http,196.75.189.67,1001,Morocco,MA,Rabat,elite,true,92.42,AS36903,ADSL Maroc telecom,2937.55,1790456006.329349
http,196.75.166.252,1001,Morocco,MA,Rabat,elite,true,90.14,AS36903,ADSL Maroc telecom,2377.36,1790455997.6430726
http,196.75.157.196,1001,Morocco,MA,Rabat,elite,true,90.57,AS36903,ADSL Maroc telecom,8966.62,1790455995.7842624
http,196.75.153.56,1001,Morocco,MA,Rabat,elite,true,91.43,AS36903,ADSL Maroc telecom,3353.67,1790455995.3120816
http,196.75.149.23,1001,Morocco,MA,Rabat,elite,true,33.33,AS36903,ADSL Maroc telecom,2704.58,1790455977.7998986
http,196.75.141.162,1001,Morocco,MA,Rabat,elite,true,83.33,AS36903,ADSL Maroc telecom,1722.14,1790455953.8496566
http,196.75.203.171,1111,Morocco,MA,Rabat,elite,true,100.0,AS36903,ADSL Maroc telecom,1294.89,1790455937.7353053
http,196.75.166.158,1001,Morocco,MA,Rabat,elite,true,93.15,AS36903,ADSL Maroc telecom,9274.16,1790455926.4075267
