protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.194.246.34,999,Mexico,MX,Los Ramírez,transparent,true,41.97,AS28458,IENTC S de RL de CV,3075.65,1780238352.982368
socks5,201.165.172.3,1080,Mexico,MX,Guadalajara,elite,true,31.1,AS13999,"Mega Cable, S.A. de C.V.",8235.59,1780238342.9469957
http,38.194.231.66,999,Mexico,MX,Cuapiaxtla de Madero,transparent,false,14.11,AS28458,IENTC S de RL de CV,9388.71,1780238332.6305742
http,177.229.197.94,999,Mexico,MX,Tapachula,transparent,false,24.1,AS13999,"Mega Cable, S.A. de C.V.",4842.09,1780238327.819857
http,187.190.127.212,8081,Mexico,MX,Puerto Vallarta,transparent,false,14.41,AS22884,Total Play Telecomunicaciones SA De CV,4145.51,1780238325.136709
http,201.159.97.25,8081,Mexico,MX,General Escobedo,transparent,false,9.18,AS28539,Administradora de Servicios de Internet Sandur S.A. de C.V.,10954.49,1780238316.1655636
socks4,170.81.141.254,61437,Mexico,MX,Aguascalientes,elite,true,6.67,AS28418,Nueva RED Internet De Mexico S De RL De CV,7917.99,1780238312.1663022
http,38.123.220.108,999,Mexico,MX,Manzana Sexta Parte Centro,transparent,false,23.16,AS174,Cogent Communications,4151.88,1780238303.231887
http,177.242.132.38,999,Mexico,MX,Culiacán,transparent,false,9.72,AS262916,"Mega Cable, S.A. de C.V.",2541.29,1780238276.2919903
http,45.174.243.144,999,Mexico,MX,Champotón,transparent,false,26.88,AS265583,Sistemas Y Soluciones De Campeche SAS De CV,8767.6,1780238274.9909468
http,45.190.76.107,999,Mexico,MX,Zapopan,transparent,false,6.1,AS265614,Meta Networks SA De CV,5367.38,1780238271.8053412
http,148.230.4.241,999,Mexico,MX,Naranjos,transparent,true,89.52,AS265606,Digy Networks,476.71,1780238270.7975788
http,45.174.92.44,8087,Mexico,MX,San Juan Bautista Tuxtla,transparent,false,37.17,AS28429,Enlace de Datos y Redes SA de CV,5106.39,1780238270.508193
http,187.190.114.40,999,Mexico,MX,Úrsulo Galván,transparent,true,40.75,AS22884,Total Play Telecomunicaciones SA De CV,9663.6,1780238269.6998725
http,177.242.137.182,999,Mexico,MX,Metepec,transparent,true,11.23,AS262916,"Mega Cable, S.A. de C.V.",3587.12,1780238263.4506834
http,45.189.252.49,999,Mexico,MX,Alvarado,transparent,false,12.95,AS265613,Tracered SA De CV,8008.42,1780238243.5362482
http,168.194.0.249,252,Mexico,MX,Nuevo Laredo,transparent,true,56.18,AS28411,Aire Cable S.A. de C.V.,4893.87,1780238224.1198285
http,187.190.58.152,8081,Mexico,MX,Mazatlán,transparent,true,15.18,AS22884,Total Play Telecomunicaciones SA De CV,4071.36,1780238223.0061903
http,186.96.160.220,999,Mexico,MX,Mexico City,transparent,false,29.0,AS22884,Total Play Telecomunicaciones SA De CV,2265.81,1780238210.625539
http,201.139.115.206,8082,Mexico,MX,Puebla City,elite,false,9.42,AS32098,Transtelco Inc,7634.87,1780238205.5483632
socks4,201.174.17.126,7755,Mexico,MX,Ciudad Juárez,elite,true,5.42,AS32098,Transtelco Inc,794.06,1780238395.6431189
http,5.102.109.41,999,Mexico,MX,San Juan del Río,transparent,true,36.86,AS270172,IPXO,5147.48,1780238310.4078653
