protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,192.249.55.114,3128,Mexico,MX,Reynosa,transparent,true,24.73,AS55025,Bluezone Internet Inc,3502.33,1784060083.6042905
http,38.224.223.173,999,Mexico,MX,Cunduacán,transparent,true,27.62,AS28435,Cogent Communications,1406.09,1784060077.789211
http,38.49.142.174,999,Mexico,MX,Noria de Camarena,transparent,true,19.73,AS28458,IENTC S de RL de CV,2478.07,1784060062.0451107
http,187.190.127.212,8081,Mexico,MX,Puerto Vallarta,transparent,true,16.08,AS22884,Total Play Telecomunicaciones SA De CV,1449.79,1784060058.4046922
http,38.56.249.14,999,Mexico,MX,Xaltocan,transparent,true,36.1,AS28451,Asespri Ethernet,9892.11,1784060056.487994
http,187.245.214.8,999,Mexico,MX,Las Margaritas,transparent,true,35.78,AS13999,"Mega Cable, S.A. de C.V.",3726.56,1784060038.2454972
http,38.123.220.175,999,Mexico,MX,San Francisco de Guzmán,transparent,true,25.21,AS174,Cogent Communications,4040.8,1784060001.6484299
http,186.96.160.220,999,Mexico,MX,Mexico City,transparent,true,25.93,AS22884,Total Play Telecomunicaciones SA De CV,502.58,1784060000.3089066
http,187.251.230.15,8080,Mexico,MX,Dos Ríos,transparent,true,13.12,AS22884,Total Play Telecomunicaciones SA De CV,1909.12,1784059997.5042303
http,187.188.169.140,999,Mexico,MX,Puebla City,transparent,true,33.73,AS22884,Total Play Telecomunicaciones SA De CV,3466.26,1784059996.940792
http,38.19.36.86,999,Mexico,MX,Pánuco,transparent,true,32.12,AS265525,TV CABLE DEL GUADIANA S.A DE C.V.,7786.5,1784059994.4202716
http,38.49.152.195,999,Mexico,MX,El Pueblito,transparent,true,11.39,AS28458,IENTC S de RL de CV,8074.85,1784059990.7102425
http,187.190.58.152,8081,Mexico,MX,Mazatlán,transparent,true,17.48,AS22884,Total Play Telecomunicaciones SA De CV,3601.38,1784059973.647864
http,187.243.251.66,999,Mexico,MX,Ahome,transparent,true,17.38,AS13999,"Mega Cable, S.A. de C.V.",7673.95,1784059972.7158267
http,201.159.99.37,8081,Mexico,MX,General Escobedo,transparent,true,8.45,AS28539,Administradora de Servicios de Internet Sandur S.A. de C.V.,4066.95,1784060073.4769008
http,201.164.60.74,999,Mexico,MX,Sahuayo de Morelos,transparent,true,26.6,AS13999,"Mega Cable, S.A. de C.V.",482.23,1784060056.2113535
http,94.74.66.91,7890,Mexico,MX,Ciudad De México,elite,true,93.69,AS136907,Huawei International Pte. LTD,416.58,1784060055.9544222
http,45.174.168.8,999,Mexico,MX,Tulancingo,transparent,true,22.0,AS265579,Telecomunicaciones Otomies,11719.87,1784060047.5536304
http,148.224.7.58,999,Mexico,MX,Uruapan,transparent,true,29.35,AS270186,Jorge Luis Torres Fernandez,4642.08,1784060043.5879302
http,45.174.168.53,999,Mexico,MX,Tulancingo,transparent,true,26.77,AS265579,Telecomunicaciones Otomies,2184.66,1784060013.9145067
http,45.174.56.21,999,Mexico,MX,Puruándiro,transparent,true,14.89,AS270187,2M INGENIERIA Y SERVICIOS EN TELECOMUNICACIONES,2448.26,1784059990.8479445
http,206.135.31.154,999,Mexico,MX,Tepeji del Río de Ocampo,transparent,true,25.91,AS28458,GTT Americas,534.11,1784060114.3655732
