protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,219.93.101.60,80,Malaysia,MY,Batu Caves,anonymous,false,85.82,AS4788,ADSL Streamyx Telekom Malaysia,588.6,1787868890.506361
http,219.93.101.63,80,Malaysia,MY,Batu Caves,anonymous,false,86.53,AS4788,ADSL Streamyx Telekom Malaysia,591.59,1787868888.3276458
http,219.93.101.62,80,Malaysia,MY,Batu Caves,anonymous,false,91.78,AS4788,ADSL Streamyx Telekom Malaysia,598.58,1787868887.3611786
socks5,47.250.177.202,8999,Malaysia,MY,Kuala Lumpur,elite,true,1.04,AS45102,"Alibaba (US) Technology Co., Ltd.",6332.46,1787868868.865311
socks5,47.250.177.202,8083,Malaysia,MY,Kuala Lumpur,elite,true,1.05,AS45102,"Alibaba (US) Technology Co., Ltd.",6339.7,1787868868.3705583
socks5,47.250.177.202,5060,Malaysia,MY,Kuala Lumpur,elite,true,1.0,AS45102,"Alibaba (US) Technology Co., Ltd.",9366.84,1787868865.7440517
socks5,47.250.177.202,9091,Malaysia,MY,Kuala Lumpur,elite,true,1.02,AS45102,"Alibaba (US) Technology Co., Ltd.",9414.58,1787868865.1775467
socks5,47.250.177.202,3128,Malaysia,MY,Kuala Lumpur,elite,true,0.94,AS45102,"Alibaba (US) Technology Co., Ltd.",9401.47,1787868865.091611
http,175.136.239.174,8181,Malaysia,MY,Kuala Lumpur,transparent,true,75.33,AS4788,Telekom Malaysia Berhad,801.83,1787868860.7104237
socks5,47.250.177.202,10804,Malaysia,MY,Kuala Lumpur,elite,true,0.71,AS45102,"Alibaba (US) Technology Co., Ltd.",13957.59,1787868860.1893861
http,175.136.215.4,18080,Malaysia,MY,Kuala Lumpur,elite,false,28.25,AS4788,Telekom Malaysia Berhad,6118.23,1787868859.8779385
http,175.139.255.25,8181,Malaysia,MY,Kuala Lumpur,transparent,true,80.76,AS4788,TM TECHNOLOGY SERVICES SDN BHD,1138.4,1787868850.3499103
socks5,47.250.211.53,1080,Malaysia,MY,Kuala Lumpur,elite,true,94.33,AS45102,"Alibaba (US) Technology Co., Ltd.",1246.44,1787868848.3400984
http,175.136.239.173,8181,Malaysia,MY,Kuala Lumpur,transparent,true,75.25,AS4788,Telekom Malaysia Berhad,2193.44,1787868846.344863
http,175.138.245.213,8081,Malaysia,MY,Kuala Lumpur,transparent,false,25.09,AS4788,TM TECHNOLOGY SERVICES SDN BHD,3550.24,1787868841.1922984
http,175.143.76.177,8181,Malaysia,MY,Petaling Jaya,transparent,true,70.23,AS4788,TM TECHNOLOGY SERVICES SDN BHD,8207.31,1787868839.8307047
http,180.74.108.17,8080,Malaysia,MY,Iskandar Puteri,transparent,false,31.76,AS4788,TM TECHNOLOGY SERVICES SDN BHD,11830.68,1787868834.7748628
