protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,175.139.255.25,8181,Malaysia,MY,Kuala Lumpur,transparent,true,99.8,AS4788,TM TECHNOLOGY SERVICES SDN BHD,512.78,1784311167.4240174
http,219.93.101.60,80,Malaysia,MY,Kota Kinabalu,anonymous,false,83.38,AS4788,ADSL Streamyx Telekom Malaysia,618.51,1784311156.372591
http,219.93.101.63,80,Malaysia,MY,Kota Kinabalu,anonymous,false,83.19,AS4788,ADSL Streamyx Telekom Malaysia,3155.56,1784311142.9203563
http,175.136.215.4,18080,Malaysia,MY,Kuala Lumpur,elite,true,94.74,AS4788,Telekom Malaysia Berhad,4995.72,1784311135.3627257
http,47.250.159.65,2002,Malaysia,MY,Kuala Lumpur,elite,false,0.9,AS45102,"Alibaba (US) Technology Co., Ltd.",4854.84,1784311130.68794
http,47.250.159.65,50,Malaysia,MY,Kuala Lumpur,elite,false,0.87,AS45102,"Alibaba (US) Technology Co., Ltd.",9633.47,1784311126.8099418
http,219.93.101.62,80,Malaysia,MY,Kota Kinabalu,anonymous,false,90.75,AS4788,ADSL Streamyx Telekom Malaysia,1614.65,1784311125.410343
http,60.51.249.168,8080,Malaysia,MY,Ampang,transparent,false,40.07,AS4788,TM TECHNOLOGY SERVICES SDN BHD,11122.89,1784311101.3719964
http,60.53.38.230,8080,Malaysia,MY,Cyberjaya,transparent,false,37.24,AS4788,TM TECHNOLOGY SERVICES SDN BHD,4055.52,1784311008.999836
http,58.84.16.214,1231,Malaysia,MY,Putrajaya,transparent,false,11.12,AS38182,Extreme Broadband,3417.02,1784310938.444377
