protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,175.139.255.25,8181,Malaysia,MY,Kuala Lumpur,transparent,true,79.74,AS4788,TM TECHNOLOGY SERVICES SDN BHD,1845.11,1788707910.2137518
http,175.143.76.177,8181,Malaysia,MY,Petaling Jaya,transparent,true,71.15,AS4788,TM TECHNOLOGY SERVICES SDN BHD,1296.95,1788707906.8640947
http,60.53.116.124,8080,Malaysia,MY,Cyberjaya,transparent,true,30.76,AS4788,TM TECHNOLOGY SERVICES SDN BHD,3468.59,1788707881.4527116
http,1.9.88.152,8088,Malaysia,MY,Segamat,transparent,true,21.09,AS4788,TM TECHNOLOGY SERVICES SDN BHD,1420.43,1788707864.5997045
http,175.136.239.174,8181,Malaysia,MY,Kuala Lumpur,transparent,true,75.05,AS4788,Telekom Malaysia Berhad,4086.45,1788707863.828254
http,47.250.51.110,80,Malaysia,MY,Kuala Lumpur,elite,true,0.97,AS45102,Alibaba Cloud LLC,2339.82,1788707861.9465392
http,47.250.159.65,41,Malaysia,MY,Kuala Lumpur,elite,true,0.99,AS45102,"Alibaba (US) Technology Co., Ltd.",6033.15,1788707854.6152663
http,175.136.239.173,8181,Malaysia,MY,Kuala Lumpur,transparent,true,75.16,AS4788,Telekom Malaysia Berhad,2824.62,1788707844.0466032
http,150.129.185.3,80,Malaysia,MY,Putrajaya,transparent,true,27.98,AS24514,Multimedia Development Corporation,13644.39,1788707833.0458062
http,175.138.245.213,8081,Malaysia,MY,Puchong,transparent,true,25.28,AS4788,TM TECHNOLOGY SERVICES SDN BHD,3550.36,1788707808.2029018
