protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,47.250.211.53,1080,Malaysia,MY,Kuala Lumpur,elite,true,97.65,AS45102,"Alibaba (US) Technology Co., Ltd.",2592.42,1787118857.0161145
socks5,47.250.155.254,9080,Malaysia,MY,Kuala Lumpur,elite,true,1.13,AS45102,"Alibaba (US) Technology Co., Ltd.",6365.41,1787118845.123824
socks5,47.250.155.254,45,Malaysia,MY,Kuala Lumpur,elite,true,1.18,AS45102,"Alibaba (US) Technology Co., Ltd.",6437.91,1787118843.4248774
socks5,47.250.177.202,999,Malaysia,MY,Kuala Lumpur,elite,true,1.07,AS45102,"Alibaba (US) Technology Co., Ltd.",6363.11,1787118843.0082943
socks5,47.250.155.254,3129,Malaysia,MY,Kuala Lumpur,elite,true,1.09,AS45102,"Alibaba (US) Technology Co., Ltd.",6363.58,1787118841.1276498
socks5,47.250.177.202,104,Malaysia,MY,Kuala Lumpur,elite,true,1.08,AS45102,"Alibaba (US) Technology Co., Ltd.",6348.88,1787118840.9699557
socks5,47.250.177.202,2000,Malaysia,MY,Kuala Lumpur,elite,true,0.87,AS45102,"Alibaba (US) Technology Co., Ltd.",6786.27,1787118840.0800607
socks5,47.250.177.202,3128,Malaysia,MY,Kuala Lumpur,elite,true,0.99,AS45102,"Alibaba (US) Technology Co., Ltd.",7374.41,1787118839.5116508
socks5,47.250.155.254,31281,Malaysia,MY,Kuala Lumpur,elite,true,0.85,AS45102,"Alibaba (US) Technology Co., Ltd.",6460.42,1787118839.2755384
socks5,47.250.177.202,6379,Malaysia,MY,Kuala Lumpur,elite,true,1.08,AS45102,"Alibaba (US) Technology Co., Ltd.",7667.6,1787118839.247897
socks5,47.250.177.202,8888,Malaysia,MY,Kuala Lumpur,elite,true,1.0,AS45102,"Alibaba (US) Technology Co., Ltd.",7682.85,1787118839.211198
socks5,47.250.155.254,28,Malaysia,MY,Kuala Lumpur,elite,true,0.78,AS45102,"Alibaba (US) Technology Co., Ltd.",7142.13,1787118838.6938899
socks5,47.250.177.202,9080,Malaysia,MY,Kuala Lumpur,elite,true,1.04,AS45102,"Alibaba (US) Technology Co., Ltd.",9385.42,1787118837.6320279
socks5,47.250.155.254,89,Malaysia,MY,Kuala Lumpur,elite,true,1.09,AS45102,"Alibaba (US) Technology Co., Ltd.",9403.39,1787118836.734541
socks5,47.250.155.254,6379,Malaysia,MY,Kuala Lumpur,elite,true,1.13,AS45102,"Alibaba (US) Technology Co., Ltd.",9905.25,1787118835.828111
