protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,102.36.231.77,1080,Nigeria,NG,Lagos,elite,true,57.49,AS328555,Timeless Network Services Ltd,8282.25,1785245073.5258436
http,143.105.102.145,8080,Nigeria,NG,Lagos,elite,false,26.72,AS14593,Space Exploration Technologies Corporation,5198.07,1785245066.1428018
socks4,154.113.195.161,5678,Nigeria,NG,Kosofe,elite,true,6.69,AS37282,Main one Cable Company Nigeria Limited,3606.24,1785245061.0697126
socks5,102.69.146.59,7080,Nigeria,NG,Lagos,elite,true,52.97,AS328451,IP Express Ltd,2646.15,1785245051.1344821
http,129.222.204.27,10000,Nigeria,NG,Lagos,transparent,false,30.04,AS14593,Space Exploration Technologies Corporation,5323.56,1785245031.4861555
http,197.253.23.4,8080,Nigeria,NG,Lagos,transparent,false,30.31,AS37282,Main one Cable Company Nigeria Limited,744.42,1785245023.3530989
http,154.113.209.162,8082,Nigeria,NG,Lagos,transparent,false,23.42,AS37282,Main one Cable Company Nigeria Limited,1590.33,1785244900.7384567
socks4,41.75.84.86,4153,Nigeria,NG,Lagos,elite,true,47.29,AS37282,Main one Cable Company Nigeria Limited,607.61,1785244791.0030923
http,41.242.72.68,8080,Nigeria,NG,Abeokuta,transparent,false,53.74,AS37605,General Telecommunication Networks Limited,11309.96,1785244754.6638806
http,41.203.76.166,8080,Nigeria,NG,Lagos,transparent,false,11.36,AS37148,GLO,2060.17,1785244694.3697746
