protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,77.105.139.108,1080,The Netherlands,NL,Amsterdam,elite,true,49.48,AS216071,Servers Tech Fzco,1559.55,1780197891.2599154
socks4,85.17.61.80,9050,Netherlands,NL,Haarlem,elite,true,33.24,AS60781,LeaseWeb Netherlands B.V.,1806.24,1780197888.7726989
socks4,77.239.111.173,1080,Netherlands,NL,Amsterdam,elite,true,25.12,AS215590,DpkgSoft International Limited,238.06,1780197886.973405
socks4,85.192.29.60,1080,Netherlands,NL,Amsterdam,elite,true,65.19,AS210644,Aeza International LTD,7235.52,1780197886.3950968
socks5,144.124.224.140,1080,Netherlands,NL,Amsterdam,elite,true,38.23,AS216071,Servers Tech Fzco,3522.86,1780197886.0858114
socks5,45.91.236.58,1080,Netherlands,NL,Amsterdam,elite,true,9.55,AS210976,"Timeweb, LLP",626.74,1780197884.6286159
socks5,144.124.232.204,5222,Netherlands,NL,Amsterdam,elite,true,82.63,AS216071,Servers Tech Fzco,498.53,1780197883.3962789
socks5,72.56.98.237,1080,Netherlands,NL,Amsterdam,elite,true,100.0,AS210976,"Timeweb, LLP",165.47,1780197883.2573624
socks5,85.17.61.80,9050,Netherlands,NL,Haarlem,elite,true,30.18,AS60781,LeaseWeb Netherlands B.V.,1057.27,1780197882.2718012
socks5,144.124.232.204,1080,Netherlands,NL,Amsterdam,elite,true,56.53,AS216071,Servers Tech Fzco,3198.32,1780197881.6342192
socks4,185.244.49.240,1080,Netherlands,NL,Amsterdam,elite,true,18.08,AS57043,Hostkey B.V.,79.65,1780197878.3999672
socks5,77.239.111.173,1080,Netherlands,NL,Amsterdam,elite,true,25.95,AS215590,DpkgSoft International Limited,1429.63,1780197878.1230023
http,185.244.49.240,3128,Netherlands,NL,Amsterdam,elite,true,12.53,AS57043,Hostkey B.V.,53.75,1780197875.9848688
socks5,144.124.227.88,3129,Netherlands,NL,Amsterdam,elite,true,59.85,AS216071,Servers Tech Fzco,1416.26,1780197875.8719647
socks5,93.115.18.235,8008,Netherlands,NL,Dronten,elite,true,47.01,AS202448,Mvps LTD,12510.17,1780197875.399259
socks4,128.199.37.92,1080,Netherlands,NL,Amsterdam,elite,true,68.6,AS14061,"DigitalOcean, LLC",198.78,1780197875.3308291
socks4,91.84.107.177,9050,Netherlands,NL,Amsterdam,elite,true,43.52,AS216071,Servers Tech Fzco,15790.63,1780197875.2938237
socks4,154.83.140.184,52123,The Netherlands,NL,Amsterdam,elite,true,44.84,AS200758,Soon Bodywerkz Auto Pte. LTD,4123.12,1780197874.4410827
socks5,72.56.88.217,1080,Netherlands,NL,Amsterdam,elite,true,94.07,AS210976,"Timeweb, LLP",422.94,1780197871.8760824
socks4,46.30.41.59,9956,Netherlands,NL,Amsterdam,elite,true,25.42,AS216139,EUROBYTE,973.51,1780197870.2827113
socks4,93.115.18.235,8008,Netherlands,NL,Dronten,elite,true,45.0,AS202448,Mvps LTD,812.0,1780197869.5324583
socks5,128.199.37.92,1080,Netherlands,NL,Amsterdam,elite,true,57.78,AS14061,"DigitalOcean, LLC",6613.8,1780197867.9039903
socks4,89.110.100.81,35382,Netherlands,NL,Amsterdam,elite,true,40.58,AS216071,Servers Tech Fzco,3602.18,1780197867.2005246
socks4,194.87.191.118,20090,Netherlands,NL,Dronten,elite,true,35.3,AS41745,Baykov Ilya Sergeevich,3586.08,1780197865.0994418
socks5,157.22.205.63,1080,The Netherlands,NL,Amsterdam,elite,true,16.41,AS29182,JSC IOT,3078.81,1780197862.7668474
socks4,146.0.77.29,9050,Netherlands,NL,Amsterdam,elite,true,25.1,AS57043,HOSTKEY,3094.09,1780197862.3919406
socks5,147.45.231.249,8443,The Netherlands,NL,Amsterdam,elite,true,38.24,AS210976,"Timeweb, LLP",8299.62,1780197862.0514348
socks5,37.49.224.243,1080,The Netherlands,NL,Amsterdam,elite,true,39.29,AS3920,PUSHPKT OU,201.99,1780197860.6180222
socks5,72.56.73.224,80,Netherlands,NL,Amsterdam,elite,true,45.85,AS210976,"Timeweb, LLP",4014.56,1780197859.4602504
socks5,79.137.197.56,1082,Netherlands,NL,Amsterdam,elite,true,28.6,AS210644,Aeza International LTD,4178.26,1780197859.368442
socks4,79.137.198.159,42771,Netherlands,NL,Amsterdam,elite,true,31.76,AS210644,Aeza International LTD,5136.15,1780197857.8986397
socks5,85.155.96.109,1080,Netherlands,NL,Eygelshoven,elite,true,62.34,AS207513,"LLC ""HOSTOFF CSL""",1009.89,1780197857.2934241
http,109.236.88.82,80,Netherlands,NL,Naaldwijk,elite,false,54.08,AS49981,WorldStream B.V.,58.66,1780197856.7205944
socks4,79.137.199.99,1080,Netherlands,NL,Amsterdam,elite,true,42.33,AS210644,Aeza International LTD,3202.63,1780197856.232587
socks5,154.83.140.184,52123,The Netherlands,NL,Amsterdam,elite,true,47.11,AS200758,Soon Bodywerkz Auto Pte. LTD,6755.09,1780197856.0159986
socks4,109.71.246.44,1080,Netherlands,NL,Amsterdam,elite,true,85.57,AS210976,"Timeweb, LLP",3657.53,1780197854.2068124
socks5,79.137.199.99,1080,Netherlands,NL,Amsterdam,elite,true,38.45,AS210644,Aeza International LTD,3298.58,1780197853.891391
socks5,146.0.77.29,9050,Netherlands,NL,Amsterdam,elite,true,20.0,AS57043,HOSTKEY,1286.14,1780197852.838993
http,46.8.112.212,3128,Netherlands,NL,Amsterdam,elite,true,21.72,AS215305,Mastersoft S.R.L.,92.63,1780197849.0343456
socks5,68.183.7.53,9100,Netherlands,NL,Amsterdam,elite,true,23.14,AS14061,"DigitalOcean, LLC",9695.87,1780197847.6045241
socks4,144.31.224.2,1080,Netherlands,NL,Amsterdam,elite,true,98.12,AS215439,Play2go International Limited,10005.66,1780197845.5881374
socks4,68.183.7.53,9100,Netherlands,NL,Amsterdam,elite,true,30.73,AS14061,"DigitalOcean, LLC",11177.21,1780197844.9855404
http,144.31.224.2,1080,Netherlands,NL,Amsterdam,elite,false,97.08,AS215439,Play2go International Limited,11377.6,1780197844.2196364
socks5,185.244.49.240,1080,Netherlands,NL,Amsterdam,elite,true,20.03,AS57043,Hostkey B.V.,985.33,1780197843.5131772
socks5,157.22.203.216,1080,The Netherlands,NL,Amsterdam,elite,true,16.27,AS29182,JSC IOT,403.32,1780197842.3260696
socks5,146.0.73.222,1080,Netherlands,NL,Amsterdam,elite,true,45.61,AS57043,HOSTKEY,13672.5,1780197841.6363912
socks5,89.110.69.231,30459,Netherlands,NL,Amsterdam,elite,true,26.94,AS216071,Servers Tech Fzco,2465.87,1780197838.294611
socks5,37.220.84.231,28016,The Netherlands,NL,Amsterdam,elite,true,24.6,AS210976,"Timeweb, LLP",4231.01,1780197837.7055
socks4,89.19.215.248,1080,The Netherlands,NL,Amsterdam,elite,true,42.24,AS210976,"Timeweb, LLP",5925.16,1780197837.6464348
socks5,89.124.110.21,1080,Netherlands,NL,Amsterdam,elite,true,80.08,AS216071,Servers Tech Fzco,114.87,1780197837.53622
socks5,178.208.88.28,1080,Netherlands,NL,Amsterdam,elite,true,52.32,AS216139,MCHOST,197.13,1780197828.829745
socks5,144.31.224.2,1080,Netherlands,NL,Amsterdam,elite,true,98.21,AS215439,Play2go International Limited,10720.02,1780197828.7467735
socks5,89.110.100.81,35382,Netherlands,NL,Amsterdam,elite,true,29.9,AS216071,Servers Tech Fzco,2401.47,1780197826.354122
socks5,157.22.203.174,1080,The Netherlands,NL,Amsterdam,elite,true,100.0,AS29182,JSC IOT,346.43,1780197824.4368162
socks5,157.22.205.56,1080,The Netherlands,NL,Amsterdam,elite,true,14.99,AS29182,JSC IOT,394.56,1780197824.3627799
socks5,45.149.235.243,1081,The Netherlands,NL,Amsterdam,elite,true,55.41,AS207957,SERV.HOST GROUP LTD,2406.62,1780197822.478069
socks5,194.87.191.118,20090,Netherlands,NL,Dronten,elite,true,26.93,AS41745,Baykov Ilya Sergeevich,3049.26,1780197821.5755634
socks4,109.107.166.207,30385,Netherlands,NL,Amsterdam,elite,true,29.0,AS216071,Servers Tech Fzco,6510.52,1780197821.5096788
socks5,93.177.116.84,1080,Netherlands,NL,Dronten,elite,true,81.12,AS41745,Baykov Ilya Sergeevich,1248.65,1780197820.4553313
socks5,144.124.253.249,1080,Netherlands,NL,Amsterdam,elite,true,25.45,AS216071,Servers Tech Fzco,9114.51,1780197819.7018309
socks5,195.160.223.99,9050,Netherlands,NL,Haarlem,elite,true,31.15,AS43641,SOLLUTIUM EU Sp z.o.o.,10568.65,1780197819.5511227
http,109.71.246.44,8888,Netherlands,NL,Amsterdam,elite,true,38.76,AS210976,"Timeweb, LLP",4817.42,1780197818.6956832
socks5,89.124.79.162,1080,Netherlands,NL,Amsterdam,elite,true,46.24,AS216071,Servers Tech Fzco,162.54,1780197816.2377753
socks5,109.71.246.44,1080,Netherlands,NL,Amsterdam,elite,true,86.41,AS210976,"Timeweb, LLP",2052.05,1780197814.7506793
socks5,144.124.227.191,1080,Netherlands,NL,Amsterdam,elite,true,28.87,AS216071,Servers Tech Fzco,10751.2,1780197814.4739327
socks5,185.233.203.60,1080,Netherlands,NL,Amsterdam,elite,true,47.81,AS200740,First Server Limited,176.57,1780197813.4709668
socks5,144.31.97.40,1080,Netherlands,NL,Amsterdam,elite,true,46.75,AS216127,International Hosting Company Limited,2349.05,1780197812.9879594
socks4,72.56.64.208,1080,Netherlands,NL,Amsterdam,elite,true,61.62,AS210976,"Timeweb, LLP",20511.65,1780197811.3830683
socks5,85.192.29.60,1080,Netherlands,NL,Amsterdam,elite,true,61.81,AS210644,Aeza International LTD,108.71,1780197811.3828962
socks5,89.124.122.218,1080,Netherlands,NL,Amsterdam,elite,true,59.85,AS216071,Servers Tech Fzco,102.59,1780197809.327706
socks5,79.137.197.56,1081,Netherlands,NL,Amsterdam,elite,true,19.99,AS210644,Aeza International LTD,2880.37,1780197806.555517
socks5,144.124.227.90,21074,Netherlands,NL,Amsterdam,elite,true,62.65,AS216071,Servers Tech Fzco,185.39,1780197805.9950278
http,85.192.29.229,8888,Netherlands,NL,Amsterdam,elite,true,100.0,AS210644,Aeza International LTD,36.18,1780197798.5014572
socks5,194.135.38.119,2333,The Netherlands,NL,Amsterdam,elite,true,23.49,AS210976,"Timeweb, LLP",4959.37,1780197790.349194
http,77.239.108.24,3128,Netherlands,NL,Amsterdam,elite,true,15.14,AS215590,DpkgSoft International Limited,2809.82,1780197787.0637476
socks5,144.124.232.204,443,Netherlands,NL,Amsterdam,elite,true,46.57,AS216071,Servers Tech Fzco,89.18,1780197786.9141054
socks5,95.211.190.26,9100,The Netherlands,NL,Haarlem,elite,true,24.0,AS60781,LeaseWeb Netherlands B.V.,19680.81,1780197774.4520967
http,147.75.34.105,443,Netherlands,NL,Amsterdam,elite,false,84.31,AS15830,Equinix (EMEA) Acquisition Enterprises B.V.,2946.68,1780197769.6845884
http,45.88.174.195,8080,Netherlands,NL,Amsterdam,elite,true,77.11,AS216154,Clodo Cloud Service CO. L.L.C,75.51,1780197729.2340257
http,144.124.227.90,21074,Netherlands,NL,Amsterdam,elite,true,32.42,AS216071,Servers Tech Fzco,63.79,1780197725.336608
http,45.12.255.106,3128,Netherlands,NL,Amsterdam,transparent,true,36.75,AS57043,Hostkey B.V.,2437.91,1780197710.6820133
socks4,195.160.223.99,9050,Netherlands,NL,Haarlem,elite,true,44.81,AS43641,SOLLUTIUM EU Sp z.o.o.,464.42,1780198196.413121
socks4,45.114.60.8,1080,Netherlands,NL,Amsterdam,elite,true,93.85,AS216154,NIXI,91.1,1780198194.791909
socks4,206.166.251.136,9100,Netherlands,NL,Amsterdam,elite,true,30.43,AS399629,BL Networks,10489.26,1780198188.504747
socks4,212.34.146.118,1080,Netherlands,NL,Amsterdam,elite,true,60.07,AS216071,Servers Tech Fzco,100.93,1780198187.0392237
socks5,213.176.16.10,1080,Netherlands,NL,Amsterdam,elite,true,74.53,AS215540,Global Connectivity Solutions LLP,291.24,1780198186.9014902
socks5,91.84.107.177,9050,Netherlands,NL,Amsterdam,elite,true,39.55,AS216071,Servers Tech Fzco,11653.39,1780198178.0487933
