protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,95.211.64.139,8889,The Netherlands,NL,Amsterdam,elite,true,99.44,AS60781,LeaseWeb Netherlands B.V.,57.06,1785932044.7287464
http,153.80.240.37,8080,The Netherlands,NL,Amsterdam,elite,true,84.3,AS215540,Global Connectivity Solutions LLP,741.99,1785932040.276192
http,185.247.117.155,8080,Netherlands,NL,Amsterdam,elite,true,79.81,AS41436,Kamatera Inc,371.2,1785932037.7158663
http,153.80.240.37,1080,The Netherlands,NL,Amsterdam,elite,false,84.34,AS215540,Global Connectivity Solutions LLP,80.39,1785932035.8364477
http,195.26.224.135,80,The Netherlands,NL,Amsterdam,elite,false,60.2,AS216071,Servers Tech Fzco,57.15,1785932032.3678198
http,103.112.69.58,3128,The Netherlands,NL,Amsterdam,elite,true,69.07,AS215305,Mastersoft S.R.L.,699.46,1785932031.8320105
http,77.238.246.43,17277,The Netherlands,NL,Amsterdam,elite,true,69.87,AS216071,Servers Tech Fzco,562.34,1785932029.054498
http,213.176.113.24,50001,The Netherlands,NL,Amsterdam,elite,true,45.37,AS210644,Aeza International LTD,14318.25,1785932025.478062
http,45.130.21.115,18081,Netherlands,NL,Amsterdam,elite,true,99.25,AS43357,Owl Limited,73.07,1785932016.3077936
http,81.31.245.45,7890,The Netherlands,NL,Amsterdam,elite,false,51.55,AS210976,"Timeweb, LLP",12596.65,1785932012.144466
http,95.211.64.139,8888,The Netherlands,NL,Amsterdam,elite,true,97.33,AS60781,LeaseWeb Netherlands B.V.,83.13,1785932005.3441112
http,108.181.123.113,3128,The Netherlands,NL,Amsterdam,transparent,true,88.59,AS40676,Psychz Networks,44.34,1785931999.3456886
http,77.163.47.213,3128,The Netherlands,NL,Utrecht,elite,false,26.33,AS1136,KPN B.V.,3857.2,1785931996.2071898
http,85.158.145.47,8080,The Netherlands,NL,Meppel,elite,true,75.4,AS212025,Cukman Kresimir,9710.13,1785931991.4096808
http,5.35.71.232,10808,The Netherlands,NL,Amsterdam,elite,false,24.57,AS216071,Servers Tech Fzco,14393.24,1785931990.896881
http,77.239.108.24,3128,The Netherlands,NL,Amsterdam,elite,false,55.2,AS215590,DpkgSoft International Limited,9924.27,1785931988.9546454
http,171.22.183.64,12347,Netherlands,NL,Amsterdam,elite,false,48.64,AS62005,BlueVPS OU,7242.55,1785931981.9410312
http,46.17.98.40,1050,The Netherlands,NL,Amsterdam,elite,true,71.17,AS57043,Hostkey B.V.,9444.65,1785931981.5121355
http,89.23.119.10,3128,The Netherlands,NL,Amsterdam,transparent,true,54.44,AS210976,"Timeweb, LLP",21685.19,1785931971.0488298
http,31.187.64.243,10086,The Netherlands,NL,Amsterdam,elite,true,60.18,AS63473,HostHatch,16229.13,1785931880.6230102
