protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,195.133.14.222,49152,The Netherlands,NL,Amsterdam,elite,true,73.85,AS210976,"Timeweb, LLP",122.4,1786680258.132565
http,204.76.203.9,3128,The Netherlands,NL,Eygelshoven,elite,true,99.98,AS51396,Pfcloud UG,64.78,1786680230.1553314
http,89.23.119.10,3128,The Netherlands,NL,Amsterdam,transparent,true,54.03,AS210976,"Timeweb, LLP",17459.87,1786680226.7763581
http,85.158.145.47,8080,The Netherlands,NL,Meppel,elite,true,73.92,AS212025,Cukman Kresimir,4305.61,1786680222.966702
http,138.124.89.97,3128,The Netherlands,NL,Amsterdam,transparent,true,39.02,AS210644,Aeza International LTD,2913.74,1786680219.8641498
http,153.80.240.37,8080,The Netherlands,NL,Eygelshoven,elite,true,81.92,AS215540,Global Connectivity Solutions LLP,55.64,1786680219.6280649
http,95.211.64.139,8888,The Netherlands,NL,Amsterdam,elite,true,97.87,AS60781,LeaseWeb Netherlands B.V.,51.97,1786680212.2905567
http,82.115.13.198,8080,The Netherlands,NL,Amsterdam,elite,true,25.7,AS212552,BitCommand LLC,2178.76,1786680206.326699
http,144.124.227.88,3128,The Netherlands,NL,Amsterdam,elite,true,26.19,AS216071,Servers Tech Fzco,347.84,1786680176.964336
http,66.163.127.204,10006,Netherlands,NL,Amsterdam,elite,true,89.4,AS63023,GTHost,5248.8,1786680175.4611228
http,176.124.201.214,10808,The Netherlands,NL,Amsterdam,elite,true,20.76,AS210976,"Timeweb, LLP",42.79,1786680129.7922268
http,46.30.42.34,3129,The Netherlands,NL,Amsterdam,transparent,true,18.14,AS216139,Iron Hosting Centre LTD,15307.77,1786680121.8784564
http,31.187.64.243,10086,The Netherlands,NL,Amsterdam,elite,true,49.04,AS63473,HostHatch,10096.32,1786680121.532397
http,95.211.64.139,8886,The Netherlands,NL,Amsterdam,elite,true,98.42,AS60781,LeaseWeb Netherlands B.V.,66.91,1786680303.6830509
http,213.176.113.24,50001,The Netherlands,NL,Amsterdam,elite,true,73.73,AS210644,Aeza International LTD,34.38,1786680282.8876493
http,213.165.40.253,3128,The Netherlands,NL,Amsterdam,transparent,true,41.71,AS210644,Aeza International LTD,13076.59,1786680271.2863288
