protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,45.74.31.30,6111,The Netherlands,NL,Eygelshoven,elite,true,5.49,AS219326,Secure Internet LLC,320.32,1790219343.6206415
socks5,45.74.31.25,7443,The Netherlands,NL,Eygelshoven,elite,true,1.86,AS219326,Secure Internet LLC,610.13,1790219342.3186362
socks5,45.74.31.41,14585,The Netherlands,NL,Eygelshoven,elite,true,33.16,AS219326,Secure Internet LLC,410.43,1790219342.2320285
socks5,45.74.31.23,14889,The Netherlands,NL,Eygelshoven,elite,true,32.81,AS219326,Secure Internet LLC,2635.02,1790219341.7444992
socks5,45.74.31.30,8111,The Netherlands,NL,Eygelshoven,elite,true,1.76,AS219326,Secure Internet LLC,1881.73,1790219341.6434765
socks5,45.74.31.47,4115,The Netherlands,NL,Eygelshoven,elite,true,39.35,AS219326,Secure Internet LLC,1644.96,1790219341.5481787
socks5,45.74.31.42,29755,The Netherlands,NL,Eygelshoven,elite,true,34.11,AS219326,Secure Internet LLC,3230.61,1790219341.4461598
socks5,45.74.31.47,4557,The Netherlands,NL,Eygelshoven,elite,true,100.0,AS219326,Secure Internet LLC,1711.14,1790219341.2826104
socks5,45.159.189.203,1080,The Netherlands,NL,Amsterdam,elite,true,21.06,AS14576,Hosting Solution Ltd.,2807.16,1790219341.0837162
socks5,45.74.31.22,11374,The Netherlands,NL,Eygelshoven,elite,true,21.41,AS219326,Secure Internet LLC,3352.62,1790219341.0643623
socks5,45.74.31.50,9952,The Netherlands,NL,Eygelshoven,elite,true,41.25,AS219326,Secure Internet LLC,2370.88,1790219341.053727
socks5,45.74.31.41,11884,The Netherlands,NL,Eygelshoven,elite,true,49.63,AS219326,Secure Internet LLC,434.96,1790219341.0482678
socks5,45.74.31.22,8550,The Netherlands,NL,Eygelshoven,elite,true,31.69,AS219326,Secure Internet LLC,3624.65,1790219340.7275133
socks5,45.74.31.30,7374,The Netherlands,NL,Eygelshoven,elite,true,7.27,AS219326,Secure Internet LLC,1739.43,1790219340.6902745
socks5,45.74.31.42,10806,The Netherlands,NL,Eygelshoven,elite,true,37.14,AS219326,Secure Internet LLC,3366.84,1790219340.6497424
socks5,45.74.31.23,4543,The Netherlands,NL,Eygelshoven,elite,true,35.45,AS219326,Secure Internet LLC,1619.48,1790219340.572277
socks5,45.74.31.42,20112,The Netherlands,NL,Eygelshoven,elite,true,53.58,AS219326,Secure Internet LLC,2522.09,1790219340.3054762
socks5,45.74.31.22,10919,The Netherlands,NL,Eygelshoven,elite,true,34.97,AS219326,Secure Internet LLC,2715.61,1790219340.2995863
socks5,45.74.31.22,14109,The Netherlands,NL,Eygelshoven,elite,true,26.36,AS219326,Secure Internet LLC,3473.69,1790219340.0574093
socks5,45.74.31.25,4901,The Netherlands,NL,Eygelshoven,elite,true,16.21,AS219326,Secure Internet LLC,3272.34,1790219340.014288
socks5,45.74.31.30,6968,The Netherlands,NL,Eygelshoven,elite,true,2.93,AS219326,Secure Internet LLC,4295.93,1790219339.998032
socks5,45.74.31.25,5930,The Netherlands,NL,Eygelshoven,elite,true,26.79,AS219326,Secure Internet LLC,2214.3,1790219339.991951
socks5,45.74.31.23,15575,The Netherlands,NL,Eygelshoven,elite,true,34.49,AS219326,Secure Internet LLC,3011.63,1790219339.8961205
socks5,45.74.31.23,15841,The Netherlands,NL,Eygelshoven,elite,true,28.68,AS219326,Secure Internet LLC,4008.68,1790219339.8861814
socks5,45.74.31.30,42694,The Netherlands,NL,Eygelshoven,elite,true,28.46,AS219326,Secure Internet LLC,3134.94,1790219339.8482914
socks5,45.74.31.23,5915,The Netherlands,NL,Eygelshoven,elite,true,84.29,AS219326,Secure Internet LLC,4072.15,1790219339.8129034
socks5,45.74.31.23,6575,The Netherlands,NL,Eygelshoven,elite,true,42.86,AS219326,Secure Internet LLC,3197.2,1790219339.5680242
socks5,45.74.31.40,9660,The Netherlands,NL,Eygelshoven,elite,true,28.29,AS219326,Secure Internet LLC,3356.47,1790219339.464027
socks5,45.74.31.42,4099,The Netherlands,NL,Eygelshoven,elite,true,10.8,AS219326,Secure Internet LLC,2863.33,1790219339.461191
socks5,45.139.76.2,1080,The Netherlands,NL,Amsterdam,elite,true,95.05,AS210976,"Timeweb, LLP",3103.19,1790219339.3553052
socks5,45.74.31.30,34306,The Netherlands,NL,Eygelshoven,elite,true,48.02,AS219326,Secure Internet LLC,3307.24,1790219339.2265248
socks5,45.74.31.23,7736,The Netherlands,NL,Eygelshoven,elite,true,17.53,AS219326,Secure Internet LLC,4220.02,1790219339.2031252
socks5,45.74.31.23,15889,The Netherlands,NL,Eygelshoven,elite,true,30.66,AS219326,Secure Internet LLC,3875.13,1790219339.1367033
socks5,45.74.31.22,4238,The Netherlands,NL,Eygelshoven,elite,true,35.01,AS219326,Secure Internet LLC,4751.74,1790219338.977078
socks5,45.74.31.42,30253,The Netherlands,NL,Eygelshoven,elite,true,27.98,AS219326,Secure Internet LLC,2731.58,1790219338.8759854
socks5,45.74.31.30,5666,The Netherlands,NL,Eygelshoven,elite,true,34.95,AS219326,Secure Internet LLC,4436.48,1790219338.8003697
socks5,45.74.31.41,9572,The Netherlands,NL,Eygelshoven,elite,true,28.79,AS219326,Secure Internet LLC,1343.32,1790219338.772123
socks5,45.74.31.23,4802,The Netherlands,NL,Eygelshoven,elite,true,41.98,AS219326,Secure Internet LLC,5842.88,1790219338.7618446
socks5,45.74.31.25,5050,The Netherlands,NL,Eygelshoven,elite,true,22.64,AS219326,Secure Internet LLC,4214.15,1790219338.7389565
socks5,45.74.31.22,20910,The Netherlands,NL,Eygelshoven,elite,true,29.77,AS219326,Secure Internet LLC,3396.04,1790219338.4535227
socks5,45.74.31.22,4917,The Netherlands,NL,Eygelshoven,elite,true,43.27,AS219326,Secure Internet LLC,3997.39,1790219338.2825353
socks5,45.74.31.50,24086,The Netherlands,NL,Eygelshoven,elite,true,45.29,AS219326,Secure Internet LLC,2063.16,1790219338.1936197
socks5,45.74.31.41,5310,The Netherlands,NL,Eygelshoven,elite,true,40.63,AS219326,Secure Internet LLC,4164.25,1790219338.0524817
socks5,45.74.31.23,14490,The Netherlands,NL,Eygelshoven,elite,true,34.14,AS219326,Secure Internet LLC,4511.12,1790219337.687436
socks5,45.74.31.23,15231,The Netherlands,NL,Eygelshoven,elite,true,22.61,AS219326,Secure Internet LLC,2761.8,1790219337.481433
socks5,45.74.31.50,12734,The Netherlands,NL,Eygelshoven,elite,true,31.73,AS219326,Secure Internet LLC,4602.95,1790219337.476299
socks5,45.74.31.23,17555,The Netherlands,NL,Eygelshoven,elite,true,55.59,AS219326,Secure Internet LLC,3943.14,1790219337.4660285
socks5,45.74.31.30,5604,The Netherlands,NL,Eygelshoven,elite,true,37.35,AS219326,Secure Internet LLC,6958.25,1790219337.3967512
socks5,45.74.31.23,7725,The Netherlands,NL,Eygelshoven,elite,true,12.44,AS219326,Secure Internet LLC,7341.65,1790219337.2934449
socks5,45.74.31.47,5767,The Netherlands,NL,Eygelshoven,elite,true,50.78,AS219326,Secure Internet LLC,3481.63,1790219337.2720256
socks5,45.74.31.47,34417,The Netherlands,NL,Eygelshoven,elite,true,30.92,AS219326,Secure Internet LLC,3378.39,1790219337.2648108
socks5,45.74.31.42,4918,The Netherlands,NL,Eygelshoven,elite,true,19.99,AS219326,Secure Internet LLC,4763.33,1790219337.0599368
socks5,45.74.31.47,8083,The Netherlands,NL,Eygelshoven,elite,true,44.9,AS219326,Secure Internet LLC,7367.03,1790219337.0430505
socks5,45.74.31.23,15458,The Netherlands,NL,Eygelshoven,elite,true,23.31,AS219326,Secure Internet LLC,6956.69,1790219336.9042056
socks5,45.74.31.42,8507,The Netherlands,NL,Eygelshoven,elite,true,4.71,AS219326,Secure Internet LLC,3050.53,1790219336.7910457
socks5,45.74.31.23,16688,The Netherlands,NL,Eygelshoven,elite,true,45.48,AS219326,Secure Internet LLC,1531.71,1790219336.6972826
socks5,45.74.31.23,4147,The Netherlands,NL,Eygelshoven,elite,true,36.63,AS219326,Secure Internet LLC,5685.66,1790219336.6782835
socks5,45.74.31.23,7848,The Netherlands,NL,Eygelshoven,elite,true,18.49,AS219326,Secure Internet LLC,5315.53,1790219336.5535693
socks5,45.74.31.30,6675,The Netherlands,NL,Eygelshoven,elite,true,26.09,AS219326,Secure Internet LLC,4137.45,1790219336.4402993
socks5,45.74.31.30,40000,The Netherlands,NL,Eygelshoven,elite,true,9.22,AS219326,Secure Internet LLC,2890.5,1790219336.2827413
socks5,45.74.31.42,6449,The Netherlands,NL,Eygelshoven,elite,true,2.36,AS219326,Secure Internet LLC,241.22,1790219336.1589177
socks5,45.74.31.25,5218,The Netherlands,NL,Eygelshoven,elite,true,32.88,AS219326,Secure Internet LLC,1537.34,1790219336.1423697
socks5,45.74.31.23,13643,The Netherlands,NL,Eygelshoven,elite,true,36.12,AS219326,Secure Internet LLC,7802.28,1790219336.077666
socks5,5.255.123.162,1080,The Netherlands,NL,Dronten,elite,true,87.16,AS60404,The Infrastructure Group B.V.,1436.3,1790219336.018329
socks5,45.74.31.23,8873,The Netherlands,NL,Eygelshoven,elite,true,57.35,AS219326,Secure Internet LLC,2413.91,1790219335.8341262
socks5,45.74.31.25,7402,The Netherlands,NL,Eygelshoven,elite,true,33.29,AS219326,Secure Internet LLC,4694.36,1790219335.8039095
socks5,45.74.31.22,8468,The Netherlands,NL,Eygelshoven,elite,true,30.39,AS219326,Secure Internet LLC,5465.15,1790219335.8000526
socks5,45.74.31.22,9783,The Netherlands,NL,Eygelshoven,elite,true,61.66,AS219326,Secure Internet LLC,3192.34,1790219335.6997125
socks5,45.74.31.50,10263,The Netherlands,NL,Eygelshoven,elite,true,37.74,AS219326,Secure Internet LLC,4496.73,1790219335.5326757
socks5,45.74.31.41,12015,The Netherlands,NL,Eygelshoven,elite,true,40.96,AS219326,Secure Internet LLC,5358.03,1790219335.4707866
socks5,45.74.31.42,37708,The Netherlands,NL,Eygelshoven,elite,true,27.89,AS219326,Secure Internet LLC,1157.52,1790219335.454976
socks5,45.74.31.30,5396,The Netherlands,NL,Eygelshoven,elite,true,47.38,AS219326,Secure Internet LLC,4707.32,1790219335.4201102
socks5,45.74.31.30,8143,The Netherlands,NL,Eygelshoven,elite,true,13.87,AS219326,Secure Internet LLC,4367.09,1790219335.4159582
socks5,45.74.31.25,6338,The Netherlands,NL,Eygelshoven,elite,true,17.64,AS219326,Secure Internet LLC,7219.39,1790219335.3432422
socks5,45.74.31.25,7435,The Netherlands,NL,Eygelshoven,elite,true,33.05,AS219326,Secure Internet LLC,4343.02,1790219335.3073425
socks5,45.74.31.42,6310,The Netherlands,NL,Eygelshoven,elite,true,17.64,AS219326,Secure Internet LLC,2113.44,1790219335.1799145
socks5,45.74.31.41,10624,The Netherlands,NL,Eygelshoven,elite,true,27.33,AS219326,Secure Internet LLC,5193.32,1790219335.1767218
