protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,103.124.97.12,8080,Nepal,NP,Pokhara,transparent,true,13.88,AS138388,Pokhara Internet Pvt. Ltd,3528.1,1784684361.2025359
socks4,118.91.175.146,5678,Nepal,NP,Nanche Bazar,elite,true,40.16,AS24550,Websurfer Nepal Communication System Pvt. Ltd,867.62,1784684346.4240634
http,103.154.12.2,8088,Nepal,NP,Gulariyā,transparent,true,50.3,AS137580,Everest Wireless Network pvt. ltd,493.19,1784684328.7703762
http,103.1.93.184,55443,Nepal,NP,Kathmandu,elite,false,7.51,AS55915,Classic Tech Pvt. Ltd,7156.82,1784684276.859821
http,110.34.1.180,32650,Nepal,NP,Kathmandu,transparent,true,8.88,AS4007,Subisu Cablenet,5970.84,1784684250.4443727
http,139.5.75.83,8080,Nepal,NP,Patan,transparent,false,26.23,AS17501,WLINK,8001.32,1784684243.3370154
http,110.44.115.83,8080,Nepal,NP,Kathmandu,elite,false,8.35,AS45650,Vianet Communications Pvt. Ltd,4356.59,1784684220.6704278
http,103.167.229.147,8080,Nepal,NP,Butwal,transparent,false,9.03,AS140072,Fiberworld Communication Pvt. Ltd,15010.99,1784684318.7333186
http,43.245.85.46,808,Nepal,NP,Patan,transparent,true,22.79,AS45650,Vianet,8190.27,1784684306.9886582
http,202.166.220.40,8080,Nepal,NP,Kathmandu,transparent,false,29.37,AS17501,WorldLink Communications,10236.05,1784684301.9372654
