protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,177.91.255.35,5678,Peru,PE,Lima,elite,true,46.19,AS263224,Empresa De Telecomunicaciones Multimedia Alfa,3924.76,1787724554.2290835
socks4,190.12.95.170,37209,Peru,PE,Lima,elite,true,20.85,AS27843,ON EMPRESAS S.A.C,8174.86,1787724548.433177
http,187.102.211.244,999,Peru,PE,Lima,transparent,false,6.3,AS270006,INTEL COMUNICACIONES PERÚ SAC,5492.34,1787724528.5607731
http,190.108.82.247,999,Peru,PE,Urcos,transparent,false,30.65,AS18678,Internexa S.a. E.S.P,4987.19,1787724516.5931702
http,38.226.49.123,999,Peru,PE,Ayacucho,transparent,false,15.45,AS274029,Kazav Latam E.I.R.L.,13084.62,1787724509.035636
http,190.119.90.114,8080,Peru,PE,Ayacucho,transparent,false,22.2,AS12252,America Movil Peru S.A.C.,9839.36,1787724483.9654233
http,38.158.83.193,999,Peru,PE,Arequipa,transparent,false,15.17,AS272838,Fiberred SAC,4823.15,1787724483.895455
http,179.43.96.178,8080,Peru,PE,Arequipa,transparent,false,7.1,AS263189,Misticom Fibra Optica S.A.C.,10839.09,1787724480.6092372
http,38.190.100.170,999,Peru,PE,San Juan de Lurigancho,transparent,false,7.29,AS273133,Conex TV E.I.R.L,11528.15,1787724439.3567305
http,38.158.83.161,999,Peru,PE,Arequipa,transparent,false,15.12,AS272838,Fiberred SAC,9929.85,1787724414.3400521
