protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,38.188.101.148,999,Peru,PE,Pichari,transparent,false,24.39,AS272976,Ifox Telecomunicaciones,3454.25,1785807249.8688877
http,161.132.180.10,999,Peru,PE,Lima,transparent,false,38.02,AS266732,Fibertel Peru S.A.,1564.38,1785807249.8589835
http,38.224.231.81,999,Peru,PE,Lima,transparent,false,29.23,AS272106,Corporacion Tarazona Catv S.A.C,13358.98,1785807249.6669695
http,190.119.90.114,8080,Peru,PE,Ayacucho,transparent,false,21.32,AS12252,America Movil Peru S.A.C.,1147.15,1785807247.499114
http,200.215.229.14,999,Peru,PE,Cusco,transparent,false,7.63,AS271868,Gpon Networks S.A.C.,8092.66,1785807246.408747
http,38.252.215.110,999,Peru,PE,Independencia,transparent,false,7.86,AS274156,Cogent Communications,1551.34,1785807246.0408783
http,38.188.100.253,999,Peru,PE,Pichari,transparent,false,26.26,AS272976,Ifox Telecomunicaciones,1336.78,1785807244.6568122
http,38.188.100.250,999,Peru,PE,Pichari,transparent,false,29.74,AS272976,Ifox Telecomunicaciones,7896.66,1785807239.8087523
http,38.226.49.202,8080,Peru,PE,Ayacucho,transparent,true,20.33,AS274029,Kazav Latam E.I.R.L.,2532.87,1785807236.466659
http,38.172.128.139,999,Peru,PE,Lima,transparent,false,17.16,AS273133,Conex TV E.I.R.L,3968.72,1785807233.4223487
http,38.252.215.193,999,Peru,PE,Independencia,transparent,false,10.13,AS274156,Cogent Communications,3665.38,1785807230.4903548
http,201.230.121.244,999,Peru,PE,San Borja,transparent,false,11.18,AS6147,Telefonica Del Peru,7217.03,1785807212.408718
http,138.99.176.138,999,Peru,PE,Lima,transparent,false,11.27,AS271842,NET WIN PERU,7757.66,1785807210.8687725
http,38.226.49.203,8080,Peru,PE,Ayacucho,transparent,true,21.2,AS274029,Kazav Latam E.I.R.L.,9035.24,1785807208.8216538
http,38.252.217.32,999,Peru,PE,Santa María,transparent,false,13.25,AS273976,Cogent Communications,531.03,1785807208.6329587
http,38.158.83.161,999,Peru,PE,Arequipa,transparent,false,14.25,AS272838,Fiberred SAC,12071.71,1785807200.2887886
http,38.188.100.195,999,Peru,PE,Pichari,transparent,false,21.45,AS272976,Ifox Telecomunicaciones,17458.77,1785807193.9580286
http,38.188.100.249,999,Peru,PE,Pichari,transparent,false,28.33,AS272976,Ifox Telecomunicaciones,11467.28,1785807182.9811091
http,38.188.100.252,999,Peru,PE,Pichari,transparent,true,33.96,AS272976,Ifox Telecomunicaciones,2254.11,1785807179.7722034
http,201.230.15.57,999,Peru,PE,Piedra Blanca,transparent,true,11.93,AS6147,Telefonica del Peru,7708.65,1785807168.2087684
http,38.188.101.9,999,Peru,PE,Pichari,transparent,false,17.33,AS272976,Ifox Telecomunicaciones,5816.35,1785807166.121119
http,38.190.100.170,999,Peru,PE,San Juan de Lurigancho,transparent,false,6.75,AS273133,Conex TV E.I.R.L,1650.19,1785807165.9320455
http,200.123.27.123,999,Peru,PE,Lima,transparent,true,32.15,AS22411,Wigo S.A.,7955.59,1785807165.2447655
http,181.66.251.76,999,Peru,PE,Centenario,transparent,false,30.13,AS6147,Telefonica del Peru S.A.A.,10007.98,1785807146.280403
http,200.215.229.33,999,Peru,PE,Cusco,transparent,true,8.78,AS271868,Gpon Networks S.A.C.,4749.34,1785807132.0290384
http,38.158.83.65,999,Peru,PE,Arequipa,transparent,false,9.17,AS272838,Fiberred SAC,5887.63,1785807086.7637827
http,200.39.153.1,999,Peru,PE,Chachapoyas,transparent,true,26.56,AS270010,Airwiz Peru E.I.R.L,4116.94,1785807286.2728248
http,45.189.108.20,999,Peru,PE,Surquillo,transparent,false,9.25,AS269843,Bantel SAC,4598.97,1785807262.3731003
http,201.230.121.228,999,Peru,PE,Puno,transparent,true,30.13,AS6147,Telefonica Del Peru,2159.4,1785807223.405144
