protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
http,190.108.82.247,999,Peru,PE,Challabamba,transparent,true,35.19,AS18678,Internexa S.a. E.S.P,1750.77,1785767913.8447633
http,187.102.211.253,999,Peru,PE,Lima,transparent,true,9.36,AS270006,INTEL COMUNICACIONES PERÚ SAC,2971.12,1785767899.3812668
http,38.43.158.7,8080,Peru,PE,Lima,elite,true,16.4,AS271814,Nextnet S.A.C,3117.66,1785767870.4201224
http,38.188.101.113,999,Peru,PE,Pichari,transparent,true,28.05,AS272976,Ifox Telecomunicaciones,4441.37,1785767866.0776753
http,200.123.27.123,999,Peru,PE,Lima,transparent,true,32.21,AS22411,Wigo S.A.,629.96,1785767840.0327702
http,38.52.182.109,999,Peru,PE,Lurín,transparent,true,12.86,AS273026,Nexsatel Sociedad Anonima Cerrada - .A.C.,633.25,1785767839.4175944
http,200.215.229.14,999,Peru,PE,Cusco,transparent,true,7.62,AS271868,Gpon Networks S.A.C.,706.47,1785767836.7812247
http,200.123.27.124,999,Peru,PE,Lima,transparent,true,30.46,AS22411,Wigo S.A.,609.43,1785767836.4080567
http,38.158.83.241,999,Peru,PE,Arequipa,transparent,true,13.66,AS272838,Fiberred SAC,1737.21,1785767835.6304846
http,138.186.76.57,999,Peru,PE,Lima,transparent,true,30.54,AS270076,EXA NETWORKS S.A.C.,1560.1,1785767835.3579023
http,38.9.201.19,999,Peru,PE,Chimbote,transparent,true,19.83,AS272836,Cala Servicios Integrales E.I.R.L.,7934.45,1785767832.3955917
http,201.230.121.228,999,Peru,PE,Puno,transparent,true,30.15,AS6147,Telefonica Del Peru,7905.75,1785767774.8446856
