protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks5,61.9.32.30,58765,Philippines,PH,San Juan,elite,true,21.28,AS17970,Sky Cable Corporation,1214.36,1784324955.3797388
http,49.151.104.143,8082,Philippines,PH,Baguio City,transparent,true,31.75,AS9299,Philippine Long Distance Telephone Co.,1721.54,1784324953.9813151
http,124.105.69.124,8081,Philippines,PH,Makati City,transparent,true,7.49,AS9299,Philippine Long Distance Telephone Co.,8564.06,1784324953.4119277
socks5,61.9.34.22,58765,Philippines,PH,San Juan,elite,true,20.61,AS17970,Sky Cable Corporation,4610.05,1784324951.3797169
http,180.191.20.206,8080,Philippines,PH,Cabanatuan City,transparent,true,8.43,AS132199,Globe Telecom,829.66,1784324949.8039696
http,126.209.2.2,8081,Philippines,PH,Manila,transparent,false,7.9,AS135607,Infinivan Incorporated,546.98,1784324949.055389
http,122.3.77.27,8082,Philippines,PH,Mandaluyong,transparent,false,19.84,AS9299,Philippine Long Distance Telephone Co.,3180.76,1784324947.5685086
http,120.28.194.47,5050,Philippines,PH,Cagayan de Oro,transparent,false,21.4,AS132199,Globe Telecom,5486.84,1784324946.5559888
http,180.191.252.107,8082,Philippines,PH,General Trias,transparent,true,20.88,AS132199,Globe Telecom,1686.35,1784324946.1926224
http,139.135.76.218,8080,Philippines,PH,Bachauan,transparent,true,33.76,AS139831,Dito Telecommunity Corp.,1638.75,1784324945.89634
http,49.146.232.215,8081,Philippines,PH,Cebu City,transparent,false,39.99,AS9299,Philippine Long Distance Telephone Co.,1745.81,1784324944.3916821
http,58.69.175.135,8080,Philippines,PH,Makati City,transparent,true,19.5,AS9299,Philippine Long Distance Telephone Co.,3438.73,1784324943.3840332
http,180.191.229.218,8080,Philippines,PH,Palompon,transparent,true,35.39,AS4775,Globe Telecom,3209.48,1784324942.4253876
http,180.191.1.195,8081,Philippines,PH,Cabanatuan City,transparent,true,22.01,AS132199,Globe Telecom,5200.48,1784324942.3810658
http,180.194.230.166,8080,Philippines,PH,Imus,transparent,false,35.12,AS9299,Philippine Long Distance Telephone Co.,1758.8,1784324940.0653572
http,180.191.49.73,8090,Philippines,PH,Tarlac City,transparent,true,10.72,AS132199,Globe Telecom,7482.78,1784324939.6435187
http,122.52.157.209,8081,Philippines,PH,Malolos,transparent,true,15.99,AS9299,Philippine Long Distance Telephone Co.,1407.37,1784324939.3799388
http,122.54.226.216,8082,Philippines,PH,Pasay,transparent,true,10.86,AS9299,Philippine Long Distance Telephone Co.,2205.22,1784324939.2599282
socks5,8.220.141.8,8045,Philippines,PH,Manila,elite,true,1.18,AS45102,"Alibaba (US) Technology Co., Ltd.",6398.85,1784324937.7566805
socks5,8.220.141.8,8080,Philippines,PH,Manila,elite,true,1.37,AS45102,"Alibaba (US) Technology Co., Ltd.",13504.01,1784324930.6745584
http,38.10.90.115,8084,Philippines,PH,Iloilo City,transparent,false,12.25,AS136244,Cogent Communications,1916.55,1784324929.2681363
http,112.202.245.218,8082,Philippines,PH,Quezon City,transparent,false,34.32,AS9299,Philippine Long Distance Telephone Co.,6493.99,1784324920.75598
http,126.209.3.199,5050,Philippines,PH,Marawi City,transparent,true,26.05,AS135607,Infinivan Incorporated,2532.49,1784324916.345106
http,180.191.22.153,8081,Philippines,PH,Cabanatuan City,transparent,true,24.29,AS132199,Globe Telecom,4468.83,1784324912.8447788
http,119.93.153.10,8087,Philippines,PH,Danao,transparent,true,28.2,AS9299,Philippine Long Distance Telephone Co.,4574.68,1784324910.5758538
http,49.146.211.128,8081,Philippines,PH,Candelaria,transparent,true,48.97,AS9299,Philippine Long Distance Telephone Co.,708.02,1784324909.6070821
http,112.203.53.135,8082,Philippines,PH,Caloocan,transparent,false,25.6,AS9299,Philippine Long Distance Telephone Co.,15893.33,1784324907.8833303
http,180.191.51.69,8082,Philippines,PH,Tarlac City,transparent,false,25.75,AS132199,Globe Telecom,531.5,1784324905.6935723
http,49.144.29.211,8082,Philippines,PH,Bacoor,transparent,false,49.23,AS9299,Philippine Long Distance Telephone Co.,647.79,1784324905.2878187
http,115.147.16.205,5050,Philippines,PH,Makati City,transparent,false,16.76,AS9299,Philippine Long Distance Telephone Co.,3341.78,1784324903.3393147
socks5,61.9.34.222,58765,Philippines,PH,San Juan,elite,true,21.27,AS17970,Sky Cable Corporation,12145.25,1784324902.107962
http,49.146.145.189,8082,Philippines,PH,Bacolod City,transparent,true,22.83,AS9299,Philippine Long Distance Telephone Co.,7840.2,1784324901.6079032
socks4,8.220.136.174,1081,Philippines,PH,Manila,elite,true,0.8,AS45102,"Alibaba (US) Technology Co., Ltd.",3390.73,1784324894.1095266
socks4,8.220.136.174,3128,Philippines,PH,Manila,elite,true,1.0,AS45102,"Alibaba (US) Technology Co., Ltd.",10529.47,1784324885.4736567
http,180.191.255.138,8090,Philippines,PH,General Trias,transparent,true,57.63,AS132199,Globe Telecom,1797.37,1784324881.0830812
http,58.69.124.137,8080,Philippines,PH,Manila,transparent,false,43.78,AS9299,Philippine Long Distance Telephone Co.,644.4,1784324878.928977
http,139.135.77.166,8085,Philippines,PH,Bachauan,transparent,false,16.59,AS139831,Dito Telecommunity Corp.,1704.13,1784324877.359827
http,138.84.65.187,9090,Philippines,PH,Marilao,transparent,true,36.97,AS4775,Globe Telecom,6119.77,1784324868.1687024
http,126.209.16.133,8082,Philippines,PH,Manila,transparent,true,39.15,AS135607,Infinivan Incorporated,7910.81,1784324867.3998184
http,112.198.138.14,8082,Philippines,PH,General Trias,transparent,true,16.99,AS132199,Globe Telecom,15183.02,1784324861.8799555
http,58.69.61.25,8082,Philippines,PH,Quezon City,transparent,false,10.77,AS9299,Philippine Long Distance Telephone Co.,7806.4,1784324861.3628972
http,119.93.83.106,8082,Philippines,PH,Pasig,transparent,false,14.54,AS9299,Philippine Long Distance Telephone Co.,6311.35,1784324844.4998088
http,180.194.116.137,8082,Philippines,PH,Davao City,transparent,true,35.86,AS9299,Digitel Mobile Philippines Inc.,1833.13,1784324829.265901
http,49.144.25.241,8082,Philippines,PH,Bacoor,transparent,false,38.99,AS9299,Philippine Long Distance Telephone Co.,9189.48,1784324812.9077525
http,180.191.232.74,8081,Philippines,PH,San Pedro,transparent,true,30.45,AS4775,Globe Telecom,2329.98,1784324807.722256
http,115.147.61.241,8082,Philippines,PH,Makati City,elite,false,20.15,AS9299,Philippine Long Distance Telephone Co.,11420.73,1784324804.4785442
http,180.191.228.36,8082,Philippines,PH,Palompon,transparent,true,35.0,AS4775,Globe Telecom,3848.81,1784324801.484865
http,180.191.230.53,8082,Philippines,PH,Palompon,transparent,false,22.99,AS4775,Globe Telecom,3231.5,1784324800.92348
http,143.44.244.111,8081,Philippines,PH,Floridablanca,transparent,true,36.43,AS17639,ComClark Network & Technology Corp,4904.56,1784324798.0079374
http,122.3.126.95,8081,Philippines,PH,Paranaque City,transparent,false,11.25,AS9299,Philippine Long Distance Telephone Co.,5688.72,1784324795.1052463
http,112.198.22.122,80,Philippines,PH,Taguig,elite,false,62.73,AS4775,Globe Telecom,11895.68,1784324786.884476
http,49.146.228.143,8000,Philippines,PH,Cebu City,transparent,true,36.73,AS9299,Philippine Long Distance Telephone Co.,5053.8,1784324783.6265657
http,222.127.169.27,8086,Philippines,PH,Iloilo City,transparent,true,24.35,AS132199,Globe Telecom Inc.,3750.6,1784324755.8444743
http,120.28.216.197,8082,Philippines,PH,Cagayan de Oro,transparent,true,12.76,AS132199,Globe Telecom,3674.42,1784324751.6884224
http,103.167.116.138,8087,Philippines,PH,Santa Maria,transparent,false,12.84,AS142285,KEITH.NET INCORPORATED,636.44,1784324727.8318536
http,154.18.196.153,8083,Philippines,PH,Quezon City,transparent,true,43.67,AS142271,Cogent Communications,548.71,1784324994.2925117
socks5,103.239.201.50,58765,Philippines,PH,San Juan,elite,true,51.5,AS17970,Sky Cable Corporation,1229.45,1784324993.5668452
socks4,161.49.100.131,1080,Philippines,PH,Pasig,elite,true,44.83,AS17639,Converge Information and Communications Technology Solutions,957.34,1784324988.0841944
http,165.101.102.34,8087,Philippines,PH,Quezon City,transparent,false,30.12,AS154002,iRateNet Solutions,3607.39,1784324984.81087
http,124.83.43.145,8080,Philippines,PH,Cebu City,elite,true,14.49,AS9299,Philippine Long Distance Telephone Co.,13706.4,1784324982.7181652
http,165.101.102.252,8083,Philippines,PH,Quezon City,transparent,true,10.07,AS154002,iRateNet Solutions,3570.31,1784324979.700393
http,120.28.218.160,5050,Philippines,PH,Cagayan de Oro,transparent,false,9.3,AS132199,Globe Telecom,793.01,1784324971.2440438
http,161.49.215.28,10101,Philippines,PH,Clark,transparent,false,7.08,AS17639,Converge Information and Communications Technology Solutions,3739.86,1784324970.7342198
http,126.209.84.5,8082,Philippines,PH,Cebu City,transparent,true,46.47,AS135607,Infinivan Incorporated,7736.05,1784324968.3634343
http,165.101.102.244,8083,Philippines,PH,Quezon City,transparent,true,7.77,AS154002,iRateNet Solutions,8950.86,1784324962.7457814
http,120.28.70.72,8082,Philippines,PH,Caloocan,transparent,false,24.12,AS132199,Globe Telecom,1762.98,1784324960.7817512
http,124.106.156.14,8081,Philippines,PH,Paranaque City,transparent,true,38.13,AS9299,Philippine Long Distance Telephone Co.,1839.59,1784324953.548175
http,160.250.6.68,8085,Philippines,PH,Taytay,transparent,false,7.24,AS153455,G Links Solution,8111.34,1784324938.4878156
http,124.106.223.156,9999,Philippines,PH,Makati City,transparent,false,11.86,AS9299,Philippine Long Distance Telephone Co.,3774.1,1784324936.7422526
http,103.84.176.100,8083,Philippines,PH,San Jose,transparent,false,4.1,AS136244,"Panay Broadband / Buenavista Cable TV., Inc.",823.5,1784324936.355962
http,122.52.107.138,8082,Philippines,PH,Paranaque City,transparent,false,14.3,AS9299,Philippine Long Distance Telephone Co.,5321.89,1784324916.9375806
http,165.101.102.26,8084,Philippines,PH,Quezon City,transparent,false,28.66,AS154002,iRateNet Solutions,4462.52,1784324916.2718935
http,126.209.17.226,8080,Philippines,PH,Manila,transparent,false,16.83,AS135607,Infinivan Incorporated,13284.44,1784324912.470576
http,120.28.193.225,8080,Philippines,PH,Cagayan de Oro,transparent,false,7.1,AS132199,Globe Telecom,6258.76,1784324906.111813
http,122.52.213.104,8082,Philippines,PH,Malolos,transparent,false,31.18,AS9299,Philippine Long Distance Telephone Co.,3734.48,1784324890.3420792
http,160.250.6.80,8085,Philippines,PH,Taytay,transparent,false,7.19,AS153455,G Links Solution,6410.11,1784324870.993327
http,210.213.204.76,9999,Philippines,PH,Santa Fe,transparent,true,24.9,AS9299,Philippine Long Distance Telephone Co.,14796.99,1784324839.5175045
http,121.0.58.6,8080,Philippines,PH,Taguig,transparent,false,17.24,AS154236,JustConnect Installation Solutions Inc.,4336.44,1784324744.6440175
